i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.4121531 7 95.0
2 2.6369885 1 91.0
3 1.9339065000000002 2 77.0
4 1.54519355 4 72.0
5 0.5360551750000002 12 72.0
6 1.4919574500000001 6 64.0
7 1.5554985499999998 3 60.0
8 1.3366234350000001 8 57.0
9 1.542374 5 54.0
10 0.8773510150000001 9 54.0
11 0.3828505 16 43.0
12 0.3798206500000002 17 41.0
13 0.3998729999999999 14 40.0
14 0.33243750000000016 18 40.0
15 0.6084740000000002 11 39.0
16 0.4131361250000001 13 39.0
17 0.3831954500000001 15 38.0
18 0.0 20 35.0
19 0.10253000000000023 19 25.0
20 0.8514715 10 21.0
