i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.4658614999999997 6 95.0
2 2.5038834999999997 1 91.0
3 2.026954 2 77.0
4 1.9778609999999996 3 72.0
5 1.4588474999999999 7 72.0
6 1.935778 4 64.0
7 1.3115624999999997 9 60.0
8 1.8235589999999997 5 57.0
9 0.7925534999999998 13 54.0
10 0.2314594999999997 18 54.0
11 0.9959534999999998 12 43.0
12 1.3746869999999998 8 41.0
13 1.0169919999999997 10 40.0
14 1.0029614999999998 11 40.0
15 0.17535049999999952 19 39.0
16 0.6522769999999999 14 39.0
17 0.4488789999999997 16 38.0
18 0.5260319999999998 15 35.0
19 0.0 20 25.0
20 0.44186749999999975 17 21.0
