i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.2317387999999996 2 95.0
2 1.3626147499999997 1 91.0
3 1.1519257999999999 3 77.0
4 0.9551371999999998 5 72.0
5 0.8236873999999998 8 72.0
6 1.0735162499999997 4 64.0
7 0.9226833804999999 6 60.0
8 0.9219469999999998 7 57.0
9 0.5243211999999999 10 54.0
10 0.5522096694999998 9 54.0
11 0.11405616500000004 18 43.0
12 0.2659346999999999 14 41.0
13 0.35565395 13 40.0
14 0.20342570000000004 16 40.0
15 0.44184379999999995 12 39.0
16 0.11717415000000014 17 39.0
17 0.2579033 15 38.0
18 0.0 20 35.0
19 0.017352800000000057 19 25.0
20 0.504669985 11 21.0
