t i j k u[t]=u_ijk
1 1 2 3 0.1538450000000001
2 1 2 4 0.13675400000000004
3 1 2 5 0.08547400000000004
4 1 2 6 0.11966200000000003
5 1 2 7 0.29059800000000013
6 1 2 8 0.29060000000000014
7 1 2 9 0.08547000000000003
8 1 2 10 0.20513000000000012
9 1 2 11 0.1709400000000001
10 1 2 12 0.1709400000000001
11 1 2 13 0.27350400000000014
12 1 2 14 -4.440892098500629e-17
13 1 2 15 0.1880360000000001
14 1 2 16 0.1538450000000001
15 1 2 17 0.05128000000000002
16 1 2 18 0.15385000000000007
17 1 2 19 0.1367550000000001
18 1 2 20 0.06837900000000001
19 1 3 4 -0.034186000000000015
20 1 3 5 -0.051280000000000034
21 1 3 6 -0.017093000000000025
22 1 3 7 -0.01709400000000001
23 1 3 8 -0.08546800000000006
24 1 3 9 -0.13675000000000007
25 1 3 10 0.017095000000000016
26 1 3 11 -0.06837500000000003
27 1 3 12 -0.10256500000000007
28 1 3 13 -0.017092000000000013
29 1 3 14 0.05128300000000002
30 1 3 15 -0.10256100000000005
31 1 3 16 0.06837700000000006
32 1 3 17 -0.10256500000000006
33 1 3 18 -0.08547000000000006
34 1 3 19 0.01710000000000001
35 1 3 20 -0.06837400000000005
36 1 4 5 0.10256500000000006
37 1 4 6 -0.06837600000000003
38 1 4 7 0.08546600000000006
39 1 4 8 0.15384600000000007
40 1 4 9 0.017092000000000013
41 1 4 10 -0.08546900000000004
42 1 4 11 0.08546600000000006
43 1 4 12 9.999999999954495e-7
44 1 4 13 -0.03418800000000002
45 1 4 14 -0.034189000000000025
46 1 4 15 -0.051280000000000034
47 1 4 16 -0.08546900000000004
48 1 4 17 -0.08547400000000005
49 1 4 18 0.06837600000000005
50 1 4 19 0.05128600000000003
51 1 4 20 -0.03418800000000002
52 1 5 6 -0.10256200000000006
53 1 5 7 0.06837400000000005
54 1 5 8 0.017094
55 1 5 9 -1.9999999999964504e-6
56 1 5 10 9.999999999954495e-7
