t i j k u[t]=u_ijk
1 1 2 3 -0.02746500000000001
2 1 2 4 -0.07553500000000002
3 1 2 5 -0.013733499999999997
4 1 2 6 -0.06180200000000002
5 1 2 7 -0.006868499999999998
6 1 2 8 0.027466500000000005
7 1 2 9 -0.027469999999999977
8 1 2 10 -0.082402
9 1 2 11 -0.10987000000000002
10 1 2 12 -0.034335000000000004
11 1 2 13 -0.0343365
12 1 2 14 -0.07553500000000002
13 1 2 15 -0.054935000000000025
14 1 2 16 -0.1373365
15 1 2 17 -0.06180150000000001
16 1 2 18 -0.020602999999999986
17 1 2 19 -0.04806800000000001
18 1 2 20 -0.04806800000000001
19 1 3 4 0.07553200000000003
20 1 3 5 0.05493500000000001
21 1 3 6 -0.00686849999999999
22 1 3 7 0.04119650000000002
23 1 3 8 0.13046500000000003
24 1 3 9 0.02746500000000002
25 1 3 10 0.006865000000000022
26 1 3 11 0.09613000000000002
27 1 3 12 0.08239850000000003
28 1 3 13 0.07553200000000004
29 1 3 14 0.07553150000000002
30 1 3 15 -0.04807
31 1 3 16 -0.14420500000000003
32 1 3 17 0.15106500000000003
33 1 3 18 -0.013732999999999988
34 1 3 19 0.06179850000000002
35 1 3 20 0.13046500000000003
36 1 4 5 0.05493500000000001
37 1 4 6 -0.0068665000000000045
38 1 4 7 0.13733150000000002
39 1 4 8 -0.12359850000000003
40 1 4 9 -0.08926650000000003
41 1 4 10 0.020600000000000004
42 1 4 11 -0.020601500000000005
43 1 4 12 0.12359850000000004
44 1 4 13 -0.04806650000000001
45 1 4 14 0.03433300000000001
46 1 4 15 0.054932999999999996
47 1 4 16 0.034330000000000006
48 1 4 17 0.08926650000000003
49 1 4 18 0.048067000000000006
50 1 4 19 0.041200000000000014
51 1 4 20 0.17853500000000005
52 1 5 6 -0.03433500000000001
53 1 5 7 0.08239650000000003
54 1 5 8 0.020598
55 1 5 9 -0.0824
56 1 5 10 -0.061802
57 1 5 11 0.068665
58 1 5 12 0.05493350000000001
59 1 5 13 -1.4999999999987248e-6
60 1 5 14 -0.13733350000000002
61 1 5 15 0.006864999999999989
62 1 5 16 -0.08927000000000002
63 1 5 17 -0.027468500000000014
64 1 5 18 0.04119700000000001
65 1 5 19 -0.06180150000000001
66 1 5 20 -0.06867000000000001
67 1 6 7 0.07553300000000002
68 1 6 8 0.013733500000000001
69 1 6 9 0.013733500000000013
70 1 6 10 0.006868500000000001
71 1 6 11 0.06179850000000001
72 1 6 12 0.020600500000000008
73 1 6 13 -0.02746650000000001
74 1 6 14 0.04806650000000001
75 1 6 15 -0.027466500000000015
76 1 6 16 -0.034335000000000004
77 1 6 17 -0.10986650000000003
78 1 6 18 -0.13046450000000004
79 1 6 19 0.013733500000000004
80 1 6 20 0.04806700000000001
81 1 7 8 0.027466500000000005
82 1 7 9 -0.1922665
83 1 7 10 -0.02060150000000001
84 1 7 11 -0.006866500000000011
85 1 7 12 -0.0068665000000000045
86 1 7 13 -0.041200000000000014
87 1 7 14 -0.07553500000000002
88 1 7 15 -0.12360150000000002
89 1 7 16 -0.041201500000000016
90 1 7 17 -0.03433300000000001
91 1 7 18 -0.09613300000000002
92 1 7 19 -0.034332999999999995
93 1 7 20 0.027467000000000002
94 1 8 9 -0.05493150000000001
95 1 8 10 -0.04806650000000001
96 1 8 11 -0.08926800000000001
97 1 8 12 0.05493200000000001
98 1 8 13 -0.04806650000000001
99 1 8 14 0.006866500000000001
100 1 8 15 -0.04120000000000003
101 1 8 16 -0.06866850000000001
102 1 8 17 0.06179850000000001
103 1 8 18 0.013735499999999993
104 1 8 19 0.04120200000000001
105 1 8 20 -0.07553150000000002
106 1 9 10 0.04120000000000002
