i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.3156369 1 93.0
2 0.49849989999999994 11 79.0
3 2.0810227 2 76.0
4 0.4544372499999999 13 73.0
5 0.5904633849999998 10 61.0
6 0.8366637499999999 8 60.0
7 1.2207411 4 58.0
8 0.15818350000000003 19 55.0
9 1.7449714149999997 3 51.0
10 0.4804979 12 51.0
11 1.0621360499999999 5 49.0
12 0.4276876999999999 14 49.0
13 0.8376017999999998 7 49.0
14 0.0 20 47.0
15 0.33947255 17 46.0
16 0.7179105499999999 9 43.0
17 0.3873588999999999 15 43.0
18 0.36805509999999986 16 29.0
19 1.0368496499999997 6 22.0
20 0.23613090000000014 18 20.0
