t i j k u[t]=u_ijk
1 1 2 3 -0.031754149999999995
2 1 2 4 -0.031656000000000004
3 1 2 5 0.015914000000000008
4 1 2 6 0.033003000000000005
5 1 2 7 0.004774999999999997
6 1 2 8 0.005363150000000012
7 1 2 9 -0.07877500000000003
8 1 2 10 -0.08892200000000001
9 1 2 11 -0.11976700000000003
10 1 2 12 -0.015489000000000011
11 1 2 13 -0.028628500000000005
12 1 2 14 -0.004599999999999994
13 1 2 15 -0.021189500000000007
14 1 2 16 -0.10976000000000002
15 1 2 17 -0.09728500000000002
16 1 2 18 -0.016060500000000005
17 1 2 19 -0.018459999999999997
18 1 2 20 -0.0212715
19 1 3 4 0.05783415000000001
20 1 3 5 0.023914150000000016
21 1 3 6 0.06312065
22 1 3 7 -0.02364085000000001
23 1 3 8 0.021434150000000003
24 1 3 9 -0.03184735000000001
25 1 3 10 0.001959149999999999
26 1 3 11 -0.00022385000000000327
27 1 3 12 0.008499149999999992
28 1 3 13 0.01083315000000001
29 1 3 14 0.09320415000000003
30 1 3 15 0.009349149999999985
31 1 3 16 -0.09108935000000001
32 1 3 17 0.05400765000000002
33 1 3 18 0.003859150000000001
34 1 3 19 -0.029875850000000002
35 1 3 20 0.10620565000000003
36 1 4 5 -0.027525000000000004
37 1 4 6 0.024440999999999994
38 1 4 7 -0.004965000000000009
39 1 4 8 -0.031145000000000006
40 1 4 9 -0.15982460000000004
41 1 4 10 -0.03445600000000002
42 1 4 11 -0.04132750000000002
43 1 4 12 0.03234049999999999
44 1 4 13 -0.05648060000000002
45 1 4 14 0.06317400000000002
46 1 4 15 -0.009913000000000014
47 1 4 16 -0.06804300000000003
48 1 4 17 -0.006142000000000004
49 1 4 18 -0.04258000000000002
50 1 4 19 -0.006307500000000006
51 1 4 20 0.03973150000000001
52 1 5 6 0.016442049999999993
53 1 5 7 0.026594999999999997
54 1 5 8 0.024990000000000012
55 1 5 9 -0.13844503500000005
56 1 5 10 -0.038327500000000014
57 1 5 11 0.0057635
58 1 5 12 0.026011649999999994
59 1 5 13 0.035075000000000016
60 1 5 14 0.010495
61 1 5 15 0.012367999999999995
62 1 5 16 -0.04049800000000001
63 1 5 17 -0.04722150000000001
64 1 5 18 -0.0032800000000000047
65 1 5 19 -0.016701500000000005
66 1 5 20 0.012310000000000003
67 1 6 7 -0.019714000000000002
68 1 6 8 -0.03395999999999999
69 1 6 9 -0.13421850000000002
70 1 6 10 -0.021766
71 1 6 11 -0.025021499999999995
72 1 6 12 -0.05724000000000001
73 1 6 13 -0.026848499999999994
74 1 6 14 0.08234685000000004
75 1 6 15 -0.037949500000000004
76 1 6 16 -0.061013500000000005
77 1 6 17 -0.09302000000000002
78 1 6 18 -0.08312500000000002
79 1 6 19 -0.029709999999999993
80 1 6 20 0.018819500000000017
81 1 7 8 0.022060000000000017
82 1 7 9 -0.11674500000000003
83 1 7 10 0.011148000000000007
84 1 7 11 -0.024252150000000004
85 1 7 12 0.08554750000000001
86 1 7 13 -0.0483
87 1 7 14 0.11647300000000003
88 1 7 15 0.003300000000000004
89 1 7 16 -0.013151999999999997
90 1 7 17 0.007520000000000009
91 1 7 18 -0.07925500000000002
92 1 7 19 0.006337100000000011
93 1 7 20 0.05196450000000003
94 1 8 9 -0.11765000000000005
95 1 8 10 -0.06539280000000001
96 1 8 11 -0.07912450000000003
97 1 8 12 -0.0058050000000000185
98 1 8 13 -0.05616800000000002
99 1 8 14 0.06037400000000001
100 1 8 15 -0.014880500000000017
101 1 8 16 -0.11273850000000005
102 1 8 17 -0.014930500000000011
103 1 8 18 0.0024449999999999975
104 1 8 19 -0.013985000000000008
105 1 8 20 -0.031148500000000016
106 1 9 10 0.10053450000000003
107 1 9 11 0.003683500000000007
108 1 9 12 0.12366850000000003
109 1 9 13 0.022215000000000013
110 1 9 14 0.16179500000000002
111 1 9 15 0.02144500000000001
112 1 9 16 -0.0194085
113 1 9 17 0.07951000000000003
114 1 9 18 0.014164999999999987
115 1 9 19 0.05988650000000004
116 1 9 20 0.14086550000000003
117 1 10 11 -0.07740200000000003
118 1 10 12 -0.0070100000000000075
119 1 10 13 0.030850500000000013
120 1 10 14 0.13357400000000005
121 1 10 15 0.07809250000000002
122 1 10 16 -0.04252100000000001
123 1 10 17 0.03064700000000001
124 1 10 18 0.08292000000000002
125 1 10 19 0.021119500000000013
126 1 10 20 0.07064585000000004
127 1 11 12 0.07146000000000001
128 1 11 13 0.02498185000000001
129 1 11 14 0.11567800000000002
130 1 11 15 0.055500000000000015
131 1 11 16 -0.0014789999999999975
132 1 11 17 0.028250500000000008
133 1 11 18 0.017808500000000015
134 1 11 19 -0.0036569999999999945
135 1 11 20 0.04341650000000001
136 1 12 13 -0.014021499999999996
137 1 12 14 0.04908950000000003
138 1 12 15 -0.07148000000000002
139 1 12 16 -0.026818499999999995
140 1 12 17 -0.0569835
141 1 12 18 0.0014595000000000085
142 1 12 19 -0.042524
143 1 12 20 0.0034110000000000147
144 1 13 14 0.049815000000000026
145 1 13 15 0.03814000000000001
146 1 13 16 0.010778499999999998
147 1 13 17 -0.002803000000000001
148 1 13 18 0.03203500000000001
149 1 13 19 0.058300000000000025
150 1 13 20 0.07287800000000003
151 1 14 15 -0.05182100000000002
152 1 14 16 -0.10627550000000005
153 1 14 17 -0.09991965000000004
154 1 14 18 -0.11041145000000002
155 1 14 19 -0.08932600000000004
156 1 14 20 -0.017291000000000008
157 1 15 16 -0.10621700000000003
158 1 15 17 -0.05924300000000002
159 1 15 18 -0.12446000000000002
160 1 15 19 0.038700000000000026
161 1 15 20 0.03824550000000002
162 1 16 17 0.04128150000000002
163 1 16 18 0.015795500000000004
164 1 16 19 0.05462050000000002
165 1 16 20 0.05706350000000002
166 1 17 18 0.0039464999999999995
167 1 17 19 -0.010203500000000002
168 1 17 20 0.02140350000000001
169 1 18 19 0.02061600000000001
170 1 18 20 0.07602800000000004
171 1 19 20 0.04471650000000001
172 2 3 4 0.05773600000000001
173 2 3 5 -0.023754000000000004
174 2 3 6 -0.0016365000000000023
175 2 3 7 -0.060170000000000015
176 2 3 8 -0.015683150000000007
177 2 3 9 0.0151735
178 2 3 10 0.059127
179 2 3 11 0.08778900000000003
180 2 3 12 -0.007766000000000008
181 2 3 13 0.007707499999999997
182 2 3 14 0.06605000000000003
183 2 3 15 -0.001215500000000014
184 2 3 16 -0.013083500000000007
185 2 3 17 0.11953850000000002
186 2 3 18 -0.011834500000000006
187 2 3 19 -0.04317000000000001
188 2 3 20 0.09572300000000003
189 2 4 5 -0.07509500000000001
190 2 4 6 -0.04021800000000001
191 2 4 7 -0.04139600000000001
192 2 4 8 -0.06816415000000002
193 2 4 9 -0.11270560000000003
194 2 4 10 0.02281000000000001
195 2 4 11 0.04678350000000001
196 2 4 12 0.0161735
197 2 4 13 -0.059508100000000015
198 2 4 14 0.03611800000000001
199 2 4 15 -0.02037950000000001
200 2 4 16 0.010061000000000002
201 2 4 17 0.05948700000000002
202 2 4 18 -0.05817550000000002
203 2 4 19 -0.019503500000000003
204 2 4 20 0.02934700000000001
205 2 5 6 -0.0006469500000000002
206 2 5 7 0.03773400000000001
207 2 5 8 0.03554085000000001
208 2 5 9 -0.04375603500000001
