t i j k u[t]=u_ijk
1 1 2 3 0.04181700000000003
2 1 2 4 0.017784500000000016
3 1 2 5 -0.01862050000000001
4 1 2 6 0.06090000000000004
5 1 2 7 0.06188000000000004
6 1 2 8 0.07681760000000004
7 1 2 9 -0.016263500000000007
8 1 2 10 -0.04892700000000002
9 1 2 11 -0.07425450000000004
10 1 2 12 0.017268500000000006
11 1 2 13 -0.0033960000000000062
12 1 2 14 -0.03816500000000001
13 1 2 15 -0.009670500000000004
14 1 2 16 -0.07675850000000005
15 1 2 17 -0.04987500000000002
16 1 2 18 -0.006043999999999996
17 1 2 19 -0.04069605000000002
18 1 2 20 0.004372500000000012
19 1 3 4 0.03873700000000003
20 1 3 5 -0.04990700000000003
21 1 3 6 -0.0091235
22 1 3 7 -0.026422000000000015
23 1 3 8 0.02587799999999999
24 1 3 9 -0.030853000000000012
25 1 3 10 -0.03977600000000002
26 1 3 11 -0.011742800000000006
27 1 3 12 -0.0029920000000000077
28 1 3 13 -0.022794500000000016
29 1 3 14 0.009178000000000002
30 1 3 15 -0.05160200000000003
31 1 3 16 -0.11132400000000006
32 1 3 17 0.04363400000000003
33 1 3 18 -0.02984350000000002
34 1 3 19 -0.009584000000000004
35 1 3 20 0.034362000000000024
36 1 4 5 -0.04184450000000003
37 1 4 6 0.024810000000000013
38 1 4 7 0.03831000000000001
39 1 4 8 -0.032290000000000034
40 1 4 9 -0.12979900000000008
41 1 4 10 -0.02356950000000002
42 1 4 11 -0.03355650000000003
43 1 4 12 0.023487300000000003
44 1 4 13 -0.028836000000000025
45 1 4 14 0.008491499999999997
46 1 4 15 -0.033959000000000024
47 1 4 16 -0.035772500000000026
48 1 4 17 0.0006662499999999983
49 1 4 18 -0.030678500000000018
50 1 4 19 -0.004689500000000004
51 1 4 20 -0.0035115
52 1 5 6 -0.018507000000000003
53 1 5 7 0.04328550000000002
54 1 5 8 0.07762300000000004
55 1 5 9 -0.07946450000000004
56 1 5 10 -0.03804900000000002
57 1 5 11 0.015972500000000014
58 1 5 12 0.04391900000000002
59 1 5 13 0.04069650000000002
60 1 5 14 -0.0011800000000000037
61 1 5 15 0.03778845000000002
62 1 5 16 -0.009038000000000004
63 1 5 17 0.01217600000000001
64 1 5 18 -0.004116499999999998
65 1 5 19 0.003625500000000006
66 1 5 20 0.02377000000000002
67 1 6 7 0.03672400000000001
68 1 6 8 0.034480000000000004
69 1 6 9 -0.08835650000000005
70 1 6 10 -0.014361450000000015
71 1 6 11 -0.00685000000000001
72 1 6 12 -0.011740000000000023
73 1 6 13 -0.02175800000000002
74 1 6 14 0.060266100000000024
75 1 6 15 -0.010648500000000012
76 1 6 16 -0.05641050000000004
77 1 6 17 -0.027540000000000012
78 1 6 18 -0.06576150000000004
79 1 6 19 -0.025442100000000016
80 1 6 20 0.042363250000000026
81 1 7 8 0.04245350000000002
82 1 7 9 -0.14010350000000008
83 1 7 10 -0.004605000000000001
84 1 7 11 -0.060238150000000025
85 1 7 12 0.02233450000000001
86 1 7 13 -0.04763200000000002
87 1 7 14 -0.0002884999999999972
88 1 7 15 -0.021009500000000007
89 1 7 16 -0.04564650000000002
90 1 7 17 -0.023079500000000003
91 1 7 18 -0.09322150000000004
92 1 7 19 -0.021902000000000005
93 1 7 20 -0.0001169999999999894
94 1 8 9 -0.10916850000000007
95 1 8 10 -0.11279350000000007
96 1 8 11 -0.12767350000000005
97 1 8 12 -0.027343500000000014
98 1 8 13 -0.08009850000000004
99 1 8 14 -0.030222500000000013
100 1 8 15 -0.07008300000000003
101 1 8 16 -0.10179950000000006
102 1 8 17 -0.04967500000000002
103 1 8 18 -0.07506200000000003
104 1 8 19 -0.033298999999999995
105 1 8 20 -0.09216000000000003
106 1 9 10 0.09722100000000006
107 1 9 11 0.013152500000000008
108 1 9 12 0.08890400000000004
109 1 9 13 0.04084000000000002
110 1 9 14 0.07226850000000003
111 1 9 15 0.0096435
112 1 9 16 -0.03332850000000001
113 1 9 17 0.05264350000000003
114 1 9 18 -0.016663000000000004
115 1 9 19 0.07618250000000004
116 1 9 20 0.07062350000000003
117 1 10 11 -0.09368350000000006
118 1 10 12 0.03799100000000002
119 1 10 13 0.033040500000000014
120 1 10 14 0.07356265000000003
121 1 10 15 0.07543450000000004
122 1 10 16 -0.006015500000000002
123 1 10 17 0.09345350000000006
124 1 10 18 0.04435100000000003
125 1 10 19 0.04253800000000003
126 1 10 20 0.045903000000000034
127 1 11 12 0.05879950000000003
128 1 11 13 0.019110700000000008
129 1 11 14 0.024662500000000025
130 1 11 15 0.01424750000000001
131 1 11 16 0.013152800000000008
132 1 11 17 -0.009032499999999992
133 1 11 18 -0.0031944999999999964
134 1 11 19 0.022305200000000015
135 1 11 20 0.008457500000000012
136 1 12 13 -0.0039135000000000055
137 1 12 14 -0.054485000000000026
138 1 12 15 -0.07212500000000004
139 1 12 16 -0.018332000000000015
140 1 12 17 -0.04645000000000002
141 1 12 18 0.012433500000000026
142 1 12 19 -0.07048435000000004
143 1 12 20 -0.015716499999999998
144 1 13 14 -0.017356500000000007
145 1 13 15 0.01977250000000002
146 1 13 16 0.03773100000000002
147 1 13 17 -0.022246500000000002
148 1 13 18 0.05364700000000003
149 1 13 19 -0.004058499999999997
