i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.2001890000000004 6 93.0
2 0.36778600000000006 18 79.0
3 2.458490000000001 1 76.0
4 0.9291830000000003 8 73.0
5 1.2776335000000003 4 61.0
6 0.6581650000000002 13 60.0
7 1.2582770000000005 5 58.0
8 0.5226650000000002 16 55.0
9 1.4325000000000006 3 51.0
10 0.8904745000000003 9 51.0
11 1.5486520000000006 2 49.0
12 0.7936760000000004 11 49.0
13 0.7549685000000003 12 49.0
14 0.8130295000000003 10 47.0
15 0.5613765000000004 15 46.0
16 0.0 20 43.0
17 0.9485410000000004 7 43.0
18 0.38715700000000003 17 29.0
19 0.5613845000000002 14 22.0
20 0.05806199999999995 19 20.0
