i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.8112397499999999 1 100.0
2 0.3398306 6 81.0
3 0.64002725 2 77.0
4 0.5922495000000001 3 75.0
5 0.29212895 7 70.0
6 0.5635713500000001 4 63.0
7 0.18690004999999998 11 54.0
8 0.133604785 15 49.0
9 0.2177305 9 47.0
10 0.0 20 44.0
11 0.12304214999999993 16 44.0
12 0.20753644999999998 10 44.0
13 0.13661599999999993 14 42.0
14 0.269392535 8 41.0
15 0.06166459999999993 17 40.0
16 0.14756401999999996 13 37.0
17 0.38810195000000003 5 36.0
18 0.0592831949999999 18 33.0
19 0.15917726499999996 12 33.0
20 0.010684099999999919 19 31.0
