i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.5282877999999999 1 100.0
2 0.23121766499999996 7 81.0
3 0.39690968849999997 3 77.0
4 0.39046261149999995 4 75.0
5 0.2758522499999999 6 70.0
6 0.41133875 2 63.0
7 0.08657833999999999 13 54.0
8 0.15865089499999996 8 49.0
9 0.13894919999999997 10 47.0
10 0.01500092499999997 19 44.0
11 0.02950314999999995 18 44.0
12 0.10957989999999997 11 44.0
13 0.05825199999999993 15 42.0
14 0.14158269999999995 9 41.0
15 0.08900789999999995 12 40.0
16 0.07998384999999995 14 37.0
17 0.28460179999999996 5 36.0
18 0.038119539999999924 17 33.0
19 0.05760403499999997 16 33.0
20 0.0 20 31.0
