t i j k u[t]=u_ijk
1 1 2 3 -0.013280700000000001
2 1 2 4 0.010535999999999998
3 1 2 5 -0.0021350000000000006
4 1 2 6 -0.007886650000000002
5 1 2 7 -0.011057000000000003
6 1 2 8 0.001989934999999999
7 1 2 9 -0.0035640000000000003
8 1 2 10 0.000919499999999998
9 1 2 11 -0.011728500000000003
10 1 2 12 0.0006418999999999994
11 1 2 13 0.0036183499999999998
12 1 2 14 0.015136499999999999
13 1 2 15 -0.0095875
14 1 2 16 -0.006604499999999999
15 1 2 17 0.0013023000000000004
16 1 2 18 -0.0049380000000000005
17 1 2 19 0.0010044999999999998
18 1 2 20 -0.009177
19 1 3 4 0.0118023115
20 1 3 5 0.006649200000000001
21 1 3 6 0.007446
22 1 3 7 0.010109199999999999
23 1 3 8 0.0179408
24 1 3 9 0.009008200000000003
25 1 3 10 0.017516199999999996
26 1 3 11 0.0020011999999999977
27 1 3 12 0.006812199999999999
28 1 3 13 0.0136077
29 1 3 14 0.020600700000000003
30 1 3 15 0.0081757
31 1 3 16 0.021585700000000003
32 1 3 17 0.012815199999999999
33 1 3 18 0.008036199999999999
34 1 3 19 0.0144907
35 1 3 20 -0.0015757999999999994
36 1 4 5 0.0029462
37 1 4 6 -0.00224515
38 1 4 7 -0.004507999999999999
39 1 4 8 -0.020037
40 1 4 9 0.003496000000000002
41 1 4 10 0.004735499999999998
42 1 4 11 -0.005511000000000002
43 1 4 12 0.00765815
44 1 4 13 -0.0024969999999999992
45 1 4 14 0.006644000000000002
46 1 4 15 -2.600000000000102e-5
47 1 4 16 -0.0010245000000000005
48 1 4 17 0.009245800000000002
49 1 4 18 -0.002239000000000002
50 1 4 19 0.0048065
51 1 4 20 -0.008990999999999997
52 1 5 6 0.00285885
53 1 5 7 -0.00799
54 1 5 8 0.007116549999999998
55 1 5 9 1.900000000000096e-5
56 1 5 10 0.006600499999999998
57 1 5 11 0.002281999999999998
58 1 5 12 0.0012630000000000002
59 1 5 13 -0.0035014999999999977
60 1 5 14 0.013485650000000002
61 1 5 15 -0.0019320000000000003
62 1 5 16 0.0036760000000000013
63 1 5 17 -0.0029319999999999984
64 1 5 18 0.004012999999999998
65 1 5 19 0.014646399999999997
66 1 5 20 -0.0024295
67 1 6 7 0.007796150000000001
68 1 6 8 0.01135615
69 1 6 9 0.01320365
70 1 6 10 -0.001099349999999999
71 1 6 11 0.01225715
72 1 6 12 0.0051696500000000005
73 1 6 13 0.0007131500000000013
74 1 6 14 0.011597650000000001
75 1 6 15 0.008965149999999998
76 1 6 16 0.020792150000000006
77 1 6 17 0.004926650000000002
78 1 6 18 -0.007045849999999998
79 1 6 19 0.00847515
80 1 6 20 0.0030076500000000006
81 1 7 8 0.007194
82 1 7 9 0.0174445
83 1 7 10 0.014744175
84 1 7 11 0.00033349999999999976
85 1 7 12 0.005113300000000001
86 1 7 13 -0.004811999999999999
87 1 7 14 0.009107
88 1 7 15 0.00125355
89 1 7 16 0.019630800000000004
90 1 7 17 0.002847350000000002
91 1 7 18 0.002094850000000001
92 1 7 19 0.010349285000000001
93 1 7 20 0.0061895000000000006
94 1 8 9 -0.0006449999999999997
95 1 8 10 0.017277999999999998
96 1 8 11 0.009391249999999999
97 1 8 12 -0.0135995
98 1 8 13 -0.004334999999999999
99 1 8 14 0.009224750000000002
100 1 8 15 -0.010972
101 1 8 16 0.007166000000000002
102 1 8 17 -0.004714799999999998
103 1 8 18 0.00448159
104 1 8 19 0.0008705000000000005
105 1 8 20 -0.0019984499999999993
106 1 9 10 -0.005675000000000002
107 1 9 11 -0.008144000000000002
108 1 9 12 0.0013014499999999998
109 1 9 13 -0.004993749999999999
110 1 9 14 0.0027568000000000002
111 1 9 15 0.0038399999999999992
112 1 9 16 0.009832750000000003
113 1 9 17 -0.0006634999999999987
114 1 9 18 -0.0082415
115 1 9 19 0.0021966999999999998
116 1 9 20 -0.015349
117 1 10 11 -0.02111
118 1 10 12 -0.007539099999999998
119 1 10 13 0.009663000000000001
120 1 10 14 -0.0207175
121 1 10 15 -0.006615499999999999
122 1 10 16 -0.009670999999999996
123 1 10 17 0.004105500000000004
124 1 10 18 0.0003630000000000008
125 1 10 19 -0.0017574999999999986
126 1 10 20 -0.027374500000000003
127 1 11 12 -0.0059844
128 1 11 13 -0.010740999999999997
129 1 11 14 -0.009305499999999998
130 1 11 15 -0.00267615
131 1 11 16 0.015522000000000001
132 1 11 17 0.018797
133 1 11 18 -0.008447999999999997
134 1 11 19 0.016777000000000004
135 1 11 20 -0.010334699999999997
136 1 12 13 -0.005252499999999999
137 1 12 14 0.009792
138 1 12 15 -0.0090675
139 1 12 16 0.026593500000000003
140 1 12 17 -0.010030999999999998
141 1 12 18 0.00528055
142 1 12 19 0.014478499999999998
143 1 12 20 -0.018169
144 1 13 14 0.012304999999999998
145 1 13 15 -0.0018439000000000018
146 1 13 16 0.029469000000000002
147 1 13 17 0.006479500000000001
148 1 13 18 0.004295649999999999
149 1 13 19 -0.0011660000000000002
150 1 13 20 -0.016064000000000002
151 1 14 15 0.004206499999999999
152 1 14 16 0.0018235000000000013
153 1 14 17 0.003069000000000001
154 1 14 18 -0.0015356500000000004
155 1 14 19 0.003463799999999999
156 1 14 20 -0.021505
157 1 15 16 0.02066615
158 1 15 17 0.015278000000000002
159 1 15 18 0.012567
160 1 15 19 0.013218599999999999
161 1 15 20 0.009540500000000002
162 1 16 17 -0.003496500000000002
163 1 16 18 -0.0170245
