i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.7546417400000001 1 100.0
2 0.35794509999999996 6 81.0
3 0.56522519 2 77.0
4 0.48561339000000003 4 75.0
5 0.37175674000000003 5 70.0
6 0.54423164 3 63.0
7 0.073305235 15 54.0
8 0.110553435 14 49.0
9 0.12784531000000002 13 47.0
10 0.07003694500000002 16 44.0
11 0.20961039499999998 9 44.0
12 0.13195278500000004 12 44.0
13 0.15010108 11 42.0
14 0.26058854 8 41.0
15 0.05663203999999997 17 40.0
16 0.16792773500000002 10 37.0
17 0.27362964500000003 7 36.0
18 0.035624390000000034 19 33.0
19 0.05579446500000004 18 33.0
20 0.0 20 31.0
