t i j k u[t]=u_ijk
1 1 2 3 -0.01404565
2 1 2 4 0.002145500000000003
3 1 2 5 0.0022017000000000017
4 1 2 6 -0.013055000000000002
5 1 2 7 -0.015680999999999997
6 1 2 8 -0.006025499999999998
7 1 2 9 0.003337500000000002
8 1 2 10 0.002846500000000005
9 1 2 11 0.0010860000000000023
10 1 2 12 0.02200459
11 1 2 13 0.009872500000000003
12 1 2 14 0.015056650000000006
13 1 2 15 -0.0027994999999999995
14 1 2 16 -0.015248499999999996
15 1 2 17 0.011103350000000001
16 1 2 18 0.00040300000000000063
17 1 2 19 0.0044164999999999986
18 1 2 20 0.0068880000000000035
19 1 3 4 -0.0007084499999999995
20 1 3 5 0.011238550000000002
21 1 3 6 -0.009302900000000001
22 1 3 7 0.006791050000000002
23 1 3 8 0.007293050000000002
24 1 3 9 0.015007050000000008
25 1 3 10 0.005893050000000006
26 1 3 11 -0.0048954499999999965
27 1 3 12 0.010983550000000005
28 1 3 13 0.015454550000000001
29 1 3 14 0.02052005000000001
30 1 3 15 0.009327550000000002
31 1 3 16 0.025837550000000008
32 1 3 17 0.015557550000000005
33 1 3 18 0.01829205
34 1 3 19 0.007962049999999998
35 1 3 20 0.004991050000000003
36 1 4 5 -0.0003189999999999999
37 1 4 6 -0.011733900000000002
38 1 4 7 -0.0017059999999999992
39 1 4 8 -0.005617499999999998
40 1 4 9 0.013152500000000004
41 1 4 10 0.005584000000000004
42 1 4 11 -0.002428999999999998
43 1 4 12 0.023911500000000002
44 1 4 13 0.024844300000000003
45 1 4 14 0.030011500000000007
46 1 4 15 0.010689000000000002
47 1 4 16 0.004614000000000002
48 1 4 17 0.013626000000000001
49 1 4 18 0.0014170000000000018
50 1 4 19 0.010495500000000001
51 1 4 20 0.024115500000000005
52 1 5 6 -0.006353500000000001
53 1 5 7 -0.014328
54 1 5 8 -0.0242005
55 1 5 9 0.011802950000000003
56 1 5 10 -0.0017319999999999974
57 1 5 11 -0.0013494999999999994
58 1 5 12 0.0068705
59 1 5 13 -0.014865000000000001
60 1 5 14 0.010487600000000005
61 1 5 15 -0.0011364999999999986
62 1 5 16 -0.015696
63 1 5 17 -0.004282000000000002
64 1 5 18 0.0141562
65 1 5 19 0.013536499999999996
66 1 5 20 0.012455500000000003
67 1 6 7 0.012420500000000003
68 1 6 8 0.017222500000000005
69 1 6 9 0.023799000000000004
70 1 6 10 0.004062500000000002
71 1 6 11 0.020711000000000004
72 1 6 12 0.021114499999999998
73 1 6 13 0.009468499999999998
74 1 6 14 0.029804300000000002
75 1 6 15 0.024175000000000002
76 1 6 16 0.026127500000000005
77 1 6 17 0.008547
78 1 6 18 0.007220500000000003
79 1 6 19 0.0143455
80 1 6 20 0.024936500000000004
81 1 7 8 0.013096000000000002
82 1 7 9 0.027254500000000008
83 1 7 10 0.012900555000000003
84 1 7 11 0.019039
85 1 7 12 0.016477099999999998
86 1 7 13 0.012499399999999997
87 1 7 14 0.018339500000000005
88 1 7 15 0.029104500000000002
89 1 7 16 0.010080500000000001
90 1 7 17 0.017242000000000004
91 1 7 18 -0.002229000000000002
92 1 7 19 0.029530999999999998
93 1 7 20 0.0031680000000000015
94 1 8 9 0.004630000000000001
95 1 8 10 0.017255100000000002
96 1 8 11 0.0215965
97 1 8 12 0.017683705
98 1 8 13 0.023871000000000003
99 1 8 14 0.015608
