l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.28318 -0.29774243 0.014562430000000019 0.0
2 1 3 0.0006754 -0.11212606000000008 0.11280146 8.326672684688674e-17
3 2 3 0.1091 0.18561636999999995 -0.07651637000000001 8.326672684688674e-17
4 1 4 -0.21675 -0.15807871500000004 -0.05867128499999999 2.7755575615628914e-17
5 2 4 0.32399 0.139663715 0.18432628500000003 -2.7755575615628914e-17
6 3 4 -0.13366 -0.04595265499999995 -0.08770734500000002 -2.7755575615628914e-17
7 1 5 -0.25333 -0.24741083000000003 -0.005919169999999996 2.7755575615628914e-17
8 2 5 0.10517 0.050331600000000004 0.0548384 -6.938893903907228e-18
9 3 5 -0.15972 -0.13528476999999994 -0.024435230000000002 -5.551115123125783e-17
10 4 5 -0.13833 -0.08933211499999999 -0.04899788500000002 0.0
11 1 6 0.090318 -0.198484545 0.288802545 0.0
12 2 6 0.096671 0.09925788500000002 -0.0025868849999999876 -2.7755575615628914e-17
13 3 6 -0.11659 -0.08635848499999993 -0.030231514999999987 -8.326672684688674e-17
14 4 6 0.0062977 -0.040405829999999976 0.04670353 -2.7755575615628914e-17
15 5 6 0.10808 0.048926285000000014 0.05915371500000002 -4.163336342344337e-17
16 1 7 -0.42456 -0.5628007800000001 0.13824078000000004 1.1102230246251565e-16
17 2 7 -0.40358 -0.26505835 -0.13852165000000002 0.0
18 3 7 -0.18712 -0.45067472 0.26355472 -5.551115123125783e-17
19 4 7 -0.3789 -0.404722065 0.025822065 0.0
20 5 7 -0.2225 -0.31538995000000003 0.09288995000000003 0.0
21 6 7 -0.18951 -0.36431623500000004 0.174806235 5.551115123125783e-17
22 1 8 -0.36102 -0.49784908000000005 0.13682908000000002 0.0
23 2 8 -0.14426 -0.20010665 0.055846650000000005 0.0
24 3 8 -0.20432 -0.38572301999999997 0.18140302000000003 -5.551115123125783e-17
25 4 8 -0.55604 -0.339770365 -0.21626963500000002 5.551115123125783e-17
26 5 8 -0.28337 -0.25043825000000003 -0.03293175000000002 5.551115123125783e-17
