i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.636988815 1 100.0
2 0.33924638499999993 6 81.0
3 0.5248627549999999 2 77.0
4 0.47891009999999995 3 75.0
5 0.38957798499999996 5 70.0
6 0.43850427 4 63.0
7 0.07418803499999993 17 54.0
8 0.13913973499999993 12 49.0
9 0.16616222049999996 9 47.0
10 0.024851084999999967 18 44.0
11 0.11599063500000001 15 44.0
12 0.15584556999999996 10 44.0
13 0.11608041499999999 14 42.0
14 0.17722493499999997 8 41.0
15 0.07741303499999996 16 40.0
16 0.13303833499999992 13 37.0
17 0.29715129949999997 7 36.0
18 0.0 20 33.0
19 0.14275895499999994 11 33.0
20 0.011175134999999947 19 31.0
