i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.8428266500000001 1 100.0
2 0.2858193000000001 7 81.0
3 0.5080809500000002 4 77.0
4 0.6947396500000002 2 75.0
5 0.5013253000000002 5 70.0
6 0.5703870000000002 3 63.0
7 0.03421515 18 54.0
8 0.03266115 19 49.0
9 0.15705575000000008 12 47.0
10 0.21650815000000012 9 44.0
11 0.22696165000000007 8 44.0
12 0.07664365000000006 16 44.0
13 0.10277065000000002 15 42.0
14 0.2869316500000001 6 41.0
15 0.12431715000000007 13 40.0
16 0.16208250000000007 11 37.0
17 0.18376885000000004 10 36.0
18 0.04583070000000003 17 33.0
19 0.0 20 33.0
20 0.11841715000000011 14 31.0
