l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 0.24116 -0.11584662500000002 0.35700662499999997 6.938893903907228e-17
2 1 3 -0.26056 -0.23589905000000005 -0.02466095000000003 5.551115123125783e-17
3 2 3 0.33884 -0.12005242500000005 0.45889242499999994 8.326672684688674e-17
4 1 4 -0.144 -0.15670912000000004 0.012709119999999987 5.551115123125783e-17
5 2 4 -0.009521 -0.04086249500000002 0.031341495000000004 1.3877787807814457e-17
6 3 4 0.1422 0.07918993000000002 0.06301006999999997 0.0
7 1 5 -0.37785 -0.03518287350000002 -0.3426671265 -2.7755575615628914e-17
8 2 5 0.15578 0.0806637515 0.07511624850000001 -1.3877787807814457e-17
9 3 5 -0.013027 0.20071617650000004 -0.21374317650000002 -2.7755575615628914e-17
10 4 5 0.14205 0.12152624650000002 0.02052375350000001 -1.3877787807814457e-17
11 1 6 0.15432 -0.20763710500000007 0.361957105 8.326672684688674e-17
12 2 6 -0.35409 -0.09179048000000004 -0.26229952 2.7755575615628914e-17
13 3 6 0.12832 0.028261944999999997 0.10005805499999999 0.0
14 4 6 -0.15742 -0.05092798500000002 -0.10649201499999997 -1.3877787807814457e-17
15 5 6 -0.083586 -0.17245423150000005 0.08886823149999999 5.551115123125783e-17
16 1 7 -0.3232 -0.2728493000000001 -0.05035069999999998 5.551115123125783e-17
17 2 7 -0.32627 -0.1570026750000001 -0.169267325 8.326672684688674e-17
18 3 7 0.54506 -0.03695025000000004 0.58201025 7.632783294297951e-17
19 4 7 -0.092855 -0.11614018000000007 0.02328518 6.938893903907228e-17
20 5 7 -0.61337 -0.23766642650000008 -0.37570357349999994 5.551115123125783e-17
21 6 7 -0.04952 -0.06521219500000004 0.015692194999999985 5.551115123125783e-17
22 1 8 -0.30259 -0.3165393000000001 0.013949299999999987 5.551115123125783e-17
23 2 8 -0.50831 -0.20069267500000007 -0.307617325 2.7755575615628914e-17
24 3 8 0.035102 -0.08064025000000002 0.11574224999999996 5.551115123125783e-17
25 4 8 -0.44495 -0.15983018000000004 -0.2851198199999999 -5.551115123125783e-17
26 5 8 -0.52036 -0.2813564265000001 -0.23900357350000007 1.1102230246251565e-16
27 6 8 0.11901 -0.10890219500000003 0.227912195 2.7755575615628914e-17
28 7 8 0.13432 -0.04368999999999999 0.17801 -1.3877787807814457e-17
29 1 9 0.06677 -0.22660787500000007 0.29337787499999995 1.1102230246251565e-16
30 2 9 -0.0052705 -0.11076125000000005 0.10549075000000001 4.163336342344337e-17
31 3 9 0.1303 0.009291174999999992 0.12100882499999997 3.469446951953614e-17
32 4 9 -0.17804 -0.06989875500000003 -0.10814124499999998 1.3877787807814457e-17
33 5 9 -0.05195 -0.19142500150000005 0.13947500149999997 8.326672684688674e-17
34 6 9 -0.24116 -0.018970770000000005 -0.22218922999999996 -4.85722573273506e-17
35 7 9 0.28886 0.04624142500000003 0.24261857500000003 -5.551115123125783e-17
36 8 9 0.14494 0.08993142500000002 0.05500857499999998 1.3877787807814457e-17
37 1 10 -0.30015 -0.13118985000000002 -0.16896014999999992 -2.7755575615628914e-17
38 2 10 0.47925 -0.015343225000000002 0.4945932249999999 9.71445146547012e-17
39 3 10 -0.03594 0.10470920000000003 -0.1406492 -2.7755575615628914e-17
40 4 10 0.057408 0.025519270000000017 0.03188873000000001 -2.7755575615628914e-17
41 5 10 -0.33277 -0.09600697650000001 -0.2367630235 0.0
42 6 10 0.076231 0.07644725500000003 -0.00021625500000001067 -2.7755575615628914e-17
43 7 10 0.31869 0.14165945000000008 0.17703055 -1.1102230246251565e-16
44 8 10 -0.089735 0.18534945000000008 -0.27508445 -1.1102230246251565e-16
45 9 10 0.13146 0.09541802500000005 0.036041975 -5.551115123125783e-17
46 1 11 -0.27742 -0.3037885715000001 0.02636857150000002 5.551115123125783e-17
47 2 11 0.17785 -0.18794194650000007 0.3657919465 5.551115123125783e-17
48 3 11 0.10808 -0.06788952150000002 0.17596952149999998 4.163336342344337e-17
49 4 11 0.18257 -0.14707945150000004 0.32964945149999997 8.326672684688674e-17
50 5 11 0.00045247 -0.26860569800000006 0.269058168 5.551115123125783e-17
51 6 11 -0.0026899 -0.09615146650000003 0.0934615665 4.163336342344337e-17
52 7 11 -0.38269 -0.03093927149999999 -0.3517507285 1.3877787807814457e-17
53 8 11 0.1882 0.012750728500000003 0.1754492715 0.0
54 9 11 0.020105 -0.07718069650000002 0.09728569650000002 0.0
55 10 11 -0.28421 -0.17259872150000005 -0.11161127850000004 5.551115123125783e-17
56 1 12 -0.059709 -0.18016835000000006 0.12045934999999999 8.326672684688674e-17
57 2 12 0.36865 -0.06432172500000004 0.432971725 4.163336342344337e-17
58 3 12 0.070549 0.055730699999999994 0.014818299999999982 2.7755575615628914e-17
59 4 12 -0.25002 -0.023459230000000025 -0.22656076999999997 -2.7755575615628914e-17
60 5 12 -0.10074 -0.14498547650000004 0.04424547650000003 0.0
61 6 12 0.011082 0.027468754999999997 -0.016386754999999992 -6.938893903907228e-18
62 7 12 0.43387 0.09268095000000004 0.34118905000000005 -1.1102230246251565e-16
63 8 12 0.49753 0.13637095000000002 0.3611590499999999 2.7755575615628914e-17
64 9 12 -0.12915 0.046439525 -0.17558952499999997 -2.0816681711721685e-17
65 10 12 -0.35959 -0.04897850000000004 -0.3106115 6.938893903907228e-18
66 11 12 0.10256 0.12362022150000003 -0.021060221499999997 -4.163336342344337e-17
67 1 13 -0.3403 -0.4128912000000002 0.07259120000000001 1.6653345369377348e-16
68 2 13 -0.39552 -0.29704457500000014 -0.09847542499999996 1.1102230246251565e-16
69 3 13 -0.30667 -0.17699215000000013 -0.12967785 1.3877787807814457e-16
70 4 13 0.14922 -0.25618208000000015 0.40540208 1.6653345369377348e-16
71 5 13 -0.3 -0.3777083265000002 0.0777083265 2.220446049250313e-16
72 6 13 0.047311 -0.2052540950000001 0.25256509499999996 1.3877787807814457e-16
73 7 13 0.060952 -0.14004190000000008 0.20099389999999995 1.3877787807814457e-16
74 8 13 -0.48538 -0.09635190000000009 -0.38902809999999993 4.163336342344337e-17
75 9 13 -0.24475 -0.1862833250000001 -0.05846667500000001 1.1102230246251565e-16
76 10 13 -0.20931 -0.2817013500000002 0.07239135 2.220446049250313e-16
77 11 13 -0.27978 -0.10910262850000009 -0.17067737149999998 9.71445146547012e-17
78 12 13 -0.34615 -0.23272285000000012 -0.11342715000000002 1.3877787807814457e-16
79 1 14 0.15673 -0.17902670000000007 0.3357567 5.551115123125783e-17
80 2 14 -0.41805 -0.06318007500000003 -0.3548699249999999 -2.7755575615628914e-17
81 3 14 -0.008189 0.05687235 -0.06506135 0.0
82 4 14 -0.01657 -0.022317580000000017 0.00574757999999998 3.469446951953614e-17
83 5 14 -0.42506 -0.14384382650000005 -0.2812161735 5.551115123125783e-17
84 6 14 -0.10136 0.028610405000000005 -0.129970405 0.0
85 7 14 -0.22318 0.09382260000000003 -0.31700259999999997 -5.551115123125783e-17
86 8 14 -0.24157 0.13751260000000004 -0.37908259999999994 -1.1102230246251565e-16
87 9 14 0.2504 0.04758117500000001 0.202818825 -6.938893903907228e-18
88 10 14 -0.089798 -0.047836850000000035 -0.04196115000000001 4.163336342344337e-17
89 11 14 0.46783 0.12476187150000004 0.3430681285 -2.7755575615628914e-17
90 12 14 0.4348 0.0011416500000000062 0.43365834999999997 4.336808689942018e-17
91 13 14 0.13247 0.23386450000000011 -0.1013945 -1.1102230246251565e-16
92 1 15 -0.17042 -0.12058530000000003 -0.049834699999999975 2.7755575615628914e-17
93 2 15 0.42479 -0.004738675000000012 0.4295286749999999 9.71445146547012e-17
94 3 15 0.22197 0.11531375000000002 0.10665625 -1.3877787807814457e-17
95 4 15 0.35076 0.03612382000000001 0.31463618000000004 -3.469446951953614e-17
96 5 15 -0.053009 -0.08540242650000002 0.032393426500000023 0.0
97 6 15 -0.47393 0.08705180500000002 -0.5609818050000001 1.3877787807814457e-17
98 7 15 0.29973 0.15226400000000007 0.14746599999999996 -2.7755575615628914e-17
99 8 15 0.65163 0.19595400000000007 0.455676 -5.551115123125783e-17
100 9 15 -0.26567 0.10602257500000004 -0.3716925750000001 2.7755575615628914e-17
101 10 15 -0.2608 0.01060454999999999 -0.27140454999999997 0.0
102 11 15 0.20784 0.18320327150000004 0.024636728499999982 -2.7755575615628914e-17
103 12 15 -0.39537 0.05958305000000003 -0.4549530500000001 4.85722573273506e-17
104 13 15 0.48803 0.2923059000000001 0.19572410000000004 -1.1102230246251565e-16
105 14 15 0.3465 0.058441400000000025 0.2880586 -4.85722573273506e-17
106 1 16 -0.3365 -0.24988625000000006 -0.08661375000000004 8.326672684688674e-17
107 2 16 0.057145 -0.13403962500000005 0.191184625 5.551115123125783e-17
108 3 16 -0.607 -0.013987200000000005 -0.5930128 2.7755575615628914e-17
109 4 16 0.16801 -0.09317713000000002 0.26118713 2.7755575615628914e-17
110 5 16 -0.18685 -0.21470337650000004 0.027853376500000002 5.551115123125783e-17
111 6 16 -0.14784 -0.042249145 -0.10559085500000001 1.3877787807814457e-17
112 7 16 -0.13261 0.022963050000000033 -0.15557304999999996 -7.632783294297951e-17
113 8 16 -0.17194 0.06665305000000002 -0.23859304999999997 -5.551115123125783e-17
114 9 16 0.44177 -0.023278374999999997 0.465048375 -2.0816681711721685e-17
115 10 16 -0.15094 -0.11869640000000004 -0.0322436 4.163336342344337e-17
116 11 16 0.28605 0.053902321500000024 0.2321476785 -6.938893903907228e-18
117 12 16 -0.07298 -0.0697179 -0.0032621000000000286 2.7755575615628914e-17
118 13 16 0.31446 0.16300495000000012 0.15145504999999998 -8.326672684688674e-17
119 14 16 -0.23726 -0.07085955000000001 -0.16640045 1.3877787807814457e-17
120 15 16 0.25462 -0.12930095000000003 0.38392095 5.551115123125783e-17
121 1 17 -0.2516 -0.16972325000000005 -0.08187674999999998 5.551115123125783e-17
122 2 17 -0.27105 -0.05387662500000003 -0.217173375 2.0816681711721685e-17
123 3 17 0.25927 0.0661758 0.19309420000000002 -2.7755575615628914e-17
124 4 17 -0.16834 -0.013014130000000013 -0.15532586999999998 0.0
125 5 17 0.092314 -0.13454037650000003 0.2268543765 2.7755575615628914e-17
