i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.4128912000000002 1 93.0
2 0.29704457500000014 4 80.0
3 0.17699215000000013 14 78.0
4 0.25618208000000015 7 77.0
5 0.3777083265000002 2 58.0
6 0.2052540950000001 11 55.0
7 0.14004190000000008 16 55.0
8 0.09635190000000009 19 54.0
9 0.1862833250000001 12 52.0
10 0.2817013500000002 6 51.0
11 0.10910262850000009 18 48.0
12 0.23272285000000012 10 47.0
13 0.0 20 45.0
14 0.23386450000000011 9 41.0
15 0.2923059000000001 5 38.0
16 0.16300495000000012 15 38.0
17 0.24316795000000013 8 38.0
18 0.12656475000000006 17 37.0
19 0.18007432000000012 13 33.0
20 0.3513162500000002 3 26.0
