t i j k u[t]=u_ijk
1 1 2 3 0.042027999999999996
2 1 2 4 0.01878195
3 1 2 5 0.0387395
4 1 2 6 -0.0133625
5 1 2 7 0.011904499999999998
6 1 2 8 0.0017720000000000012
7 1 2 9 0.008455975000000001
8 1 2 10 0.05102799999999999
9 1 2 11 0.034821500000000005
10 1 2 12 0.03347595
11 1 2 13 0.009297
12 1 2 14 -0.016680999999999998
13 1 2 15 0.0418185
14 1 2 16 0.031740250000000005
15 1 2 17 0.011085499999999998
16 1 2 18 0.013255500000000003
17 1 2 19 0.029688
18 1 2 20 0.009158
19 1 3 4 0.0012819999999999984
20 1 3 5 0.00521315
21 1 3 6 -0.014328000000000002
22 1 3 7 0.030384999999999995
23 1 3 8 0.0038566
24 1 3 9 -0.009851500000000001
25 1 3 10 0.00018249999999999796
26 1 3 11 0.006246999999999998
27 1 3 12 -0.006515099999999999
28 1 3 13 -0.0113465
29 1 3 14 -0.021273950000000003
30 1 3 15 0.006591499999999998
31 1 3 16 -0.026553
32 1 3 17 0.012515499999999999
33 1 3 18 0.013473849999999997
34 1 3 19 0.0069585
35 1 3 20 0.0205295
36 1 4 5 0.018795
37 1 4 6 -0.022787
38 1 4 7 0.00431725
39 1 4 8 -0.014317999999999997
40 1 4 9 -0.0194405
41 1 4 10 0.010677899999999999
42 1 4 11 0.015799499999999998
43 1 4 12 -0.016715550000000003
44 1 4 13 0.017276
45 1 4 14 -0.015865
46 1 4 15 0.018859
47 1 4 16 0.0180255
48 1 4 17 -0.0030369999999999993
49 1 4 18 -0.0077985000000000025
50 1 4 19 0.02115802
51 1 4 20 0.007826449999999999
52 1 5 6 -0.030787799999999997
53 1 5 7 -0.03340100000000001
54 1 5 8 -0.029781000000000002
55 1 5 9 -0.024828500000000003
56 1 5 10 -0.020523500000000004
57 1 5 11 -0.004998876500000001
58 1 5 12 -0.02094405
59 1 5 13 -0.0168775
60 1 5 14 -0.047982
61 1 5 15 -0.013021950000000001
62 1 5 16 -0.011409999999999998
63 1 5 17 -0.0016968000000000018
64 1 5 18 -0.0112855
65 1 5 19 -0.0017909999999999994
66 1 5 20 -0.01059
67 1 6 7 0.0214
68 1 6 8 0.028796
69 1 6 9 -0.007680499999999999
70 1 6 10 0.026535049999999998
71 1 6 11 0.021452504999999997
72 1 6 12 0.011255550000000001
73 1 6 13 0.02709655
74 1 6 14 -0.0051885
75 1 6 15 -0.007459499999999999
76 1 6 16 0.017149
77 1 6 17 0.02512165
78 1 6 18 0.023533
79 1 6 19 0.057772000000000004
80 1 6 20 0.040909
81 1 7 8 0.005685500000000001
82 1 7 9 -0.005055499999999998
83 1 7 10 0.014781999999999998
84 1 7 11 -0.021423499999999998
85 1 7 12 0.008518949999999999
86 1 7 13 0.0039026000000000004
87 1 7 14 -0.03515549999999999
88 1 7 15 0.007347499999999999
89 1 7 16 -0.005965499999999998
90 1 7 17 0.011245
91 1 7 18 0.0214405
