l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.19542 -0.2922994500000001 0.09687945000000002 1.1102230246251565e-16
2 1 3 -0.38697 -0.29558596000000004 -0.09138404000000001 5.551115123125783e-17
3 2 3 0.42852 -0.0032865099999999647 0.43180651000000003 -5.551115123125783e-17
4 1 4 -0.36927 -0.2664950000000001 -0.10277499999999999 1.1102230246251565e-16
5 2 4 0.055526 0.025804450000000007 0.02972155 -6.938893903907228e-18
6 3 4 0.27363 0.02909095999999997 0.24453904000000007 -5.551115123125783e-17
7 1 5 -0.49418 -0.36354310000000006 -0.13063690000000006 1.1102230246251565e-16
8 2 5 0.071292 -0.07124364999999998 0.14253565000000004 -6.938893903907228e-17
9 3 5 -0.19434 -0.06795714000000001 -0.12638286000000004 4.163336342344337e-17
10 4 5 -0.18851 -0.09704809999999998 -0.09146190000000003 0.0
11 1 6 -0.27124 -0.4311660000000001 0.15992600000000004 5.551115123125783e-17
12 2 6 -0.1916 -0.13886654999999998 -0.052733450000000015 0.0
13 3 6 -0.10412 -0.13558004 0.03146004000000002 0.0
14 4 6 -0.38824 -0.16467099999999998 -0.22356900000000002 2.7755575615628914e-17
15 5 6 0.23193 -0.06762290000000001 0.29955290000000007 -5.551115123125783e-17
16 1 7 -0.34828 -0.3540346500000001 0.005754650000000028 1.1102230246251565e-16
17 2 7 -0.18957 -0.06173519999999999 -0.12783480000000005 5.551115123125783e-17
18 3 7 -0.028474 -0.058448690000000025 0.02997469000000002 6.938893903907228e-18
19 4 7 -0.099959 -0.08753965 -0.012419350000000023 1.3877787807814457e-17
20 5 7 -0.10916 0.009508449999999988 -0.11866845000000002 4.163336342344337e-17
21 6 7 0.12961 0.07713135 0.05247865 0.0
22 1 8 -0.40199 -0.24786865000000008 -0.15412135000000005 1.1102230246251565e-16
23 2 8 -0.23542 0.04443080000000002 -0.27985080000000007 5.551115123125783e-17
24 3 8 0.17757 0.047717309999999985 0.12985269000000005 -2.7755575615628914e-17
25 4 8 0.10955 0.018626350000000014 0.09092365000000002 -4.163336342344337e-17
26 5 8 -0.11001 0.11567445 -0.22568445000000006 6.938893903907228e-17
27 6 8 0.40385 0.18329735 0.22055265000000007 -8.326672684688674e-17
28 7 8 0.28846 0.10616600000000001 0.18229400000000004 -5.551115123125783e-17
29 1 9 -0.47976 -0.6790647500000001 0.19930475000000006 0.0
30 2 9 -0.38495 -0.3867653 0.001815299999999982 0.0
31 3 9 -0.20059 -0.38347879000000007 0.18288879000000005 0.0
32 4 9 -0.55304 -0.41256975 -0.14047025000000005 5.551115123125783e-17
33 5 9 -0.34133 -0.31552165000000004 -0.02580835000000003 5.551115123125783e-17
34 6 9 -0.062299 -0.24789875000000003 0.18559975000000004 0.0
35 7 9 -0.1175 -0.3250301 0.20753010000000005 -5.551115123125783e-17
36 8 9 -0.46718 -0.4311961 -0.035983900000000006 5.551115123125783e-17
37 1 10 -0.5792 -0.52569206 -0.05350794000000008 0.0
38 2 10 -0.20503 -0.23339260999999992 0.02836261000000001 -8.326672684688674e-17
39 3 10 -0.54107 -0.23010609999999995 -0.3109639000000001 2.7755575615628914e-17
40 4 10 -0.54987 -0.2591970599999999 -0.29067294 -5.551115123125783e-17
41 5 10 -0.31912 -0.16214895999999995 -0.15697104000000006 0.0
42 6 10 -0.11867 -0.09452605999999993 -0.024143939999999996 -6.938893903907228e-17
43 7 10 -0.052622 -0.17165740999999993 0.11903541000000002 -8.326672684688674e-17
44 8 10 -0.33173 -0.27782340999999994 -0.05390659000000003 -5.551115123125783e-17
45 9 10 0.29371 0.1533726900000001 0.14033731000000005 -1.1102230246251565e-16
46 1 11 -0.27044 -0.39330069000000006 0.12286069000000004 0.0
47 2 11 0.11023 -0.10100123999999998 0.21123124000000004 -6.938893903907228e-17
48 3 11 -0.1689 -0.09771473000000001 -0.07118527000000002 4.163336342344337e-17
49 4 11 0.22219 -0.12680568999999997 0.34899569000000014 -1.6653345369377348e-16
50 5 11 0.23789 -0.02975759 0.2676475900000001 -1.1102230246251565e-16
51 6 11 0.29926 0.03786531000000001 0.2613946900000001 -8.326672684688674e-17
52 7 11 -0.34168 -0.03926603999999999 -0.30241396000000015 1.5265566588595902e-16
