t i j k u[t]=u_ijk
1 1 2 3 0.03100350000000001
2 1 2 4 0.011468800000000001
3 1 2 5 0.018502600000000008
4 1 2 6 -0.0057890000000000025
5 1 2 7 -0.0018355000000000016
6 1 2 8 -0.0014424999999999998
7 1 2 9 -0.0050305
8 1 2 10 0.008937500000000004
9 1 2 11 0.009262500000000003
10 1 2 12 0.027076500000000003
11 1 2 13 -0.004477500000000002
12 1 2 14 -0.004911500000000002
13 1 2 15 0.024528000000000008
14 1 2 16 0.007899550000000002
15 1 2 17 0.007698999999999998
16 1 2 18 -0.007744000000000003
17 1 2 19 -0.008592500000000003
18 1 2 20 -0.009675500000000002
19 1 3 4 0.012796500000000004
20 1 3 5 -0.0043565
21 1 3 6 -0.010992500000000002
22 1 3 7 -0.0033582000000000013
23 1 3 8 0.009629500000000004
24 1 3 9 -0.005389999999999999
25 1 3 10 -0.017442000000000006
26 1 3 11 -0.014271500000000003
27 1 3 12 -0.001212999999999999
28 1 3 13 0.0011230000000000007
29 1 3 14 -0.014438500000000003
30 1 3 15 -0.005129000000000001
31 1 3 16 0.0007922000000000004
32 1 3 17 -0.007612000000000004
33 1 3 18 0.004533500000000001
34 1 3 19 -0.005602499999999999
35 1 3 20 0.000550460000000002
36 1 4 5 -0.0031800000000000005
37 1 4 6 -0.024313500000000005
38 1 4 7 -0.006047450000000003
39 1 4 8 0.007113500000000003
40 1 4 9 -0.0221275
41 1 4 10 -0.016997
42 1 4 11 0.006168000000000003
43 1 4 12 -0.004956500000000002
44 1 4 13 -0.004542000000000001
45 1 4 14 -0.014281500000000004
46 1 4 15 0.023489000000000006
47 1 4 16 0.0011208000000000001
48 1 4 17 -0.007371000000000005
49 1 4 18 0.008788450000000001
50 1 4 19 -0.010200500000000003
51 1 4 20 -0.011172500000000002
52 1 5 6 0.0004494999999999986
53 1 5 7 -0.012753000000000004
54 1 5 8 -0.010110000000000003
55 1 5 9 -0.017787500000000005
56 1 5 10 -0.011705000000000002
57 1 5 11 0.0007075
58 1 5 12 4.305000000000005e-5
59 1 5 13 4.129999999999968e-5
60 1 5 14 -0.029344000000000012
61 1 5 15 0.007446500000000003
62 1 5 16 0.00047599999999999883
63 1 5 17 0.0014848499999999976
64 1 5 18 -0.005837000000000004
65 1 5 19 -0.017182000000000006
66 1 5 20 -0.025601000000000006
67 1 6 7 0.010332500000000001
68 1 6 8 0.026730000000000004
69 1 6 9 0.007311050000000005
70 1 6 10 0.009464500000000006
71 1 6 11 0.014923000000000007
72 1 6 12 0.018165000000000008
73 1 6 13 0.006311500000000002
74 1 6 14 -0.012544500000000002
75 1 6 15 -0.008039000000000001
76 1 6 16 -0.008024500000000004
77 1 6 17 0.017835600000000004
78 1 6 18 0.012350000000000005
79 1 6 19 0.020396000000000008
80 1 6 20 0.004069350000000004
81 1 7 8 0.017108500000000006
82 1 7 9 0.0006990000000000026
83 1 7 10 0.008914900000000007
84 1 7 11 -0.020976
85 1 7 12 0.023052500000000007
86 1 7 13 0.009501150000000003
87 1 7 14 -0.013533500000000002
88 1 7 15 0.01615450000000001
89 1 7 16 -0.0108415
90 1 7 17 -0.0005630000000000011
91 1 7 18 0.008165450000000001
92 1 7 19 -0.022746000000000002
93 1 7 20 -0.022843000000000002
94 1 8 9 -0.0194705
95 1 8 10 -0.007726000000000002
96 1 8 11 -0.013615000000000004
