i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.3464415349999999 1 93.0
2 0.2267787874999999 7 80.0
3 0.2050317849999999 8 78.0
4 0.2660718549999999 3 77.0
5 0.18049288499999994 9 58.0
6 0.16687623499999993 10 55.0
7 0.24506857999999992 4 55.0
8 0.23439103499999991 6 54.0
9 0.11996204499999993 15 52.0
10 0.27802071499999986 2 51.0
11 0.09271133499999995 17 48.0
12 0.10597814749999995 16 47.0
13 0.0 20 45.0
14 0.13820157499999994 12 41.0
15 0.2427852849999999 5 38.0
16 0.039646584999999984 19 38.0
17 0.16153212499999994 11 38.0
18 0.13801786999999996 13 37.0
19 0.12156148499999994 14 33.0
20 0.08901383499999994 18 26.0
