t i j k u[t]=u_ijk
1 1 2 3 0.015159499999999998
2 1 2 4 -0.0174625
3 1 2 5 -0.0028629999999999997
4 1 2 6 -0.0270858
5 1 2 7 -0.016201
6 1 2 8 -0.0250922
7 1 2 9 -0.0179
8 1 2 10 -0.0215906
9 1 2 11 -0.006983999999999998
10 1 2 12 0.0013358475000000006
11 1 2 13 -0.0297275
12 1 2 14 -0.015040149999999999
13 1 2 15 -0.01881585
14 1 2 16 -0.0054034999999999994
15 1 2 17 -0.0187255
16 1 2 18 -0.006159499999999998
17 1 2 19 -0.0245705
18 1 2 20 -0.010880999999999998
19 1 3 4 0.008384999999999998
20 1 3 5 -0.006943
21 1 3 6 -0.0062308
22 1 3 7 0.020574500000000003
23 1 3 8 -0.01532585
24 1 3 9 0.009817999999999999
25 1 3 10 -0.01172255
26 1 3 11 0.01087
27 1 3 12 0.013809100000000001
28 1 3 13 -0.0080805
29 1 3 14 -0.0069915
30 1 3 15 -0.0134071
31 1 3 16 0.017019899999999998
32 1 3 17 0.005549299999999999
33 1 3 18 0.018323049999999997
34 1 3 19 0.007807
35 1 3 20 0.0081747
36 1 4 5 -0.0072045
37 1 4 6 -0.00695785
38 1 4 7 0.017524
39 1 4 8 -0.0182989
40 1 4 9 -0.004047049999999999
41 1 4 10 -0.01021822
42 1 4 11 -0.0065984999999999985
43 1 4 12 0.0033975000000000003
44 1 4 13 -0.0149175
45 1 4 14 -0.0179564
46 1 4 15 -0.0091941
47 1 4 16 -0.003216999999999999
48 1 4 17 -0.012656499999999998
49 1 4 18 0.0036590000000000012
50 1 4 19 -0.0050478
51 1 4 20 0.0014860000000000012
52 1 5 6 0.0116852
53 1 5 7 0.00730295
54 1 5 8 -0.007449
55 1 5 9 -0.012428
56 1 5 10 -0.02117735
57 1 5 11 0.00360955
58 1 5 12 0.0103594
59 1 5 13 0.001511399999999999
60 1 5 14 -0.019940399999999997
61 1 5 15 -0.012534
62 1 5 16 0.018601000000000003
63 1 5 17 -0.004854949999999999
64 1 5 18 0.017230350000000002
65 1 5 19 -0.0120655
66 1 5 20 -0.016362500000000002
67 1 6 7 0.026457799999999997
68 1 6 8 -0.016193199999999998
69 1 6 9 -0.0077842
70 1 6 10 -0.00156525
71 1 6 11 0.005848100000000001
72 1 6 12 0.01335595
73 1 6 13 0.005866149999999999
74 1 6 14 -0.0077961
75 1 6 15 -0.006737399999999998
76 1 6 16 0.0111775
77 1 6 17 -0.0059532000000000005
78 1 6 18 0.030338300000000002
79 1 6 19 0.0223963
80 1 6 20 -0.0005786999999999987
81 1 7 8 -0.0237129
82 1 7 9 -0.019519500000000002
83 1 7 10 -0.02153335
84 1 7 11 -0.015548
85 1 7 12 0.008259
86 1 7 13 -0.0268295
87 1 7 14 -0.015093894999999998
88 1 7 15 -0.02016915
89 1 7 16 -0.0042405
90 1 7 17 -0.017156499999999998
91 1 7 18 0.015586
92 1 7 19 -0.028714499999999997
93 1 7 20 -0.016926
94 1 8 9 -0.003573499999999999
95 1 8 10 -0.0028468499999999993
96 1 8 11 0.0141055
97 1 8 12 0.008373499999999999
98 1 8 13 0.007401999999999999
