i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.40370265 3 93.0
2 0.21098984999999998 9 80.0
3 0.04639164999999998 19 78.0
4 0.40185289999999996 4 77.0
5 0.2324365 8 58.0
6 0.34303540000000005 5 55.0
7 0.12190004999999998 16 55.0
8 0.08078239999999995 18 54.0
9 0.19545145 10 52.0
10 0.40690295 2 51.0
11 0.11744969999999998 17 48.0
12 0.2913435 6 47.0
13 0.0 20 45.0
14 0.1785522 12 41.0
15 0.27039475 7 38.0
16 0.1779575 13 38.0
17 0.41780545 1 38.0
18 0.14967545 14 37.0
19 0.14533665 15 33.0
20 0.18218299999999998 11 26.0
