t i j k u[t]=u_ijk
1 1 2 3 0.049964649999999985
2 1 2 4 0.007189249999999999
3 1 2 5 0.012751649999999995
4 1 2 6 -0.012065349999999999
5 1 2 7 -0.012427849999999995
6 1 2 8 -0.00835885
7 1 2 9 -0.0020458499999999992
8 1 2 10 0.028648649999999994
9 1 2 11 0.011148650000000008
10 1 2 12 0.046148649999999986
11 1 2 13 -0.0013513500000000007
12 1 2 14 0.004531150000000011
13 1 2 15 0.033982149999999996
14 1 2 16 0.021581149999999993
15 1 2 17 -0.010610849999999986
16 1 2 18 0.016357149999999994
17 1 2 19 -0.022438349999999992
18 1 2 20 0.0026811499999999985
19 1 3 4 -0.0057624
20 1 3 5 -0.03913649999999999
21 1 3 6 -0.0084585
22 1 3 7 0.000725500000000001
23 1 3 8 -0.016656999999999995
24 1 3 9 -0.029624799999999996
25 1 3 10 -0.017527949999999994
26 1 3 11 0.009867999999999997
27 1 3 12 0.024034499999999993
28 1 3 13 -0.018998999999999995
29 1 3 14 -0.004916499999999997
30 1 3 15 -0.005839499999999999
31 1 3 16 -0.014627549999999996
32 1 3 17 -0.010575499999999996
33 1 3 18 0.011392349999999997
34 1 3 19 -0.013623499999999998
35 1 3 20 0.020683999999999994
36 1 4 5 0.013756899999999997
37 1 4 6 -0.03524809999999999
38 1 4 7 -0.015205599999999998
39 1 4 8 0.023097799999999995
40 1 4 9 -0.013650599999999995
41 1 4 10 0.0055074
42 1 4 11 0.011340549999999998
43 1 4 12 0.013215399999999997
44 1 4 13 0.006488900000000001
45 1 4 14 -0.009685599999999997
46 1 4 15 0.025507399999999996
47 1 4 16 -0.007349599999999999
48 1 4 17 -0.012085599999999997
49 1 4 18 0.023585899999999996
50 1 4 19 0.005822549999999998
51 1 4 20 0.011656899999999998
52 1 5 6 -0.014267499999999997
53 1 5 7 -0.004311499999999998
54 1 5 8 -0.0016605000000000005
55 1 5 9 -0.023186999999999992
56 1 5 10 0.009864199999999998
57 1 5 11 0.012755999999999997
58 1 5 12 0.0369225
59 1 5 13 0.0004685000000000007
60 1 5 14 -0.018948999999999994
61 1 5 15 0.0157465
62 1 5 16 0.006287999999999998
63 1 5 17 0.002901499999999998
64 1 5 18 0.016673999999999998
65 1 5 19 -0.012700999999999999
66 1 5 20 0.0038835
67 1 6 7 0.03734699999999999
68 1 6 8 0.019940499999999993
69 1 6 9 0.014548199999999997
70 1 6 10 0.052023999999999994
71 1 6 11 0.022023499999999998
72 1 6 12 0.02889849999999999
73 1 6 13 0.03058549999999999
74 1 6 14 0.013025
75 1 6 15 0.009761999999999996
76 1 6 16 0.0027779999999999992
77 1 6 17 0.011229099999999997
78 1 6 18 0.04285699999999999
79 1 6 19 0.03807449999999999
