l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.28003 -0.21888813000000001 -0.061141869999999994 0.0
2 1 3 -0.20782 -0.1265985 -0.08122149999999999 0.0
3 2 3 0.45284 0.09228963000000001 0.36055037 0.0
4 1 4 -0.15415 -0.11272404999999999 -0.04142595 -1.3877787807814457e-17
5 2 4 0.02969 0.10616408000000004 -0.07647408 -4.163336342344337e-17
6 3 4 0.11511 0.013874450000000024 0.10123555 -1.3877787807814457e-17
7 1 5 -0.24552 -0.23372650000000003 -0.011793499999999972 2.7755575615628914e-17
8 2 5 0.083478 -0.014838370000000002 0.09831637000000001 -1.5612511283791264e-17
9 3 5 -0.1387 -0.10712800000000001 -0.03157199999999999 1.3877787807814457e-17
10 4 5 -0.2751 -0.12100245000000004 -0.15409755 2.7755575615628914e-17
11 1 6 -0.041331 -0.22454435000000003 0.18321335000000002 0.0
12 2 6 -0.087129 -0.005656219999999997 -0.08147278 -6.071532165918825e-18
13 3 6 -0.07047 -0.09794585 0.027475850000000003 0.0
14 4 6 -0.1864 -0.11182030000000003 -0.07457970000000003 4.163336342344337e-17
15 5 6 0.21392 0.009182150000000004 0.20473785000000003 -3.122502256758253e-17
16 1 7 -0.09661 -0.14596180000000003 0.049351799999999994 2.7755575615628914e-17
17 2 7 0.025992 0.07292633000000001 -0.04693432999999999 -2.7755575615628914e-17
18 3 7 0.13694 -0.0193633 0.15630329999999995 5.551115123125783e-17
19 4 7 -0.017336 -0.033237750000000024 0.015901750000000006 1.3877787807814457e-17
20 5 7 -0.095141 0.08776470000000001 -0.1829057 -1.3877787807814457e-17
21 6 7 0.27299 0.07858255 0.19440745 0.0
22 1 8 -0.10219 -0.147474715 0.045284715 0.0
23 2 8 -0.06456 0.07141341500000002 -0.13597341500000004 1.3877787807814457e-17
24 3 8 -0.11202 -0.02087621499999999 -0.091143785 0.0
25 4 8 0.094802 -0.034750665000000014 0.12955266499999998 2.7755575615628914e-17
26 5 8 0.065809 0.08625178500000003 -0.02044278499999999 -2.7755575615628914e-17
27 6 8 0.16005 0.07706963500000001 0.08298036500000001 -2.7755575615628914e-17
28 7 8 0.063744 -0.0015129149999999897 0.065256915 -1.3877787807814457e-17
29 1 9 -0.2456 -0.34976565000000004 0.10416564999999998 5.551115123125783e-17
30 2 9 0.021992 -0.13087752 0.15286952 0.0
31 3 9 -0.15713 -0.22316715 0.06603715 2.7755575615628914e-17
32 4 9 -0.32454 -0.23704160000000002 -0.08749840000000002 5.551115123125783e-17
33 5 9 -0.11869 -0.11603915 -0.002650850000000005 0.0
34 6 9 -0.17597 -0.1252213 -0.05074869999999999 0.0
