t i j k u[t]=u_ijk
1 1 2 3 0.019031500000000003
2 1 2 4 -0.0048094999999999995
3 1 2 5 0.002448399999999999
4 1 2 6 -0.016291399999999998
5 1 2 7 -0.0078714
6 1 2 8 -0.01212
7 1 2 9 -0.0006218999999999993
8 1 2 10 0.0014335000000000005
9 1 2 11 -0.00765167
10 1 2 12 0.007676499999999999
11 1 2 13 -0.017965500000000002
12 1 2 14 -0.014362999999999999
13 1 2 15 0.007688
14 1 2 16 0.0024795000000000012
15 1 2 17 -0.00039240000000000043
16 1 2 18 -0.0018509999999999991
17 1 2 19 -0.008135499999999999
18 1 2 20 -0.009826000000000001
19 1 3 4 0.0030720000000000005
20 1 3 5 -0.00505
21 1 3 6 -0.01184795
22 1 3 7 0.0012865
23 1 3 8 -0.0108825
24 1 3 9 -0.0059675
25 1 3 10 -0.0039875
26 1 3 11 -0.0062863500000000004
27 1 3 12 -0.003498
28 1 3 13 -0.007990500000000001
29 1 3 14 -0.010459499999999998
30 1 3 15 -0.0038296999999999997
31 1 3 16 -0.0020744999999999987
32 1 3 17 -0.005625500000000001
33 1 3 18 -0.00035099999999999856
34 1 3 19 0.0010040000000000008
35 1 3 20 0.010298
36 1 4 5 -0.009186500000000002
37 1 4 6 -0.01496095
38 1 4 7 -0.0037438000000000007
39 1 4 8 0.0021420999999999996
40 1 4 9 -0.0116545
41 1 4 10 0.0024825
42 1 4 11 -0.005962
43 1 4 12 0.0024300000000000003
44 1 4 13 0.004076999999999998
45 1 4 14 0.0021372
46 1 4 15 0.006144
47 1 4 16 0.002594000000000001
48 1 4 17 -0.0081375
49 1 4 18 -0.007988999999999998
50 1 4 19 -0.0001794999999999991
51 1 4 20 -0.003356500000000001
52 1 5 6 0.00048655000000000085
53 1 5 7 -0.01220255
54 1 5 8 -0.003876049999999999
55 1 5 9 -0.005930499999999999
56 1 5 10 -0.0008401499999999985
57 1 5 11 0.010549500000000003
58 1 5 12 0.004698150000000001
59 1 5 13 0.0028298999999999998
60 1 5 14 -0.012793499999999996
61 1 5 15 0.0008985500000000012
62 1 5 16 0.013708000000000005
63 1 5 17 0.0036030000000000003
64 1 5 18 -0.0009249999999999981
65 1 5 19 -0.0087865
66 1 5 20 -0.015000999999999997
67 1 6 7 0.016413450000000003
68 1 6 8 0.01104545
69 1 6 9 0.0014149500000000008
70 1 6 10 0.0110705
71 1 6 11 0.01094445
72 1 6 12 0.014686349999999999
73 1 6 13 0.012683099999999998
74 1 6 14 -0.0011635499999999993
75 1 6 15 0.00367145
76 1 6 16 0.005714950000000001
77 1 6 17 0.010806299999999998
78 1 6 18 0.00964445
79 1 6 19 0.026379950000000003
80 1 6 20 0.0072878000000000005
81 1 7 8 0.0034662
82 1 7 9 0.008384
83 1 7 10 0.012112300000000001
84 1 7 11 -0.009805500000000002
85 1 7 12 0.021352
86 1 7 13 0.0008305000000000007
87 1 7 14 -0.002996499999999999
88 1 7 15 0.0028336500000000005
89 1 7 16 -0.0014514999999999988
90 1 7 17 0.00774545
91 1 7 18 0.0126254
92 1 7 19 -0.0025579999999999965
