l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 0.09463 -0.21413433049999997 0.3087643305 -5.551115123125783e-17
2 1 3 -0.30163 -0.227763345 -0.07386665500000003 2.7755575615628914e-17
3 2 3 0.37483 -0.013629014500000008 0.3884590145 2.7755575615628914e-17
4 1 4 -0.19393 -0.1510968325 -0.042833167499999984 0.0
5 2 4 -0.058542 0.06303749799999998 -0.121579498 1.3877787807814457e-17
6 3 4 0.29551 0.07666651249999999 0.21884348750000002 -1.3877787807814457e-17
7 1 5 -0.30784 -0.22172512099999997 -0.08611487900000002 0.0
8 2 5 0.033312 -0.007590790499999986 0.0409027905 -1.3877787807814457e-17
9 3 5 -0.18752 0.006038224000000023 -0.193558224 -1.3877787807814457e-17
10 4 5 -0.00058442 -0.07062828849999997 0.07004386850000002 -5.551115123125783e-17
11 1 6 -0.032257 -0.2232099245 0.19095292450000004 -5.551115123125783e-17
12 2 6 -0.00016239 -0.009075593999999992 0.008913203999999987 5.204170427930421e-18
13 3 6 0.0054859 0.004553420500000016 0.000932479499999991 -6.938893903907228e-18
14 4 6 -0.24039 -0.07211309199999998 -0.168276908 -1.3877787807814457e-17
15 5 6 -0.1202 -0.0014848035000000065 -0.11871519650000001 1.3877787807814457e-17
16 1 7 -0.21614 -0.2994245 0.08328450000000003 -5.551115123125783e-17
17 2 7 -0.30242 -0.08529016950000003 -0.21712983050000007 6.938893903907228e-17
18 3 7 0.27537 -0.07166115500000002 0.34703115500000004 -1.3877787807814457e-17
19 4 7 -0.24076 -0.1483276675 -0.0924323325 2.7755575615628914e-17
20 5 7 -0.056553 -0.07769937900000004 0.021146379000000007 2.7755575615628914e-17
21 6 7 0.019163 -0.07621457550000003 0.0953775755 2.7755575615628914e-17
22 1 8 -0.19238 -0.2588810465 0.06650104650000002 0.0
23 2 8 -0.14497 -0.044746716 -0.100223284 6.938893903907228e-18
24 3 8 -0.050006 -0.03111770149999999 -0.01888829849999999 -2.0816681711721685e-17
25 4 8 0.00052007 -0.10778421399999999 0.10830428400000001 -2.7755575615628914e-17
26 5 8 -0.11265 -0.03715592550000001 -0.07549407450000002 3.469446951953614e-17
27 6 8 -0.13342 -0.035671122000000006 -0.09774887800000004 3.469446951953614e-17
28 7 8 0.1477 0.04054345350000002 0.1071565465 -2.7755575615628914e-17
29 1 9 -0.14726 -0.31279748 0.16553748000000004 -5.551115123125783e-17
30 2 9 0.039867 -0.09866314950000002 0.13853014950000003 -1.3877787807814457e-17
31 3 9 -0.047639 -0.08503413500000001 0.037395135 0.0
32 4 9 -0.33821 -0.1617006475 -0.1765093525 -2.7755575615628914e-17
33 5 9 -0.11365 -0.09107235900000003 -0.022577640999999992 2.7755575615628914e-17
34 6 9 0.032563 -0.08958755550000003 0.12215055550000002 0.0
35 7 9 0.266 -0.013372979999999994 0.27937298 1.5612511283791264e-17
36 8 9 -0.042541 -0.05391643350000001 0.011375433500000004 6.938893903907228e-18
37 1 10 -0.24611 -0.26100215 0.014892150000000003 0.0
38 2 10 0.10126 -0.04686781950000002 0.1481278195 1.3877787807814457e-17
39 3 10 -0.30612 -0.03323880500000001 -0.272881195 2.7755575615628914e-17
40 4 10 -0.1106 -0.1099053175 -0.000694682500000002 0.0
41 5 10 -0.29959 -0.03927702900000003 -0.2603129710000001 1.249000902703301e-16
42 6 10 0.14412 -0.037792225500000026 0.18191222550000002 0.0
43 7 10 0.23137 0.03842235 0.19294765000000003 -3.469446951953614e-17
44 8 10 -0.027487 -0.0021211035000000197 -0.025365896500000006 2.42861286636753e-17
45 9 10 -0.030061 0.05179533 -0.08185633 0.0
46 1 11 -0.52086 -0.4070458 -0.11381419999999999 0.0
47 2 11 0.014837 -0.19291146950000004 0.20774846950000003 0.0
48 3 11 -0.10302 -0.17928245500000003 0.076262455 2.7755575615628914e-17
49 4 11 -0.029293 -0.2559489675 0.22665596750000006 -5.551115123125783e-17
50 5 11 0.17891 -0.18532067900000004 0.36423067900000006 0.0
51 6 11 -0.20803 -0.18383587550000005 -0.024194124499999997 5.551115123125783e-17
52 7 11 -0.35766 -0.10762130000000002 -0.2500387 4.163336342344337e-17
53 8 11 0.042158 -0.14816475350000005 0.1903227535 5.551115123125783e-17
54 9 11 -0.035457 -0.09424832000000002 0.058791319999999994 2.7755575615628914e-17
55 10 11 -0.24918 -0.14604365000000002 -0.10313635000000006 5.551115123125783e-17
56 1 12 -0.20328 -0.24515699999999999 0.041877 0.0
57 2 12 0.29956 -0.03102266950000001 0.33058266950000004 -3.469446951953614e-17
58 3 12 -0.072751 -0.017393655 -0.055357344999999995 0.0
59 4 12 -0.3088 -0.09406016749999999 -0.21473983250000006 2.7755575615628914e-17
60 5 12 0.056017 -0.023431879000000023 0.079448879 2.0816681711721685e-17
61 6 12 0.11538 -0.021947075500000017 0.1373270755 6.938893903907228e-18
62 7 12 0.23241 0.05426750000000001 0.1781425 -1.3877787807814457e-17
63 8 12 0.091516 0.01372404649999999 0.07779195350000001 0.0
64 9 12 -0.045676 0.06764048 -0.11331648000000001 0.0
65 10 12 -0.082646 0.01584515000000001 -0.09849115000000001 6.938893903907228e-18
66 11 12 0.30676 0.16188880000000003 0.1448712 -5.551115123125783e-17
67 1 13 -0.45017 -0.57770495 0.12753494999999998 0.0
68 2 13 -0.40383 -0.3635706195000001 -0.04025938050000002 5.551115123125783e-17
69 3 13 -0.3559 -0.34994160500000004 -0.005958395000000005 5.551115123125783e-17
70 4 13 -0.24703 -0.42660811750000005 0.1795781175 5.551115123125783e-17
71 5 13 -0.48947 -0.3559798290000001 -0.13349017100000005 1.1102230246251565e-16
72 6 13 -0.41305 -0.35449502550000006 -0.05855497449999997 5.551115123125783e-17
73 7 13 -0.037944 -0.27828045000000007 0.24033645000000003 5.551115123125783e-17
74 8 13 -0.36752 -0.31882390350000006 -0.04869609650000002 5.551115123125783e-17
75 9 13 -0.45889 -0.26490747000000003 -0.19398253000000004 5.551115123125783e-17
76 10 13 -0.20384 -0.31670280000000006 0.11286280000000001 5.551115123125783e-17
77 11 13 -0.50433 -0.17065915000000004 -0.33367084999999996 5.551115123125783e-17
78 12 13 -0.39111 -0.33254795000000004 -0.05856205000000003 5.551115123125783e-17
79 1 14 -0.17317 -0.38962817000000005 0.21645817000000003 0.0
80 2 14 -0.27396 -0.17549383950000003 -0.09846616049999998 2.7755575615628914e-17
81 3 14 -0.13683 -0.16186482500000005 0.025034824999999983 5.551115123125783e-17
82 4 14 -0.075605 -0.23853133750000002 0.16292633750000002 0.0
83 5 14 -0.41504 -0.16790304900000005 -0.24713695100000005 8.326672684688674e-17
84 6 14 -0.22653 -0.16641824550000006 -0.06011175450000002 5.551115123125783e-17
85 7 14 -0.1506 -0.09020367000000001 -0.06039633000000002 2.7755575615628914e-17
86 8 14 -0.41029 -0.13074712350000003 -0.27954287650000004 8.326672684688674e-17
87 9 14 0.0099926 -0.07683069000000002 0.08682329 2.7755575615628914e-17
