i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.57770495 1 93.0
2 0.3635706195000001 3 80.0
3 0.34994160500000004 7 78.0
4 0.42660811750000005 2 77.0
5 0.3559798290000001 5 58.0
6 0.35449502550000006 6 55.0
7 0.27828045000000007 11 55.0
8 0.31882390350000006 9 54.0
9 0.26490747000000003 13 52.0
10 0.31670280000000006 10 51.0
11 0.17065915000000004 18 48.0
12 0.33254795000000004 8 47.0
13 0.0 20 45.0
14 0.18807678000000003 16 41.0
15 0.3587755 4 38.0
16 0.23958351000000003 14 38.0
17 0.16948895000000005 19 38.0
18 0.21195177500000006 15 37.0
19 0.18641230000000003 17 33.0
20 0.27770131500000006 12 26.0
