l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.53846 -0.06861750000000003 -0.4698425 -2.7755575615628914e-17
2 1 3 -0.25 -0.2977534 0.047753400000000015 0.0
3 2 3 2.220446049250313e-16 -0.22913589999999998 0.22913590000000017 2.7755575615628914e-17
4 1 4 -0.33333 0.03675315000000001 -0.37008314999999997 -5.551115123125783e-17
5 2 4 0.4 0.10537065000000004 0.29462934999999996 2.7755575615628914e-17
6 3 4 2.220446049250313e-16 0.33450655 -0.33450654999999974 -5.551115123125783e-17
7 1 5 -0.2 -0.11585740000000003 -0.08414259999999998 0.0
8 2 5 0.5 -0.04723990000000001 0.5472399000000001 -1.0408340855860843e-16
9 3 5 0.090909 0.18189599999999997 -0.09098699999999992 -5.551115123125783e-17
10 4 5 -0.16667 -0.15261055000000004 -0.014059449999999965 0.0
11 1 6 0.33333 -0.09478485 0.42811484999999994 8.326672684688674e-17
12 2 6 -0.33333 -0.026167349999999978 -0.30716265000000004 0.0
13 3 6 1.0 0.20296855 0.79703145 2.7755575615628914e-17
14 4 6 -1.0 -0.13153800000000002 -0.8684619999999998 -1.3877787807814457e-16
15 5 6 0.5 0.02107255000000003 0.4789274499999999 4.85722573273506e-17
16 1 7 2.220446049250313e-16 -0.2484185 0.24841850000000015 5.551115123125783e-17
17 2 7 -0.6 -0.17980099999999996 -0.42019900000000004 2.7755575615628914e-17
18 3 7 0.45455 0.049334900000000015 0.40521509999999994 5.551115123125783e-17
19 4 7 -0.83333 -0.28517165 -0.54815835 0.0
20 5 7 0.14286 -0.13256109999999996 0.2754211 -2.7755575615628914e-17
21 6 7 -0.53846 -0.15363364999999998 -0.38482635000000004 -2.7755575615628914e-17
22 1 8 -0.45455 -0.2889894999999999 -0.16556050000000003 -1.1102230246251565e-16
23 2 8 -0.71429 -0.2203719999999999 -0.493918 -5.551115123125783e-17
24 3 8 -0.125 0.008763900000000074 -0.13376390000000002 -5.551115123125783e-17
25 4 8 2.220446049250313e-16 -0.3257426499999999 0.3257426500000002 -5.551115123125783e-17
26 5 8 -0.27273 -0.1731320999999999 -0.09959790000000002 -5.551115123125783e-17
27 6 8 -0.23077 -0.19420464999999992 -0.03656535000000005 -2.7755575615628914e-17
28 7 8 2.220446049250313e-16 -0.04057099999999994 0.04057100000000019 -2.7755575615628914e-17
29 1 9 -0.5 -0.20351965000000002 -0.2964803499999999 -8.326672684688674e-17
30 2 9 -0.33333 -0.13490215 -0.19842785 -2.7755575615628914e-17
31 3 9 -0.2 0.09423374999999998 -0.29423375 2.7755575615628914e-17
32 4 9 0.25 -0.24027280000000004 0.49027280000000006 -2.7755575615628914e-17
33 5 9 -0.11111 -0.08766225 -0.023447750000000003 0.0
34 6 9 -0.25 -0.10873480000000002 -0.14126519999999998 0.0
35 7 9 0.2 0.04489884999999996 0.15510115000000002 2.7755575615628914e-17
36 8 9 0.2 0.0854698499999999 0.11453015000000007 4.163336342344337e-17
37 1 10 0.5 0.056774050000000076 0.44322595 -5.551115123125783e-17
38 2 10 0.2 0.1253915500000001 0.07460844999999994 -2.7755575615628914e-17
39 3 10 0.090909 0.3545274500000001 -0.26361845 -5.551115123125783e-17
40 4 10 -0.14286 0.020020900000000064 -0.1628809 -5.551115123125783e-17
41 5 10 -0.11111 0.1726314500000001 -0.28374145 -8.326672684688674e-17
42 6 10 0.8 0.15155890000000008 0.6484411000000001 -1.3877787807814457e-16
43 7 10 0.076923 0.30519255000000006 -0.22826955 -5.551115123125783e-17
44 8 10 0.090909 0.34576355000000003 -0.25485454999999996 -5.551115123125783e-17
45 9 10 2.220446049250313e-16 0.26029370000000007 -0.2602936999999998 -5.551115123125783e-17
46 1 11 -0.23077 -0.1672817 -0.0634883 0.0
47 2 11 0.5 -0.09866419999999998 0.5986641999999999 1.1102230246251565e-16
48 3 11 0.66667 0.1304717 0.5361983 -2.7755575615628914e-17
49 4 11 0.066667 -0.20403485000000002 0.27070185 0.0
50 5 11 -0.076923 -0.05142429999999997 -0.025498700000000006 -2.7755575615628914e-17
51 6 11 0.6 -0.07249685 0.6724968499999999 5.551115123125783e-17
52 7 11 -0.23077 0.08113679999999998 -0.31190679999999993 -5.551115123125783e-17
53 8 11 -0.090909 0.12170779999999992 -0.21261679999999997 4.163336342344337e-17
54 9 11 -0.5 0.03623795000000002 -0.5362379500000001 5.551115123125783e-17
55 10 11 -0.27273 -0.22405575000000008 -0.04867424999999992 2.7755575615628914e-17
56 1 12 0.2 -0.337283 0.537283 5.551115123125783e-17
57 2 12 2.220446049250313e-16 -0.26866549999999995 0.26866550000000017 0.0
58 3 12 2.220446049250313e-16 -0.03952959999999997 0.0395296000000002 -6.938893903907228e-18
59 4 12 -0.11111 -0.37403615 0.2629261499999999 1.1102230246251565e-16
60 5 12 2.220446049250313e-16 -0.22142559999999994 0.22142560000000017 0.0
61 6 12 -0.55556 -0.24249814999999997 -0.31306185000000003 -5.551115123125783e-17
62 7 12 0.41176 -0.08886449999999999 0.5006245 -2.7755575615628914e-17
63 8 12 -0.16667 -0.048293500000000045 -0.11837650000000004 6.938893903907228e-17
64 9 12 -0.55556 -0.13376334999999995 -0.42179665000000005 -5.551115123125783e-17
65 10 12 -0.42857 -0.39405705 -0.034512950000000035 5.551115123125783e-17
66 11 12 -0.14286 -0.17000129999999997 0.02714129999999997 0.0
67 1 13 -0.625 -0.3723835 -0.25261649999999997 -5.551115123125783e-17
68 2 13 -0.38462 -0.303766 -0.08085400000000006 0.0
69 3 13 -0.25 -0.0746301 -0.1753699 0.0
70 4 13 -0.4 -0.40913665 0.00913664999999999 0.0
71 5 13 -0.38462 -0.2565261 -0.1280939 0.0
72 6 13 -0.125 -0.27759865 0.15259864999999997 5.551115123125783e-17
73 7 13 0.125 -0.12396500000000002 0.248965 2.7755575615628914e-17
74 8 13 -0.28571 -0.08339400000000008 -0.20231599999999997 2.7755575615628914e-17
75 9 13 0.25 -0.16886384999999998 0.41886384999999987 1.1102230246251565e-16
76 10 13 -0.14286 -0.4291575500000001 0.28629755 1.1102230246251565e-16
77 11 13 2.220446049250313e-16 -0.2051018 0.2051018000000002 2.7755575615628914e-17
78 12 13 0.6 -0.035100500000000034 0.6351005 5.551115123125783e-17
79 1 14 0.090909 -0.16962209999999997 0.2605311 -2.7755575615628914e-17
80 2 14 -0.75 -0.10100459999999996 -0.6489954000000002 1.8041124150158794e-16
81 3 14 -0.2 0.12813130000000003 -0.32813130000000007 2.7755575615628914e-17
82 4 14 0.33333 -0.20637524999999998 0.5397052499999999 8.326672684688674e-17
83 5 14 -0.11111 -0.05376469999999995 -0.05734530000000005 0.0
84 6 14 2.220446049250313e-16 -0.07483724999999998 0.07483725000000017 2.7755575615628914e-17
85 7 14 0.090909 0.0787964 0.012112599999999977 2.7755575615628914e-17
86 8 14 0.23077 0.11936739999999994 0.1114026 5.551115123125783e-17
87 9 14 0.4 0.03389755000000004 0.36610245 -4.163336342344337e-17
88 10 14 -0.25 -0.22639615000000005 -0.02360385 5.551115123125783e-17
89 11 14 0.4 -0.002340399999999976 0.4023404 1.1275702593849246e-17
90 12 14 2.220446049250313e-16 0.1676609 -0.16766089999999978 0.0
91 13 14 0.4 0.20276140000000004 0.19723860000000001 -2.7755575615628914e-17
92 1 15 -0.16667 -0.08919389999999999 -0.07747610000000002 0.0
93 2 15 0.42857 -0.020576399999999967 0.44914640000000006 -8.326672684688674e-17
94 3 15 0.66667 0.2085595 0.4581104999999999 5.551115123125783e-17
95 4 15 0.16667 -0.12594705 0.29261705000000005 -2.7755575615628914e-17
96 5 15 2.220446049250313e-16 0.02666350000000004 -0.0266634999999998 -2.0816681711721685e-17
97 6 15 -0.69231 0.005590950000000011 -0.6979009500000001 8.326672684688674e-17
98 7 15 -0.16667 0.1592246 -0.3258946 -2.7755575615628914e-17
99 8 15 0.33333 0.19979559999999993 0.13353440000000008 0.0
100 9 15 -0.38462 0.11432575000000003 -0.49894575 -2.7755575615628914e-17
101 10 15 -0.45455 -0.14596795000000007 -0.3085820499999999 -5.551115123125783e-17
102 11 15 0.33333 0.07808780000000001 0.2552422 2.7755575615628914e-17
103 12 15 -0.42857 0.24808909999999998 -0.6766591 -2.7755575615628914e-17
104 13 15 0.33333 0.28318960000000004 0.05014039999999997 0.0
105 14 15 0.4 0.08042819999999999 0.3195718000000001 -4.163336342344337e-17
106 1 16 -0.17647 -0.14377759999999998 -0.03269240000000002 0.0
107 2 16 2.220446049250313e-16 -0.07516009999999995 0.07516010000000016 1.3877787807814457e-17
108 3 16 0.42857 0.15397580000000002 0.2745941999999999 8.326672684688674e-17
109 4 16 -0.33333 -0.18053075 -0.15279925000000003 0.0
110 5 16 -0.33333 -0.027920199999999944 -0.3054098 -6.245004513516506e-17
111 6 16 -0.14286 -0.048992749999999974 -0.09386725000000003 1.3877787807814457e-17
112 7 16 0.090909 0.10464090000000001 -0.013731900000000005 0.0
113 8 16 0.45455 0.14521189999999995 0.3093381 5.551115123125783e-17
114 9 16 0.5 0.059742050000000047 0.44025794999999995 0.0
115 10 16 -0.33333 -0.20055165000000005 -0.13277835000000004 8.326672684688674e-17
116 11 16 0.090909 0.023504100000000028 0.06740489999999998 0.0
117 12 16 0.55556 0.1935054 0.36205460000000006 0.0
118 13 16 -0.11111 0.22860590000000003 -0.33971590000000007 5.551115123125783e-17
119 14 16 0.5 0.025844500000000003 0.47415549999999995 4.5102810375396984e-17
120 15 16 2.220446049250313e-16 -0.054583699999999985 0.05458370000000021 0.0
121 1 17 0.42857 -0.061290649999999974 0.48986064999999995 2.7755575615628914e-17
122 2 17 -0.25 0.007326850000000051 -0.25732685000000005 0.0
123 3 17 0.45455 0.23646275000000003 0.21808724999999998 0.0
124 4 17 -0.25 -0.09804379999999999 -0.1519562 0.0
125 5 17 2.220446049250313e-16 0.05456675000000006 -0.05456674999999982 -2.0816681711721685e-17
126 6 17 0.4 0.03349420000000003 0.36650580000000005 -5.551115123125783e-17
127 7 17 0.33333 0.18712785 0.14620214999999995 5.551115123125783e-17
128 8 17 -0.44444 0.22769884999999995 -0.67213885 0.0
129 9 17 -0.11111 0.14222900000000005 -0.253339 -5.551115123125783e-17
130 10 17 0.2 -0.11806470000000005 0.3180647 8.326672684688674e-17
131 11 17 -0.076923 0.10599105000000003 -0.18291405000000005 1.3877787807814457e-17
132 12 17 0.33333 0.27599235 0.057337650000000004 0.0
133 13 17 1.0 0.31109285000000003 0.6889071499999999 5.551115123125783e-17
134 14 17 -0.33333 0.10833145000000001 -0.44166144999999996 -6.938893903907228e-17
135 15 17 -0.2 0.02790325000000002 -0.22790324999999997 -5.551115123125783e-17
136 16 17 0.25 0.08248695 0.16751305000000002 -2.7755575615628914e-17
137 1 18 -0.6 -0.29299785 -0.30700215000000003 5.551115123125783e-17
138 2 18 -0.75 -0.22438035 -0.5256196500000001 1.1102230246251565e-16
139 3 18 -0.5 0.0047555499999999695 -0.5047555499999999 -2.7755575615628914e-17
140 4 18 -0.75 -0.329751 -0.42024900000000015 1.6653345369377348e-16
141 5 18 0.2 -0.17714045 0.37714044999999985 1.6653345369377348e-16
142 6 18 -0.23077 -0.19821300000000003 -0.032557000000000044 5.551115123125783e-17
