i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.3723835 3 93.0
2 0.303766 5 80.0
3 0.0746301 18 78.0
4 0.40913665 2 77.0
5 0.2565261 8 58.0
6 0.27759865 7 55.0
7 0.12396500000000002 15 55.0
8 0.08339400000000008 16 54.0
9 0.16886384999999998 14 52.0
10 0.4291575500000001 1 51.0
11 0.2051018 10 48.0
12 0.035100500000000034 19 47.0
13 0.0 20 45.0
14 0.20276140000000004 11 41.0
15 0.28318960000000004 6 38.0
16 0.22860590000000003 9 38.0
17 0.31109285000000003 4 38.0
18 0.07938564999999997 17 37.0
19 0.19020955 12 33.0
20 0.17445135000000006 13 26.0
