i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.5153478333333334 1 84.0
2 0.14248848333333336 10 63.0
3 0.2038234444444445 7 55.0
4 0.49014494444444456 2 54.0
5 0.26703536111111115 4 54.0
6 0.37874698888888897 3 53.0
7 0.06349661111111114 15 51.0
8 0.2079023444444445 5 49.0
9 0.20600271666666672 6 47.0
10 0.06347244444444447 16 43.0
11 0.11088538888888892 11 42.0
12 0.00525756111111117 17 41.0
13 0.0 18 39.0
14 0.06422488888888891 14 36.0
15 0.0808581666666667 13 36.0
16 0.16781610000000005 9 33.0
17 0.19413872222222228 8 31.0
18 0.09894000000000006 12 22.0
