t i j k u[t]=u_ijk
1 1 2 3 0.015875555555555552
2 1 2 4 -0.022923333333333323
3 1 2 5 -0.006781444444444441
4 1 2 6 -0.017800388888888883
5 1 2 7 0.0026499999999999987
6 1 2 8 -0.019833333333333328
7 1 2 9 -0.000646111111111111
8 1 2 10 -0.007246277777777777
9 1 2 11 0.0033091666666666643
10 1 2 12 0.010121111111111109
11 1 2 13 -0.017550666666666662
12 1 2 14 -0.00749722222222222
13 1 2 15 0.016120555555555544
14 1 2 16 0.010185555555555552
15 1 2 17 0.0232931111111111
16 1 2 18 -0.00710833333333333
17 1 3 4 -0.00048333333333333393
18 1 3 5 -0.030925333333333326
19 1 3 6 -0.024204805555555542
20 1 3 7 -0.03409999999999999
21 1 3 8 -0.02865338888888888
22 1 3 9 -0.016072111111111103
23 1 3 10 -0.030724444444444433
24 1 3 11 -0.0015347777777777784
25 1 3 12 -0.0017299999999999987
26 1 3 13 -0.024405722222222214
27 1 3 14 -0.03127166666666666
28 1 3 15 -0.006679555555555556
29 1 3 16 -0.008259444444444443
30 1 3 17 0.024499777777777766
31 1 3 18 -0.009143888888888885
32 1 4 5 -0.03106366666666665
33 1 4 6 -0.024437777777777767
34 1 4 7 -0.010085555555555549
35 1 4 8 -0.019995611111111103
36 1 4 9 0.018371111111111105
37 1 4 10 -0.00526222222222222
38 1 4 11 -0.004387222222222221
39 1 4 12 0.0021244444444444457
40 1 4 13 -0.01704105555555555
41 1 4 14 -0.013596111111111106
42 1 4 15 -0.000901666666666666
43 1 4 16 0.0010861111111111115
44 1 4 17 0.04136833333333332
45 1 4 18 0.0022683333333333327
46 1 5 6 -0.0024282222222222214
47 1 5 7 -0.004906333333333332
48 1 5 8 0.0028946666666666656
49 1 5 9 0.001152555555555556
50 1 5 10 0.005102555555555555
51 1 5 11 0.018450722222222216
52 1 5 12 0.011491999999999997
53 1 5 13 -0.00316711111111111
54 1 5 14 0.0008358888888888888
55 1 5 15 0.008923666666666663
56 1 5 16 0.015598222222222218
57 1 5 17 0.03661388888888887
58 1 5 18 -0.00983522222222222
59 1 6 7 -0.0069016666666666645
60 1 6 8 0.004488666666666666
61 1 6 9 0.0014105555555555549
62 1 6 10 -0.010361666666666667
63 1 6 11 0.0198726111111111
64 1 6 12 0.002160000000000004
65 1 6 13 -0.005184388888888886
66 1 6 14 -0.001502222222222222
67 1 6 15 0.004225555555555555
68 1 6 16 0.01615388888888888
69 1 6 17 0.028622222222222205
70 1 6 18 0.013647222222222219
71 1 7 8 -0.008517521666666663
72 1 7 9 0.025814444444444435
73 1 7 10 0.015588888888888885
74 1 7 11 0.02727888888888888
75 1 7 12 0.01719888888888889
