l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.16129 -0.5917217777777779 0.43043177777777764 2.220446049250313e-16
2 1 3 -0.82353 -0.3127916111111112 -0.5107383888888888 0.0
3 2 3 0.5 0.2789301666666667 0.2210698333333333 0.0
4 1 4 -0.375 -0.4120709444444446 0.03707094444444444 1.6653345369377348e-16
5 2 4 -0.15385 0.17965083333333334 -0.33350083333333336 2.7755575615628914e-17
6 3 4 -0.15789 -0.09927933333333336 -0.058610666666666665 2.7755575615628914e-17
7 1 5 0.032258 -0.16827788888888906 0.20053588888888885 2.220446049250313e-16
8 2 5 0.6 0.42344388888888884 0.17655611111111105 1.1102230246251565e-16
9 3 5 0.043478 0.14451372222222217 -0.10103572222222222 5.551115123125783e-17
10 4 5 0.076923 0.24379305555555553 -0.16687005555555556 5.551115123125783e-17
11 1 6 -0.6 -0.3491014444444446 -0.2508985555555555 1.1102230246251565e-16
12 2 6 0.23077 0.24262033333333335 -0.011850333333333334 -2.7755575615628914e-17
13 3 6 -0.047619 -0.03630983333333335 -0.011309166666666683 2.7755575615628914e-17
14 4 6 0.15789 0.06296950000000001 0.09492049999999996 2.7755575615628914e-17
15 5 6 -0.30435 -0.18082355555555552 -0.12352644444444445 -5.551115123125783e-17
16 1 7 -0.57895 -0.5665416111111112 -0.012408388888888879 1.1102230246251565e-16
17 2 7 0.28571 0.02518016666666667 0.2605298333333333 5.551115123125783e-17
18 3 7 -0.625 -0.25375000000000003 -0.37125 5.551115123125783e-17
19 4 7 0.18182 -0.15447066666666667 0.3362906666666666 5.551115123125783e-17
20 5 7 -0.58621 -0.39826372222222217 -0.18794627777777778 -5.551115123125783e-17
21 6 7 0.043478 -0.21744016666666668 0.2609181666666667 2.7755575615628914e-17
22 1 8 -0.2 -0.5345668333333335 0.3345668333333333 2.220446049250313e-16
23 2 8 -0.84615 0.057154944444444425 -0.9033049444444443 -6.938893903907228e-17
24 3 8 -0.42857 -0.2217752222222223 -0.20679477777777783 1.1102230246251565e-16
25 4 8 0.071429 -0.12249588888888893 0.19392488888888887 6.938893903907228e-17
26 5 8 -0.22222 -0.36628894444444443 0.14406894444444443 0.0
27 6 8 -0.30435 -0.18546538888888892 -0.11888461111111111 0.0
28 7 8 0.13333 0.031974777777777755 0.10135522222222224 1.3877787807814457e-17
29 1 9 -0.85366 -0.6574545555555558 -0.1962054444444444 2.220446049250313e-16
30 2 9 0.25 -0.0657327777777778 0.31573277777777775 5.551115123125783e-17
31 3 9 2.220446049250313e-16 -0.3446629444444445 0.3446629444444447 5.551115123125783e-17
32 4 9 -0.30435 -0.24538361111111115 -0.05896638888888891 5.551115123125783e-17
33 5 9 -0.3 -0.4891766666666667 0.18917666666666663 1.1102230246251565e-16
34 6 9 -0.25926 -0.3083531111111112 0.04909311111111109 1.1102230246251565e-16
35 7 9 -0.14286 -0.09091294444444448 -0.051947055555555566 5.551115123125783e-17
36 8 9 0.14286 -0.12288772222222223 0.26574772222222215 6.938893903907228e-17
37 1 10 -0.48571 -0.5681760000000001 0.08246600000000001 1.1102230246251565e-16
38 2 10 0.12 0.023545777777777777 0.09645422222222219 2.7755575615628914e-17
39 3 10 -0.14286 -0.2553843888888889 0.11252438888888888 5.551115123125783e-17
40 4 10 -0.3125 -0.15610505555555557 -0.15639494444444443 0.0
41 5 10 -0.45455 -0.39989811111111107 -0.0546518888888889 -5.551115123125783e-17
42 6 10 -0.64286 -0.21907455555555558 -0.4237854444444445 8.326672684688674e-17
43 7 10 0.18519 -0.0016343888888888936 0.18682438888888886 2.7755575615628914e-17
44 8 10 0.3 -0.03360916666666665 0.3336091666666666 1.3877787807814457e-17
