i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.6574545555555558 1 84.0
2 0.0657327777777778 16 63.0
3 0.3446629444444445 4 55.0
4 0.24538361111111115 9 54.0
5 0.4891766666666667 2 54.0
6 0.3083531111111112 5 53.0
7 0.09091294444444448 12 51.0
8 0.12288772222222223 10 49.0
9 0.0 18 47.0
10 0.08927855555555558 14 43.0
11 0.2658757777777778 8 42.0
12 0.3963216666666668 3 41.0
13 0.2878361111111112 6 39.0
14 0.06032816666666668 17 36.0
15 0.0791952777777778 15 36.0
16 0.09226833333333334 11 33.0
17 0.2803402777777778 7 31.0
18 0.09007150000000005 13 22.0
