i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.4421991111111112 1 84.0
2 0.07389957777777781 15 63.0
3 0.23030927777777785 4 55.0
4 0.2815791111111112 2 54.0
5 0.2132535555555556 5 54.0
6 0.27981763333333337 3 53.0
7 0.03276722222222224 17 51.0
8 0.1329797777777778 8 49.0
9 0.15781462777777783 6 47.0
10 0.08997019444444448 14 43.0
11 0.11282396111111115 11 42.0
12 0.11365016666666669 10 41.0
13 0.10043309444444448 13 39.0
14 0.03381594444444441 16 36.0
15 0.0 18 36.0
16 0.14468600000000004 7 33.0
17 0.12176434444444448 9 31.0
18 0.10933440000000003 12 22.0
