t i j k u[t]=u_ijk
1 1 2 3 0.004329444444444441
2 1 2 4 -0.01452055555555555
3 1 2 5 -0.010759777777777774
4 1 2 6 0.009079999999999996
5 1 2 7 0.014498888888888884
6 1 2 8 -0.03469522222222222
7 1 2 9 0.009971666666666663
8 1 2 10 0.003188427777777777
9 1 2 11 0.017200555555555545
10 1 2 12 0.008568333333333332
11 1 2 13 0.002863205555555555
12 1 2 14 -0.015751111111111108
13 1 2 15 0.012169999999999997
14 1 2 16 0.013172222222222217
15 1 2 17 0.005406399999999999
16 1 2 18 0.008137055555555554
17 1 3 4 -0.008099277777777776
18 1 3 5 -0.009376999999999996
19 1 3 6 0.01312944444444444
20 1 3 7 -0.011914999999999995
21 1 3 8 -0.023821333333333326
22 1 3 9 0.006099499999999999
23 1 3 10 0.0026483333333333333
24 1 3 11 0.004311666666666665
25 1 3 12 -0.007990555555555555
26 1 3 13 0.0017894444444444455
27 1 3 14 -0.012812777777777774
28 1 3 15 -0.005510555555555554
29 1 3 16 0.02316888888888888
30 1 3 17 0.006409611111111111
31 1 3 18 0.009008888888888887
32 1 4 5 -0.01647777777777777
33 1 4 6 -0.009024444444444443
34 1 4 7 0.0026227777777777773
35 1 4 8 -0.01684116666666666
36 1 4 9 -0.0018733333333333328
37 1 4 10 -0.004062222222222219
38 1 4 11 0.0031549999999999994
39 1 4 12 -0.003716555555555554
40 1 4 13 -0.00856333333333333
41 1 4 14 -0.02390777777777777
42 1 4 15 0.010149277777777776
43 1 4 16 0.0017244444444444445
44 1 4 17 0.01871805555555555
45 1 4 18 0.0038172222222222236
46 1 5 6 0.008426055555555551
47 1 5 7 0.006540555555555553
48 1 5 8 -0.005257333333333332
49 1 5 9 0.008215277777777774
50 1 5 10 0.00936833333333333
51 1 5 11 0.025978333333333326
52 1 5 12 -0.007966666666666665
53 1 5 13 0.016254277777777774
54 1 5 14 -0.006128333333333333
55 1 5 15 0.0026116666666666653
56 1 5 16 0.013104499999999996
57 1 5 17 0.013249888888888884
58 1 5 18 0.0035644444444444426
59 1 6 7 -0.020540555555555548
60 1 6 8 -0.027747222222222215
61 1 6 9 -0.0013307999999999985
62 1 6 10 -0.013903333333333328
63 1 6 11 -0.008119444444444441
64 1 6 12 -0.02316444444444444
65 1 6 13 -0.010096111111111108
66 1 6 14 -0.013051666666666661
67 1 6 15 -0.02563722222222221
68 1 6 16 -0.004369444444444441
69 1 6 17 -0.01813499999999999
70 1 6 18 0.002957777777777778
71 1 7 8 -0.007671333333333333
72 1 7 9 0.01597444444444444
73 1 7 10 0.0012626111111111117
74 1 7 11 0.008543166666666664
75 1 7 12 -0.00915872222222222
76 1 7 13 0.012178333333333331
77 1 7 14 -0.0029021666666666666
78 1 7 15 -0.010147222222222217
79 1 7 16 0.009874999999999998
80 1 7 17 0.024518888888888882
81 1 7 18 0.020075555555555548
82 1 8 9 0.03484133333333333
83 1 8 10 0.04030188888888887
84 1 8 11 0.02991238888888888
