i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.5531748333333333 1 84.0
2 0.027533444444444444 15 63.0
3 0.1688723888888889 6 55.0
4 0.3228938888888889 4 54.0
5 0.3547053888888889 3 54.0
6 0.37686155555555556 2 53.0
7 0.021010833333333312 17 51.0
8 0.10549988888888887 8 49.0
9 0.1269421111111111 7 47.0
10 0.06609726666666664 12 43.0
11 0.0814707222222222 11 42.0
12 0.03600738888888888 14 41.0
13 0.05679377777777775 13 39.0
14 0.025571555555555556 16 36.0
15 0.0 18 36.0
16 0.08369338888888889 10 33.0
17 0.17324416666666664 5 31.0
18 0.09412939999999996 9 22.0
