t i j k u[t]=u_ijk
1 1 2 3 0.011434888888888885
2 1 2 4 -0.0022169444444444437
3 1 2 5 -0.010338833333333332
4 1 2 6 0.011328333333333331
5 1 2 7 0.017251111111111106
6 1 2 8 -0.027278777777777766
7 1 2 9 0.018226111111111106
8 1 2 10 0.004409
9 1 2 11 0.015526666666666663
10 1 2 12 0.021921111111111103
11 1 2 13 0.014436833333333331
12 1 2 14 0.002378888888888888
13 1 2 15 0.013256888888888886
14 1 2 16 0.02202666666666666
15 1 2 17 0.028641111111111103
16 1 2 18 0.007828166666666666
17 1 3 4 -0.01983194444444444
18 1 3 5 -0.020009499999999996
19 1 3 6 0.0016488888888888877
20 1 3 7 -0.01747611111111111
21 1 3 8 -0.022796222222222214
22 1 3 9 0.0019946111111111098
23 1 3 10 -0.011161666666666663
24 1 3 11 -0.017839999999999995
25 1 3 12 -0.0005666666666666672
26 1 3 13 0.002947222222222222
27 1 3 14 -0.008858333333333333
28 1 3 15 -0.013704999999999997
29 1 3 16 -7.022222222222228e-5
30 1 3 17 0.013701666666666664
31 1 3 18 0.0006533888888888876
32 1 4 5 -0.018154111111111107
33 1 4 6 -0.003620833333333333
34 1 4 7 0.008124166666666661
35 1 4 8 -0.012008444444444441
36 1 4 9 0.00910133333333333
37 1 4 10 0.00022305555555555804
38 1 4 11 0.0062130555555555515
39 1 4 12 0.005743055555555551
40 1 4 13 0.006923055555555551
41 1 4 14 -0.014500833333333327
42 1 4 15 -0.002980277777777777
43 1 4 16 0.014427499999999994
44 1 4 17 0.029242055555555545
45 1 4 18 0.013947499999999998
46 1 5 6 0.002757722222222222
47 1 5 7 0.017543277777777772
48 1 5 8 -0.00046111111111111114
49 1 5 9 0.024061111111111103
50 1 5 10 0.005429388888888888
51 1 5 11 0.021051166666666662
52 1 5 12 0.009238277777777774
53 1 5 13 0.029602722222222218
54 1 5 14 0.0033110555555555554
55 1 5 15 0.006720499999999997
56 1 5 16 0.02089605555555555
57 1 5 17 0.03789549999999999
58 1 5 18 0.010921055555555555
59 1 6 7 -0.006087777777777778
60 1 6 8 -0.03048655555555555
61 1 6 9 0.001400555555555555
62 1 6 10 -0.016496111111111107
63 1 6 11 0.0029688888888888885
64 1 6 12 -0.004577777777777776
65 1 6 13 0.00894222222222222
66 1 6 14 -0.003677222222222221
67 1 6 15 -0.01149222222222222
68 1 6 16 0.002834999999999999
69 1 6 17 -0.004607777777777777
70 1 6 18 0.0075883333333333315
71 1 7 8 -0.008317111111111107
72 1 7 9 0.010061666666666665
73 1 7 10 -0.00023966666666666497
74 1 7 11 0.007092777777777777
75 1 7 12 0.009457777777777775
76 1 7 13 0.016069444444444442
77 1 7 14 -0.004631111111111108
78 1 7 15 0.00671111111111111
79 1 7 16 0.007834388888888887
80 1 7 17 0.02678722222222222
81 1 7 18 0.020016111111111106
82 1 8 9 0.03730877777777777
83 1 8 10 0.02415738888888888
84 1 8 11 0.02877349999999999
85 1 8 12 0.007923222222222219
86 1 8 13 0.037550833333333325
87 1 8 14 0.01861655555555555
88 1 8 15 0.025619388888888883
89 1 8 16 0.03280194444444444
90 1 8 17 0.05376099999999998
91 1 8 18 0.030959944444444443
92 1 9 10 0.0061199444444444435
93 1 9 11 0.00017800000000000064
94 1 9 12 0.017212222222222216
95 1 9 13 0.009594222222222221
96 1 9 14 0.005424277777777776
97 1 9 15 -0.0017099999999999995
98 1 9 16 -0.005033333333333331
99 1 9 17 0.00952011111111111
100 1 9 18 0.0012722222222222212
101 1 10 11 0.008930555555555553
102 1 10 12 -0.002433888888888889
103 1 10 13 0.02272333333333333
104 1 10 14 0.0011912222222222216
105 1 10 15 -0.015258333333333329
106 1 10 16 0.01580333333333333
107 1 10 17 0.005827277777777777
108 1 10 18 0.017616111111111103
109 1 11 12 -0.006011666666666667
110 1 11 13 0.0008566666666666675
111 1 11 14 -0.012898333333333331
112 1 11 15 0.008398888888888886
113 1 11 16 0.019299999999999994
114 1 11 17 0.0014423333333333337
115 1 11 18 0.004811111111111109
116 1 12 13 0.013980444444444441
117 1 12 14 -0.020858888888888878
118 1 12 15 0.009394444444444441
119 1 12 16 -0.009321666666666664
120 1 12 17 -0.010116111111111107
121 1 12 18 0.01619444444444444
122 1 13 14 -0.006858944444444444
123 1 13 15 -0.0013072222222222233
124 1 13 16 -0.012658833333333331
125 1 13 17 -8.183333333333343e-5
126 1 13 18 -0.011268999999999998
127 1 14 15 -0.0005933333333333336
128 1 14 16 -0.0024354444444444436
129 1 14 17 0.007109988888888887
130 1 14 18 -0.0010833333333333342
131 1 15 16 -0.0002538722222222217
132 1 15 17 0.02070944444444444
133 1 15 18 0.0010203499999999993
134 1 16 17 0.008910944444444442
135 1 16 18 -0.007018333333333332
136 1 17 18 0.01664555555555555
137 2 3 4 -0.0061801111111111084
138 2 3 5 0.0017642222222222221
139 2 3 6 0.0017554444444444434
140 2 3 7 -0.023292333333333328
141 2 3 8 0.01591744444444444
142 2 3 9 -0.00479661111111111
143 2 3 10 -0.004135777777777777
144 2 3 11 -0.021931777777777772
145 2 3 12 -0.011052888888888885
146 2 3 13 -5.472222222222142e-5
147 2 3 14 0.00019766666666666693
148 2 3 15 -0.015526999999999996
149 2 3 16 -0.010661999999999996
150 2 3 17 -0.0035045555555555546
151 2 3 18 0.0042601111111111095
152 2 4 5 -0.01003222222222222
153 2 4 6 -0.017166111111111104
154 2 4 7 -0.011343888888888886
155 2 4 8 0.013053388888888883
156 2 4 9 -0.011341722222222222
157 2 4 10 -0.006402888888888887
158 2 4 11 -0.011530555555555553
159 2 4 12 -0.018394999999999995
160 2 4 13 -0.00973072222222222
161 2 4 14 -0.019096666666666658
162 2 4 15 -0.018454111111111105
163 2 4 16 -0.009816111111111109
164 2 4 17 -0.0016159999999999996
165 2 4 18 0.0039023888888888862
166 2 5 6 -0.018909444444444444
167 2 5 7 -0.010046666666666664
168 2 5 8 0.016478833333333328
169 2 5 9 -0.004503833333333332
170 2 5 10 -0.009318444444444442
