l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.33333 -0.46767261111111114 0.1343426111111111 0.0
2 1 3 -0.28571 -0.16266483333333334 -0.12304516666666668 0.0
3 2 3 0.25 0.30500777777777777 -0.055007777777777773 0.0
4 1 4 -0.066667 -0.19817972222222222 0.1315127222222222 0.0
5 2 4 0.2 0.2694928888888889 -0.06949288888888888 0.0
6 3 4 0.090909 -0.035514888888888874 0.12642388888888886 1.3877787807814457e-17
7 1 5 0.2 -0.16275466666666663 0.3627546666666667 -8.326672684688674e-17
8 2 5 0.25 0.30491794444444453 -0.05491794444444441 -1.1102230246251565e-16
9 3 5 -0.14286 -8.983333333328902e-5 -0.14277016666666661 -8.326672684688674e-17
10 4 5 -0.2 0.035425055555555585 -0.23542505555555554 -5.551115123125783e-17
11 1 6 -0.2 -0.11559699999999992 -0.08440300000000005 -4.163336342344337e-17
12 2 6 0.38462 0.3520756111111112 0.032544388888888866 -5.551115123125783e-17
13 3 6 2.220446049250313e-16 0.04706783333333342 -0.047067833333333156 -4.163336342344337e-17
14 4 6 2.220446049250313e-16 0.0825827222222223 -0.08258272222222204 -2.7755575615628914e-17
15 5 6 2.220446049250313e-16 0.04715766666666671 -0.047157666666666515 2.7755575615628914e-17
16 1 7 -0.33333 -0.5420065000000001 0.20867649999999993 1.1102230246251565e-16
17 2 7 0.16667 -0.07433388888888895 0.24100388888888885 1.1102230246251565e-16
18 3 7 -0.75 -0.37934166666666674 -0.3706583333333334 1.6653345369377348e-16
19 4 7 -0.45455 -0.34382677777777787 -0.11072322222222226 1.1102230246251565e-16
20 5 7 -0.77778 -0.37925183333333345 -0.39852816666666674 1.6653345369377348e-16
21 6 7 2.220446049250313e-16 -0.42640950000000016 0.4264095000000004 0.0
22 1 8 2.220446049250313e-16 -0.38638333333333336 0.38638333333333347 1.1102230246251565e-16
23 2 8 -0.5 0.08128927777777778 -0.5812892777777777 -5.551115123125783e-17
24 3 8 -0.5 -0.22371850000000001 -0.2762815 2.7755575615628914e-17
25 4 8 0.090909 -0.18820361111111114 0.2791126111111111 8.326672684688674e-17
26 5 8 -0.14286 -0.22362866666666673 0.08076866666666661 1.3877787807814457e-16
27 6 8 -0.33333 -0.2707863333333334 -0.06254366666666666 5.551115123125783e-17
28 7 8 0.42857 0.15562316666666673 0.27294683333333336 -8.326672684688674e-17
29 1 9 -0.33333 -0.42796005555555555 0.0946300555555555 5.551115123125783e-17
30 2 9 0.33333 0.0397125555555556 0.2936174444444444 4.163336342344337e-17
31 3 9 -0.13043 -0.2652952222222222 0.13486522222222216 5.551115123125783e-17
32 4 9 0.23077 -0.2297803333333333 0.4605503333333333 2.7755575615628914e-17
33 5 9 2.220446049250313e-16 -0.2652053888888889 0.26520538888888906 5.551115123125783e-17
34 6 9 -0.25 -0.3123630555555556 0.062363055555555574 5.551115123125783e-17
35 7 9 0.2 0.11404644444444455 0.08595355555555555 -8.326672684688674e-17
36 8 9 0.5 -0.04157672222222219 0.5415767222222222 -6.938893903907228e-18
37 1 10 2.220446049250313e-16 -0.5212482777777777 0.5212482777777779 0.0
38 2 10 0.11111 -0.053575666666666605 0.16468566666666667 -6.938893903907228e-17
39 3 10 -0.38462 -0.3585834444444444 -0.026036555555555594 0.0
40 4 10 0.11111 -0.3230685555555555 0.43417855555555557 -5.551115123125783e-17
41 5 10 -0.42857 -0.3584936111111111 -0.07007638888888892 0.0
42 6 10 -0.6 -0.4056512777777778 -0.19434872222222221 5.551115123125783e-17
43 7 10 0.11111 0.020758222222222344 0.09035177777777777 -1.1102230246251565e-16
44 8 10 2.220446049250313e-16 -0.13486494444444438 0.13486494444444463 -2.7755575615628914e-17
45 9 10 0.2 -0.0932882222222222 0.29328822222222223 -1.3877787807814457e-17
46 1 11 -0.54545 -0.2897452222222222 -0.2557047777777778 0.0
47 2 11 2.220446049250313e-16 0.17792738888888893 -0.17792738888888868 -2.7755575615628914e-17
48 3 11 -0.090909 -0.12708038888888884 0.03617138888888884 0.0
49 4 11 0.125 -0.09156549999999998 0.21656549999999997 1.3877787807814457e-17
50 5 11 -0.14286 -0.12699055555555555 -0.0158694444444445 5.551115123125783e-17
51 6 11 -0.6 -0.17414822222222226 -0.4258517777777777 0.0
52 7 11 0.14286 0.2522612777777779 -0.10940127777777778 -1.6653345369377348e-16
53 8 11 0.076923 0.09663811111111115 -0.019715111111111117 -2.7755575615628914e-17
54 9 11 0.16667 0.13821483333333334 0.028455166666666643 2.7755575615628914e-17
55 10 11 0.63636 0.23150305555555556 0.4048569444444445 0.0
56 1 12 -0.33333 -0.32969444444444446 -0.0036355555555555863 5.551115123125783e-17
57 2 12 0.11111 0.1379781666666667 -0.02686816666666668 -2.7755575615628914e-17
58 3 12 -0.33333 -0.1670296111111111 -0.1663003888888889 -2.7755575615628914e-17
59 4 12 -0.71429 -0.1315147222222222 -0.5827752777777778 5.551115123125783e-17
60 5 12 -0.076923 -0.1669397777777778 0.0900167777777777 1.1102230246251565e-16
61 6 12 -0.33333 -0.2140974444444445 -0.11923255555555556 5.551115123125783e-17
62 7 12 0.27273 0.21231205555555566 0.06041794444444442 -1.1102230246251565e-16
63 8 12 -0.29412 0.05668888888888892 -0.35080888888888884 -7.632783294297951e-17
64 9 12 0.29412 0.09826561111111111 0.19585438888888887 1.3877787807814457e-17
65 10 12 0.71429 0.1915538333333333 0.5227361666666667 0.0
66 11 12 0.11111 -0.03994922222222223 0.15105922222222223 0.0
67 1 13 -0.53846 -0.3855057777777778 -0.1529542222222223 5.551115123125783e-17
68 2 13 0.33333 0.08216683333333336 0.25116316666666666 0.0
69 3 13 -0.33333 -0.22284094444444444 -0.11048905555555558 0.0
70 4 13 2.220446049250313e-16 -0.18732605555555557 0.1873260555555558 0.0
71 5 13 -0.55556 -0.22275111111111115 -0.332808888888889 8.326672684688674e-17
72 6 13 -0.052632 -0.2699087777777779 0.21727677777777776 1.1102230246251565e-16
73 7 13 0.11111 0.1565007222222223 -0.04539072222222219 -1.1102230246251565e-16
74 8 13 -0.25 0.000877555555555562 -0.2508775555555556 1.3877787807814457e-17
75 9 13 0.058824 0.04245427777777775 0.01636972222222218 6.938893903907228e-17
76 10 13 -0.090909 0.13574249999999996 -0.2266515 2.7755575615628914e-17
77 11 13 -0.41176 -0.0957605555555556 -0.3159994444444444 -2.7755575615628914e-17
78 12 13 0.11111 -0.05581133333333336 0.16692133333333337 -6.938893903907228e-18
79 1 14 -0.4 -0.39980372222222227 -0.0001962777777778182 5.551115123125783e-17
80 2 14 0.25 0.06786888888888888 0.18213111111111113 -1.3877787807814457e-17
81 3 14 0.55556 -0.2371388888888889 0.792698888888889 0.0
82 4 14 -0.55556 -0.20162400000000003 -0.35393600000000003 0.0
83 5 14 -0.5 -0.2370490555555556 -0.2629509444444444 0.0
84 6 14 -0.25 -0.2842067222222223 0.03420672222222226 5.551115123125783e-17
85 7 14 -0.55556 0.14220277777777784 -0.6977627777777778 -5.551115123125783e-17
86 8 14 -0.75 -0.013420388888888905 -0.7365796111111109 -1.734723475976807e-16
87 9 14 0.66667 0.028156333333333283 0.6385136666666664 2.7755575615628914e-16
88 10 14 0.38462 0.12144455555555549 0.2631754444444444 1.249000902703301e-16
89 11 14 0.14286 -0.11005850000000006 0.2529185 5.551115123125783e-17
90 12 14 -0.5 -0.07010927777777783 -0.4298907222222222 1.3877787807814457e-17
91 13 14 0.23077 -0.014297944444444467 0.24506794444444444 3.469446951953614e-17
92 1 15 -0.6 -0.20571772222222218 -0.39428227777777775 -5.551115123125783e-17
93 2 15 0.66667 0.26195488888888896 0.404715111111111 0.0
94 3 15 2.220446049250313e-16 -0.043052888888888835 0.04305288888888907 -1.3877787807814457e-17
95 4 15 -0.090909 -0.007537999999999961 -0.08337100000000003 -1.3877787807814457e-17
96 5 15 2.220446049250313e-16 -0.042963055555555546 0.042963055555555706 6.245004513516506e-17
97 6 15 -0.090909 -0.09012072222222225 -0.0007882777777777888 4.163336342344337e-17
98 7 15 0.22222 0.3362887777777779 -0.11406877777777776 -1.1102230246251565e-16
99 8 15 0.090909 0.18066561111111118 -0.08975661111111109 -8.326672684688674e-17
100 9 15 0.6 0.22224233333333338 0.37775766666666666 -5.551115123125783e-17
101 10 15 0.5 0.31553055555555554 0.18446944444444444 0.0
102 11 15 -0.090909 0.08402750000000002 -0.17493650000000002 0.0
103 12 15 0.11111 0.12397672222222225 -0.012866722222222217 -2.7755575615628914e-17
104 13 15 -0.2 0.1797880555555556 -0.3797880555555556 0.0
105 14 15 0.45455 0.1940860000000001 0.2604639999999999 0.0
106 1 16 -0.6 -0.5395103888888889 -0.06048961111111116 1.1102230246251565e-16
107 2 16 -0.66667 -0.07183777777777778 -0.5948322222222223 1.1102230246251565e-16
108 3 16 -0.66667 -0.37684555555555554 -0.28982444444444444 0.0
109 4 16 -0.33333 -0.34133066666666667 0.008000666666666604 5.551115123125783e-17
110 5 16 2.220446049250313e-16 -0.3767557222222223 0.37675572222222226 2.7755575615628914e-16
111 6 16 -0.33333 -0.42391338888888896 0.09058338888888885 1.1102230246251565e-16
112 7 16 -0.38462 0.002496111111111171 -0.38711611111111116 -2.7755575615628914e-17
113 8 16 0.5 -0.15312705555555556 0.6531270555555555 5.551115123125783e-17
114 9 16 0.25 -0.11155033333333338 0.3615503333333333 6.938893903907228e-17
115 10 16 0.45455 -0.018262111111111173 0.4728121111111111 8.326672684688674e-17
116 11 16 2.220446049250313e-16 -0.2497651666666667 0.24976516666666682 1.1102230246251565e-16
117 12 16 -0.71429 -0.20981594444444449 -0.5044740555555556 8.326672684688674e-17
118 13 16 2.220446049250313e-16 -0.15400461111111113 0.15400461111111127 8.326672684688674e-17
119 14 16 2.220446049250313e-16 -0.13970666666666665 0.13970666666666684 2.7755575615628914e-17
120 15 16 -0.77778 -0.33379266666666674 -0.44398733333333334 5.551115123125783e-17
121 1 17 -1.0 -0.3687676111111111 -0.631232388888889 1.1102230246251565e-16
122 2 17 0.66667 0.09890500000000005 0.567765 -2.7755575615628914e-17
123 3 17 0.25 -0.20610277777777775 0.4561027777777777 5.551115123125783e-17
124 4 17 0.16667 -0.17058788888888887 0.33725788888888886 2.7755575615628914e-17
125 5 17 2.220446049250313e-16 -0.20601294444444446 0.2060129444444446 8.326672684688674e-17
126 6 17 -0.6 -0.25317061111111117 -0.3468293888888888 0.0
127 7 17 0.83333 0.173238888888889 0.6600911111111111 -5.551115123125783e-17
128 8 17 0.27273 0.017615722222222255 0.25511427777777773 -1.3877787807814457e-17
129 9 17 0.27273 0.05919244444444444 0.2135375555555555 2.0816681711721685e-17
130 10 17 2.220446049250313e-16 0.15248066666666665 -0.15248066666666643 0.0
131 11 17 -0.42857 -0.0790223888888889 -0.34954761111111116 5.551115123125783e-17
132 12 17 -0.4 -0.039073166666666666 -0.36092683333333336 6.938893903907228e-18
133 13 17 -0.45455 0.016738166666666693 -0.4712881666666667 -2.7755575615628914e-17
134 14 17 -0.33333 0.03103611111111116 -0.36436611111111117 -6.938893903907228e-18
135 15 17 2.220446049250313e-16 -0.1630498888888889 0.16304988888888908 5.551115123125783e-17
136 16 17 0.11111 0.17074277777777783 -0.059632777777777715 -1.1102230246251565e-16
137 1 18 -0.625 -0.4913951111111111 -0.13360488888888888 0.0
138 2 18 -0.46667 -0.023722499999999952 -0.44294749999999994 -8.326672684688674e-17
139 3 18 -0.66667 -0.32873027777777775 -0.3379397222222223 5.551115123125783e-17
140 4 18 -0.57895 -0.2932153888888889 -0.2857346111111111 0.0
141 5 18 -0.33333 -0.32864044444444446 -0.004689555555555648 1.1102230246251565e-16
142 6 18 -0.28571 -0.37579811111111117 0.09008811111111109 5.551115123125783e-17
143 7 18 0.23077 0.050611388888889 0.1801586111111111 -8.326672684688674e-17
144 8 18 -0.14286 -0.10501177777777773 -0.03784822222222224 -1.3877787807814457e-17
145 9 18 -0.25 -0.06343505555555555 -0.1865649444444444 -4.163336342344337e-17
146 10 18 -0.090909 0.029853166666666653 -0.12076216666666668 2.7755575615628914e-17
147 11 18 -0.33333 -0.2016498888888889 -0.13168011111111114 2.7755575615628914e-17
148 12 18 0.75 -0.16170066666666666 0.9117006666666665 1.6653345369377348e-16
149 13 18 -0.25 -0.10588933333333331 -0.1441106666666667 0.0
150 14 18 -0.2 -0.09159138888888883 -0.10840861111111114 -4.163336342344337e-17
151 15 18 0.058824 -0.28567738888888894 0.3445013888888889 0.0
152 16 18 0.33333 0.048115277777777826 0.28521472222222227 -8.326672684688674e-17
153 17 18 2.220446049250313e-16 -0.1226275 0.12262750000000026 -4.163336342344337e-17
