l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 0.7852 0.35218885000000005 0.4330111499999999 5.551115123125783e-17
2 1 3 0.18366 0.15083404 0.03282596 0.0
3 2 3 -0.29575 -0.20135481000000002 -0.09439519 2.7755575615628914e-17
4 1 4 -0.096828 0.06856094500000001 -0.165388945 0.0
5 2 4 -0.62796 -0.283627905 -0.3443320949999999 -5.551115123125783e-17
6 3 4 0.015303 -0.08227309499999999 0.09757609499999999 0.0
7 1 5 -0.14201 0.057278050000000025 -0.1992880499999999 -1.1102230246251565e-16
8 2 5 -0.10521 -0.29491080000000003 0.18970079999999997 5.551115123125783e-17
9 3 5 -0.47552 -0.09355598999999999 -0.3819640099999999 -9.71445146547012e-17
10 4 5 -0.084092 -0.011282894999999994 -0.072809105 -6.938893903907228e-18
11 1 6 0.35958 0.10510520000000007 0.2544748 -5.551115123125783e-17
12 2 6 -0.13723 -0.24708365 0.10985365000000001 0.0
13 3 6 -0.029496 -0.04572883999999995 0.01623283999999999 -4.163336342344337e-17
14 4 6 0.2433 0.036544255000000046 0.206755745 -4.85722573273506e-17
15 5 6 0.30491 0.04782715000000004 0.25708285 0.0
16 1 7 0.4269 0.21881975 0.20808024999999997 2.7755575615628914e-17
17 2 7 -0.17567 -0.13336910000000002 -0.04230089999999998 0.0
18 3 7 0.15174 0.06798571 0.08375429000000002 -1.3877787807814457e-17
19 4 7 0.16767 0.150258805 0.01741119500000002 0.0
20 5 7 0.034025 0.1615417 -0.1275167 0.0
21 6 7 -0.012876 0.11371454999999996 -0.12659054999999997 1.3877787807814457e-17
22 1 8 0.15381 0.05191620000000002 0.10189379999999996 1.3877787807814457e-17
23 2 8 -0.11389 -0.30027265000000003 0.18638264999999996 5.551115123125783e-17
24 3 8 -0.4517 -0.09891783999999999 -0.35278216 1.3877787807814457e-17
25 4 8 0.51613 -0.016644744999999996 0.5327747449999999 9.020562075079397e-17
26 5 8 -0.46993 -0.005361850000000001 -0.46456814999999996 -5.551115123125783e-17
27 6 8 0.052147 -0.05318900000000004 0.10533599999999999 5.551115123125783e-17
28 7 8 -0.12742 -0.16690355 0.03948354999999999 0.0
29 1 9 0.24937 0.039186475000000026 0.21018352499999998 0.0
30 2 9 0.05172 -0.313002375 0.364722375 0.0
31 3 9 0.11484 -0.11164756499999999 0.22648756499999997 1.3877787807814457e-17
32 4 9 0.085032 -0.029374469999999993 0.11440646999999998 6.938893903907228e-18
33 5 9 0.012323 -0.018091575 0.03041457499999998 2.0816681711721685e-17
