i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.21690199500000004 11 95.0
2 0.5690908450000001 1 91.0
3 0.36773603500000007 3 77.0
4 0.28546294000000005 6 72.0
5 0.27418004500000004 7 72.0
6 0.3220071950000001 4 64.0
7 0.43572174500000005 2 60.0
8 0.26881819500000004 8 57.0
9 0.25608847000000007 9 54.0
10 0.18409454000000003 13 54.0
11 0.20334312000000007 12 43.0
12 0.295493895 5 41.0
13 0.23182645000000004 10 40.0
14 0.12307690500000004 15 40.0
15 0.10057954500000009 18 39.0
16 0.01372164500000006 19 39.0
17 0.10809019500000004 16 38.0
18 0.10787469500000006 17 35.0
19 0.0 20 25.0
20 0.12584344500000005 14 21.0
