t i j k u[t]=u_ijk
1 1 2 3 0.01059
2 1 2 4 0.02619599999999999
3 1 2 5 0.014142499999999994
4 1 2 6 0.013045649999999997
5 1 2 7 0.009131399999999998
6 1 2 8 0.0050255
7 1 2 9 0.028010499999999987
8 1 2 10 0.015519999999999999
9 1 2 11 0.012094
10 1 2 12 -0.0009402499999999977
11 1 2 13 -0.010277499999999997
12 1 2 14 0.0018904999999999946
13 1 2 15 0.0211435
14 1 2 16 0.019266999999999992
15 1 2 17 0.031300999999999995
16 1 2 18 0.023879999999999995
17 1 2 19 0.013370499999999995
18 1 2 20 0.018903549999999995
19 1 3 4 0.01492705
20 1 3 5 -0.0017564999999999994
21 1 3 6 0.0075242999999999985
22 1 3 7 0.0067860499999999975
23 1 3 8 -0.003878049999999999
24 1 3 9 0.017385999999999995
25 1 3 10 -0.01062
26 1 3 11 0.0018850000000000002
27 1 3 12 -0.005600249999999998
28 1 3 13 -0.03568049999999999
29 1 3 14 0.022125299999999994
30 1 3 15 0.010240499999999996
31 1 3 16 0.02154579999999999
32 1 3 17 -0.004917500000000001
33 1 3 18 0.02953899999999999
34 1 3 19 0.005351999999999999
35 1 3 20 0.0071851999999999975
36 1 4 5 -0.010638499999999999
37 1 4 6 -0.0054908499999999985
38 1 4 7 -0.016726099999999997
39 1 4 8 -0.010484999999999998
40 1 4 9 -0.0053705
41 1 4 10 -0.015935999999999995
42 1 4 11 -0.012396499999999996
43 1 4 12 -0.028030749999999997
44 1 4 13 -0.03054589999999999
45 1 4 14 0.003467999999999998
46 1 4 15 -0.020626499999999996
47 1 4 16 -0.0167905
48 1 4 17 0.0021294999999999973
49 1 4 18 0.004082999999999996
50 1 4 19 -0.016591499999999995
51 1 4 20 -0.005471999999999999
52 1 5 6 -0.006323099999999998
53 1 5 7 -0.019031599999999996
54 1 5 8 -0.025772999999999994
55 1 5 9 -0.007420999999999998
56 1 5 10 -0.009950499999999998
57 1 5 11 0.00039550000000000127
58 1 5 12 -0.013785749999999994
59 1 5 13 -0.03480049999999999
60 1 5 14 0.006183499999999998
61 1 5 15 -0.0013129999999999986
62 1 5 16 -0.0008589999999999997
63 1 5 17 0.024041499999999993
64 1 5 18 0.020264999999999995
65 1 5 19 -0.013804999999999998
66 1 5 20 -0.005452849999999998
67 1 6 7 -0.00450175
68 1 6 8 -0.009576499999999996
69 1 6 9 0.003667349999999999
70 1 6 10 -0.004987649999999998
71 1 6 11 0.00292435
72 1 6 12 -0.0021679
73 1 6 13 -0.023124649999999997
74 1 6 14 0.009765349999999996
75 1 6 15 0.017234199999999995
76 1 6 16 0.0028033499999999983
77 1 6 17 0.023227249999999994
78 1 6 18 0.01215485
79 1 6 19 -0.010251149999999997
80 1 6 20 -0.0043825999999999995
81 1 7 8 -0.0189574
82 1 7 9 0.004859599999999999
83 1 7 10 0.005516099999999999
84 1 7 11 0.017816199999999997
85 1 7 12 0.005439899999999998
86 1 7 13 -0.039084899999999985
87 1 7 14 0.019449099999999997
88 1 7 15 0.019996049999999998
89 1 7 16 0.0074740999999999965
90 1 7 17 0.014380599999999995
91 1 7 18 0.03412169999999999
92 1 7 19 0.011980699999999999
93 1 7 20 0.0007411499999999999
94 1 8 9 0.005694499999999998
95 1 8 10 0.018740499999999993
96 1 8 11 0.013519499999999999
97 1 8 12 -0.009344249999999998
98 1 8 13 -0.020336999999999997
99 1 8 14 0.018716999999999998
100 1 8 15 0.030178599999999993
101 1 8 16 0.004443999999999997
102 1 8 17 0.010211999999999995
103 1 8 18 0.03733799999999999
104 1 8 19 -0.006202499999999998
105 1 8 20 0.0006825500000000011
106 1 9 10 -0.009374099999999998
107 1 9 11 -0.017598499999999996
108 1 9 12 -0.00564075
109 1 9 13 -0.018379
110 1 9 14 0.001813499999999999
111 1 9 15 -0.015957499999999996
112 1 9 16 0.011456999999999998
113 1 9 17 -0.017639999999999996
114 1 9 18 0.010592299999999995
115 1 9 19 -0.016653499999999995
116 1 9 20 -0.0021489499999999976
117 1 10 11 0.011154499999999998
118 1 10 12 -0.006835949999999999
119 1 10 13 -0.028468399999999998
120 1 10 14 -0.0022295
121 1 10 15 -0.0033364999999999983
122 1 10 16 0.0006161499999999999
123 1 10 17 -0.021633499999999993
124 1 10 18 0.0070315
125 1 10 19 -0.005748649999999998
126 1 10 20 -0.020246449999999992
127 1 11 12 -0.018680749999999996
128 1 11 13 -0.054262999999999985
129 1 11 14 0.004513749999999997
130 1 11 15 0.013742499999999998
131 1 11 16 -0.013754499999999998
132 1 11 17 0.0012615999999999977
133 1 11 18 0.028280999999999994
134 1 11 19 -0.008196599999999998
135 1 11 20 -0.023044949999999998
136 1 12 13 -0.033334249999999996
137 1 12 14 0.026883249999999997
138 1 12 15 0.004707250000000001
139 1 12 16 0.007980199999999998
140 1 12 17 0.0017992499999999992
