l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 0.87097 0.29033185000000006 0.58063815 0.0
2 1 3 0.33333 0.14664945000000007 0.18668055000000003 -8.326672684688674e-17
3 2 3 -0.1875 -0.1436824 -0.043817600000000026 0.0
4 1 4 -0.4375 0.09788909999999999 -0.5353891000000001 6.938893903907228e-17
5 2 4 -0.35714 -0.19244275000000005 -0.16469724999999996 0.0
6 3 4 0.083333 -0.04876035000000006 0.13209335 6.938893903907228e-17
7 1 5 -0.26316 0.00456624999999998 -0.26772624999999994 -4.163336342344337e-17
8 2 5 -0.46667 -0.28576560000000006 -0.18090439999999997 5.551115123125783e-17
9 3 5 2.220446049250313e-16 -0.14208320000000008 0.1420832000000002 1.1102230246251565e-16
10 4 5 2.220446049250313e-16 -0.09332285000000001 0.0933228500000002 4.163336342344337e-17
11 1 6 0.41667 0.14447000000000004 0.27219999999999994 0.0
12 2 6 2.220446049250313e-16 -0.14586185000000002 0.14586185000000024 0.0
13 3 6 -0.25714 -0.002179450000000027 -0.25496054999999995 0.0
14 4 6 2.220446049250313e-16 0.046580900000000036 -0.046580899999999814 0.0
15 5 6 0.2 0.13990375000000005 0.060096250000000004 -5.551115123125783e-17
16 1 7 0.69231 0.027869349999999987 0.66444065 2.7755575615628914e-17
17 2 7 -0.13043 -0.26246250000000004 0.13203249999999994 1.1102230246251565e-16
18 3 7 -0.13043 -0.11878010000000007 -0.011649899999999987 6.938893903907228e-17
19 4 7 -0.41667 -0.07001975 -0.34665024999999994 -4.163336342344337e-17
20 5 7 0.043478 0.023303100000000007 0.020174900000000003 -6.938893903907228e-18
21 6 7 -0.68421 -0.11660065000000004 -0.56760935 6.938893903907228e-17
22 1 8 0.47826 0.09534150000000001 0.3829185 1.3877787807814457e-17
23 2 8 -0.1 -0.19499035000000003 0.09499034999999997 5.551115123125783e-17
24 3 8 -0.28571 -0.05130795000000005 -0.23440204999999997 0.0
25 4 8 0.38462 -0.002547599999999983 0.38716759999999995 5.551115123125783e-17
26 5 8 -0.3 0.09077525000000003 -0.39077525 0.0
27 6 8 -0.16667 -0.04912850000000002 -0.11754149999999997 -2.7755575615628914e-17
28 7 8 -0.15789 0.06747215000000002 -0.22536215 -1.3877787807814457e-17
29 1 9 -0.25926 -0.14905225000000005 -0.11020774999999997 2.7755575615628914e-17
30 2 9 -0.5 -0.4393841000000001 -0.0606159 1.1102230246251565e-16
31 3 9 -0.77778 -0.2957017000000001 -0.48207829999999996 5.551115123125783e-17
32 4 9 0.076923 -0.24694135000000006 0.32386434999999997 1.1102230246251565e-16
33 5 9 -0.5 -0.15361850000000005 -0.3463814999999999 -5.551115123125783e-17
34 6 9 -0.15152 -0.2935222500000001 0.14200224999999997 1.1102230246251565e-16
35 7 9 -0.18182 -0.17692160000000004 -0.004898399999999987 2.7755575615628914e-17
36 8 9 -0.29032 -0.24439375000000008 -0.045926250000000016 5.551115123125783e-17
37 1 10 -0.61538 -0.3411066500000001 -0.27427334999999997 5.551115123125783e-17
38 2 10 -0.40741 -0.6314385000000002 0.2240285 2.220446049250313e-16
39 3 10 -0.30435 -0.4877561000000002 0.18340610000000002 1.6653345369377348e-16
40 4 10 -0.69565 -0.43899575000000013 -0.25665425 1.1102230246251565e-16
41 5 10 -0.71429 -0.3456729000000001 -0.3686171 1.1102230246251565e-16
42 6 10 -0.33333 -0.48557665000000017 0.15224664999999998 1.6653345369377348e-16
43 7 10 -0.63636 -0.36897600000000014 -0.267384 1.1102230246251565e-16
44 8 10 -0.86667 -0.43644815000000015 -0.43022185 1.1102230246251565e-16
45 9 10 -0.29412 -0.19205440000000007 -0.10206559999999998 5.551115123125783e-17
46 1 11 -0.04 -0.06607475000000003 0.026074749999999994 4.163336342344337e-17
47 2 11 -0.73913 -0.3564066000000001 -0.3827233999999999 0.0
48 3 11 -0.23529 -0.21272420000000009 -0.022565800000000004 8.326672684688674e-17
49 4 11 -0.69811 -0.16396385000000002 -0.53414615 0.0
50 5 11 0.14286 -0.07064100000000001 0.213501 0.0
51 6 11 -0.4375 -0.21054475000000006 -0.22695524999999994 0.0
52 7 11 0.096774 -0.09394410000000002 0.19071809999999997 4.163336342344337e-17
53 8 11 0.18519 -0.16141625000000004 0.34660624999999995 8.326672684688674e-17
54 9 11 0.071429 0.08297750000000002 -0.011548500000000008 -1.3877787807814457e-17
55 10 11 0.21429 0.2750319000000001 -0.060741899999999974 -1.1102230246251565e-16
