t i j k u[t]=u_ijk
1 1 2 3 0.017507
2 1 2 4 0.047566500000000005
3 1 2 5 0.03337300000000001
4 1 2 6 0.022715000000000013
5 1 2 7 0.002411500000000002
6 1 2 8 0.0146355
7 1 2 9 0.031511500000000005
8 1 2 10 0.053947
9 1 2 11 0.008592000000000004
10 1 2 12 0.03406115
11 1 2 13 0.03283400000000001
12 1 2 14 0.026636999999999994
13 1 2 15 0.03673049999999999
14 1 2 16 0.034352999999999995
15 1 2 17 0.04712
16 1 2 18 0.049112499999999996
17 1 2 19 0.034732500000000006
18 1 2 20 0.0527985
19 1 3 4 0.04270815
20 1 3 5 0.029824500000000007
21 1 3 6 -0.017023999999999997
22 1 3 7 -0.024470499999999996
23 1 3 8 -0.021532
24 1 3 9 -0.009259500000000004
25 1 3 10 0.032218
26 1 3 11 0.006901999999999999
27 1 3 12 -0.015898
28 1 3 13 -0.0040479999999999995
29 1 3 14 0.0348562
30 1 3 15 0.023558000000000003
31 1 3 16 0.025438500000000003
32 1 3 17 0.010184999999999998
33 1 3 18 0.025828000000000004
34 1 3 19 0.037572699999999994
35 1 3 20 0.0273285
36 1 4 5 -0.008716999999999989
37 1 4 6 -0.04270849999999998
38 1 4 7 -0.07732399999999999
39 1 4 8 -0.026556999999999994
40 1 4 9 -0.00506585
41 1 4 10 -0.025888499999999995
42 1 4 11 -0.054780499999999996
43 1 4 12 -0.04520849999999999
44 1 4 13 -0.057589499999999995
45 1 4 14 -0.0018166
46 1 4 15 -0.023693000000000002
47 1 4 16 -0.024173999999999994
48 1 4 17 -0.019097
49 1 4 18 -0.017090499999999998
50 1 4 19 -0.004191
51 1 4 20 -0.011213
52 1 5 6 -0.023991499999999995
53 1 5 7 -0.0455996
54 1 5 8 -0.052071
55 1 5 9 -0.025195
56 1 5 10 -0.018103499999999995
57 1 5 11 -0.004015
58 1 5 12 -0.0284915
59 1 5 13 -0.02572435
60 1 5 14 0.0066467
61 1 5 15 0.005024000000000011
62 1 5 16 -0.0014914999999999998
63 1 5 17 0.011842000000000009
64 1 5 18 -0.010451499999999999
65 1 5 19 -0.007215999999999999
66 1 5 20 0.005592
67 1 6 7 -0.047992499999999993
68 1 6 8 -0.011413000000000001
69 1 6 9 0.026220499999999994
70 1 6 10 0.034935999999999995
71 1 6 11 0.0009584999999999982
72 1 6 12 -0.005543500000000001
73 1 6 13 0.020118999999999995
74 1 6 14 0.031801
75 1 6 15 0.030682000000000004
76 1 6 16 0.03750000000000001
77 1 6 17 0.033333499999999995
78 1 6 18 0.004069500000000004
79 1 6 19 0.017851
80 1 6 20 0.038668999999999995
81 1 7 8 0.0028079999999999976
82 1 7 9 0.0384875
83 1 7 10 0.0335665
84 1 7 11 0.0414542
85 1 7 12 0.029615499999999996
86 1 7 13 0.021269399999999997
87 1 7 14 0.041946500000000005
88 1 7 15 0.027797499999999992
89 1 7 16 0.041282000000000006
90 1 7 17 0.04850449999999999
91 1 7 18 0.03636999999999999
92 1 7 19 0.04011749999999999
93 1 7 20 0.06824645
94 1 8 9 0.022359999999999994
95 1 8 10 0.011348500000000004
96 1 8 11 0.035172499999999995
97 1 8 12 -0.000784
98 1 8 13 0.0019080000000000013
99 1 8 14 0.0323805
100 1 8 15 0.032095
101 1 8 16 0.0280795
102 1 8 17 0.021134999999999998
103 1 8 18 0.019000500000000003
104 1 8 19 0.0309305
105 1 8 20 0.05516300000000002
106 1 9 10 0.0031000000000000025
107 1 9 11 -0.007391549999999999
108 1 9 12 -0.005463000000000001
109 1 9 13 -0.0136775
110 1 9 14 0.01133785
111 1 9 15 -0.015051499999999997
112 1 9 16 0.009586
113 1 9 17 -0.0169105
114 1 9 18 0.00028550000000000174
115 1 9 19 -0.013637999999999999
116 1 9 20 0.016674099999999997
117 1 10 11 -0.0180545
118 1 10 12 -0.025681499999999996
119 1 10 13 -0.023062499999999996
120 1 10 14 -0.004801500000000001
121 1 10 15 -0.008420350000000002
122 1 10 16 -0.004843000000000001
123 1 10 17 -0.025334
124 1 10 18 0.001288499999999998
125 1 10 19 -0.0207215
126 1 10 20 -0.019519
127 1 11 12 -0.027495499999999996
128 1 11 13 -0.033547999999999994
129 1 11 14 0.030078499999999998
130 1 11 15 0.005467500000000001
131 1 11 16 0.008666500000000002
132 1 11 17 0.019875
133 1 11 18 0.013789400000000002
134 1 11 19 0.001987
135 1 11 20 0.016092
136 1 12 13 -0.011666499999999998
137 1 12 14 0.03244915
138 1 12 15 0.0029440000000000017
139 1 12 16 0.014615500000000002
140 1 12 17 0.020591499999999995
141 1 12 18 0.03175450000000001
142 1 12 19 0.031462
143 1 12 20 0.035324
144 1 13 14 0.020571
145 1 13 15 0.0308965
146 1 13 16 0.025865849999999996
147 1 13 17 0.016017499999999997
148 1 13 18 0.029135500000000012
149 1 13 19 0.042090999999999996
150 1 13 20 0.05029799999999999
151 1 14 15 -0.028542999999999995
152 1 14 16 -0.0252685
153 1 14 17 0.0024195999999999996
154 1 14 18 -4.649999999999862e-5
155 1 14 19 -0.014674999999999997
156 1 14 20 0.012134349999999999
157 1 15 16 0.00265115
158 1 15 17 0.027188499999999997
159 1 15 18 -0.005316499999999999
160 1 15 19 0.013077999999999998
161 1 15 20 0.020643999999999996
162 1 16 17 0.024999999999999998
163 1 16 18 0.0162705
164 1 16 19 -0.024063499999999995
165 1 16 20 0.011458499999999998
166 1 17 18 -0.019078999999999995
167 1 17 19 -0.010691
168 1 17 20 0.004637099999999999
169 1 18 19 0.006987149999999997
170 1 18 20 0.006828999999999998
171 1 19 20 0.0027273
172 2 3 4 0.012648649999999999
173 2 3 5 0.013958500000000009
174 2 3 6 -0.02223200000000001
175 2 3 7 -0.009375
176 2 3 8 -0.0186605
177 2 3 9 -0.023264
178 2 3 10 -0.004222000000000001
179 2 3 11 0.015816999999999998
180 2 3 12 -0.03245215
181 2 3 13 -0.01937500000000001
182 2 3 14 0.025726199999999994
183 2 3 15 0.004334499999999999
184 2 3 16 0.008592500000000001
185 2 3 17 -0.019428
186 2 3 18 -0.0057775000000000005
187 2 3 19 0.0203472
188 2 3 20 -0.007963000000000001
189 2 4 5 0.005476500000000009
190 2 4 6 -0.017856999999999998
191 2 4 7 -0.032168999999999996
192 2 4 8 0.006373999999999998
193 2 4 9 0.01098915
194 2 4 10 -0.032269
195 2 4 11 -0.015806
196 2 4 12 -0.03170315
197 2 4 13 -0.042857000000000006
198 2 4 14 0.019112900000000002
199 2 4 15 -0.012857
200 2 4 16 -0.010960499999999996
201 2 4 17 -0.0186505
202 2 4 18 -0.018636499999999997
203 2 4 19 0.008643
204 2 4 20 -0.016444999999999998
205 2 5 6 -0.013333500000000009
206 2 5 7 -0.014638099999999996
207 2 5 8 -0.033333499999999995
208 2 5 9 -0.0233335
209 2 5 10 -0.0386775
210 2 5 11 0.020765999999999996
211 2 5 12 -0.029179649999999998
212 2 5 13 -0.02518535000000001
213 2 5 14 0.0133827
214 2 5 15 0.0016665000000000122
215 2 5 16 -0.002471499999999997
216 2 5 17 -0.001904999999999987
217 2 5 18 -0.026190999999999996
218 2 5 19 -0.008575499999999996
219 2 5 20 -0.013833499999999997
220 2 6 7 -0.02768899999999998
221 2 6 8 -0.003333499999999989
222 2 6 9 0.01742400000000001
223 2 6 10 0.00370400000000001
224 2 6 11 0.015081500000000006
225 2 6 12 -0.01688964999999999
226 2 6 13 0.009999999999999998
227 2 6 14 0.027879000000000008
228 2 6 15 0.01666650000000001
229 2 6 16 0.025862000000000024
230 2 6 17 0.008928500000000011
231 2 6 18 -0.022327999999999987
232 2 6 19 0.005833500000000014
233 2 6 20 0.008585500000000013
234 2 7 8 -0.009415999999999999
235 2 7 9 0.0093875
236 2 7 10 -0.017969
237 2 7 11 0.0352737
238 2 7 12 -0.0020341499999999998
239 2 7 13 -0.009153100000000011
240 2 7 14 0.017721000000000004
241 2 7 15 -0.006521499999999999
242 2 7 16 0.009340500000000002
243 2 7 17 0.0037960000000000003
244 2 7 18 -0.010331
245 2 7 19 0.007796500000000003
246 2 7 20 0.01785945
247 2 8 9 0.005483999999999999
248 2 8 10 -0.027963000000000005
249 2 8 11 0.041215999999999996
250 2 8 12 -0.02020965
251 2 8 13 -0.01629050000000001
252 2 8 14 0.020379
253 2 8 15 0.009999999999999998
254 2 8 16 0.008362000000000001
255 2 8 17 -0.0113495
256 2 8 18 -0.015476499999999997
257 2 8 19 0.010833500000000001
