i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.31875994999999996 2 95.0
2 0.33055456499999997 1 91.0
3 0.30897849999999993 3 77.0
4 0.25371984999999997 6 72.0
5 0.21754659999999998 8 72.0
6 0.27689570999999996 4 64.0
7 0.24438258834999999 7 60.0
8 0.260279625 5 57.0
9 0.1454707 11 54.0
10 0.15956813965 9 54.0
11 0.04232504500000006 17 43.0
12 0.08767680000000001 14 41.0
13 0.10202175000000001 13 40.0
14 0.06179931000000005 16 40.0
15 0.12896259999999998 12 39.0
16 0.03213296500000001 18 39.0
17 0.06454685 15 38.0
18 0.0 20 35.0
19 0.0165101 19 25.0
20 0.150475352 10 21.0
