t i j k u[t]=u_ijk
1 1 2 3 0.005440049999999999
2 1 2 4 0.0125727
3 1 2 5 0.019756500000000003
4 1 2 6 0.013122484999999998
5 1 2 7 0.01910485
6 1 2 8 0.011150450000000003
7 1 2 9 0.02619355
8 1 2 10 0.0176915
9 1 2 11 0.0006000000000000006
10 1 2 12 0.0034264999999999994
11 1 2 13 0.006405149999999998
12 1 2 14 0.017618500000000002
13 1 2 15 0.02409315
14 1 2 16 0.013001499999999997
15 1 2 17 0.020649500000000005
16 1 2 18 0.0276725
17 1 2 19 0.028081000000000002
18 1 2 20 0.011465499999999998
19 1 3 4 0.012184000000000002
20 1 3 5 0.007117
21 1 3 6 0.0019181500000000002
22 1 3 7 0.004340000000000001
23 1 3 8 -0.0028580499999999996
24 1 3 9 0.001421000000000003
25 1 3 10 0.013644499999999999
26 1 3 11 0.0012205000000000022
27 1 3 12 0.006677500000000002
28 1 3 13 -0.00053565
29 1 3 14 0.016043500000000002
30 1 3 15 0.017677050000000003
31 1 3 16 0.0050955
32 1 3 17 0.0001439999999999997
33 1 3 18 0.030519500000000005
34 1 3 19 0.014609000000000002
35 1 3 20 0.004483999999999999
36 1 4 5 -0.0048332
37 1 4 6 0.0033870999999999984
38 1 4 7 -0.00034544999999999997
39 1 4 8 0.013461250000000001
40 1 4 9 -0.0024467000000000004
41 1 4 10 0.0021538000000000004
42 1 4 11 -0.021573199999999997
43 1 4 12 -0.006201700000000001
44 1 4 13 -0.013600050000000002
45 1 4 14 0.0102918
46 1 4 15 0.006154799999999999
47 1 4 16 -0.0037512000000000005
48 1 4 17 0.003938300000000001
49 1 4 18 0.011195300000000004
50 1 4 19 0.0019967999999999987
51 1 4 20 -0.0005648500000000009
52 1 5 6 -0.01444655
53 1 5 7 -0.013390999999999998
54 1 5 8 -0.02032655
55 1 5 9 -0.010382500000000001
56 1 5 10 -0.0029058999999999995
57 1 5 11 -0.0101
58 1 5 12 -0.010696500000000001
59 1 5 13 -0.018454750000000002
60 1 5 14 0.0081452
61 1 5 15 -0.0018204500000000015
62 1 5 16 -0.005246800000000001
63 1 5 17 -0.00023004999999999936
64 1 5 18 0.005170500000000001
65 1 5 19 -0.004464
66 1 5 20 -0.014197000000000001
67 1 6 7 0.0042356500000000005
68 1 6 8 0.0044493250000000005
69 1 6 9 0.000805700000000001
70 1 6 10 0.005495200000000001
71 1 6 11 -0.0042122999999999996
72 1 6 12 -0.003822300000000001
73 1 6 13 0.0029179000000000006
74 1 6 14 0.012165700000000002
75 1 6 15 0.01129725
76 1 6 16 0.0142169
77 1 6 17 0.012311800000000003
78 1 6 18 0.010210700000000005
79 1 6 19 0.0091277
80 1 6 20 0.002630199999999999
81 1 7 8 -0.005438700000000001
82 1 7 9 -0.011512500000000002
83 1 7 10 0.007539309650000002
84 1 7 11 0.007085600000000001
85 1 7 12 0.004378599999999999
86 1 7 13 -0.02645685
87 1 7 14 0.0021225
88 1 7 15 -0.005021500000000001
89 1 7 16 -0.018088500000000004
90 1 7 17 0.003924000000000001
91 1 7 18 0.015891
92 1 7 19 0.005954500000000001
93 1 7 20 0.0029339519999999997
94 1 8 9 0.0032013500000000004
95 1 8 10 0.006152750000000001
96 1 8 11 -0.003720950000000001
97 1 8 12 -0.011644950000000001
98 1 8 13 -0.012618299999999999
99 1 8 14 0.011074549999999999
100 1 8 15 0.01582745
101 1 8 16 -0.012620950000000004
102 1 8 17 -0.00972945
103 1 8 18 0.016710050000000004
104 1 8 19 -0.002353950000000002
105 1 8 20 0.010201449999999999
106 1 9 10 0.0016920000000000001
107 1 9 11 -0.009564500000000002
108 1 9 12 0.006056999999999999
109 1 9 13 -0.007402550000000002
110 1 9 14 0.014176699999999997
111 1 9 15 -0.008285000000000002
112 1 9 16 0.002895399999999999
113 1 9 17 -0.0065885000000000015
114 1 9 18 0.012886000000000003
115 1 9 19 0.005183
116 1 9 20 -0.0037804000000000015
117 1 10 11 -0.0035581300000000005
118 1 10 12 0.0022724999999999998
