t i j k u[t]=u_ijk
1 1 2 3 0.0006550000000000003
2 1 2 4 0.009095500000000001
3 1 2 5 0.01608800000000001
4 1 2 6 0.015007450000000007
5 1 2 7 0.014199650000000006
6 1 2 8 0.00809834
7 1 2 9 0.011575200000000006
8 1 2 10 0.018209500000000007
9 1 2 11 -0.003991950000000001
10 1 2 12 -0.0007786500000000005
11 1 2 13 0.008642360000000002
12 1 2 14 0.010531000000000006
13 1 2 15 0.02469800000000001
14 1 2 16 0.011637500000000005
15 1 2 17 0.025999500000000005
16 1 2 18 0.03165550000000002
17 1 2 19 0.020482000000000007
18 1 2 20 0.027368500000000004
19 1 3 4 0.016567435000000005
20 1 3 5 0.012795500000000003
21 1 3 6 -0.005043500000000002
22 1 3 7 0.002866650000000001
23 1 3 8 -0.013853660000000005
24 1 3 9 -0.005011300000000004
25 1 3 10 0.015726500000000004
26 1 3 11 0.002898550000000001
27 1 3 12 -0.0063711500000000025
28 1 3 13 0.0032093600000000014
29 1 3 14 0.014202000000000006
30 1 3 15 0.02104050000000001
31 1 3 16 0.0056800000000000045
32 1 3 17 0.0024035000000000037
33 1 3 18 0.025716500000000007
34 1 3 19 0.006744000000000002
35 1 3 20 0.008971000000000002
36 1 4 5 -0.0021890000000000004
37 1 4 6 -0.011915000000000004
38 1 4 7 -0.009085500000000005
39 1 4 8 -0.0010808100000000006
40 1 4 9 -0.013222650000000004
41 1 4 10 -0.008993500000000003
42 1 4 11 -0.03446545000000001
43 1 4 12 -0.020387150000000007
44 1 4 13 -0.026047140000000014
45 1 4 14 -0.0072320000000000014
46 1 4 15 -0.00014949999999999968
47 1 4 16 -0.010432500000000004
48 1 4 17 0.004698500000000003
49 1 4 18 0.011783500000000004
50 1 4 19 -0.003839000000000002
51 1 4 20 -0.0045790000000000015
52 1 5 6 -0.013705000000000005
53 1 5 7 -0.005631700000000003
54 1 5 8 -0.01857716000000001
55 1 5 9 -0.014619200000000006
56 1 5 10 -0.0024072500000000023
57 1 5 11 -0.007828650000000005
58 1 5 12 -0.02046865000000001
59 1 5 13 -0.010438290000000005
60 1 5 14 0.0036624500000000007
61 1 5 15 0.0025687500000000007
62 1 5 16 -0.0070450000000000035
63 1 5 17 0.011472690000000004
64 1 5 18 0.0045934999999999995
65 1 5 19 -0.0017415000000000026
66 1 5 20 -0.010483500000000005
67 1 6 7 0.007333000000000003
68 1 6 8 0.014626240000000004
69 1 6 9 0.0014247000000000014
70 1 6 10 0.016873500000000007
71 1 6 11 -0.005943450000000002
72 1 6 12 0.0011973500000000002
73 1 6 13 0.010067690000000002
74 1 6 14 0.014515500000000006
75 1 6 15 0.026018400000000014
76 1 6 16 0.022082000000000008
77 1 6 17 0.02610850000000001
78 1 6 18 0.017054500000000007
79 1 6 19 0.015708500000000004
80 1 6 20 0.020088500000000006
81 1 7 8 -0.014449310000000003
82 1 7 9 -0.014912950000000006
83 1 7 10 0.012710250000000006
84 1 7 11 0.0006355499999999999
85 1 7 12 -0.0014050500000000006
86 1 7 13 -0.01567579000000001
87 1 7 14 -0.008453650000000005
88 1 7 15 -0.004687650000000001
89 1 7 16 -0.017047150000000004
90 1 7 17 0.014472850000000006
91 1 7 18 0.021977350000000007
92 1 7 19 -0.002905150000000002
93 1 7 20 0.008284350000000003
94 1 8 9 -0.005686490000000002
95 1 8 10 0.012903410000000004
96 1 8 11 -0.009388290000000004
97 1 8 12 -0.008190990000000004
98 1 8 13 -0.013037480000000006
99 1 8 14 0.007573160000000002
100 1 8 15 0.012716860000000007
101 1 8 16 -0.005065340000000001
102 1 8 17 0.0007871600000000009
103 1 8 18 0.019229660000000006
104 1 8 19 -0.005601340000000004
105 1 8 20 0.016821290000000006
106 1 9 10 0.014929500000000005
107 1 9 11 -0.010824150000000003
108 1 9 12 0.008444650000000005
109 1 9 13 -0.012386840000000005
110 1 9 14 0.017786700000000006
111 1 9 15 0.0027113000000000007
112 1 9 16 0.005991800000000002
113 1 9 17 0.007637300000000003
114 1 9 18 0.015736300000000005
115 1 9 19 0.0029167999999999998
116 1 9 20 0.012657300000000003
117 1 10 11 -0.014886450000000008
118 1 10 12 -0.004716650000000002
119 1 10 13 -0.00626664
120 1 10 14 -0.004225500000000002
121 1 10 15 -0.011648000000000006
122 1 10 16 -0.009406500000000003
123 1 10 17 -0.0014104999999999983
124 1 10 18 0.004704500000000002
125 1 10 19 -0.004638500000000003
126 1 10 20 0.0013194000000000003
127 1 11 12 -0.002868000000000001
128 1 11 13 -0.010153690000000003
129 1 11 14 0.011065800000000002
130 1 11 15 0.015513000000000004
131 1 11 16 0.004219550000000002
132 1 11 17 0.020666750000000008
133 1 11 18 0.015815950000000006
134 1 11 19 0.0018114499999999998
135 1 11 20 0.015027645000000006
136 1 12 13 -0.011274490000000005
137 1 12 14 0.023334650000000005
138 1 12 15 0.0030866500000000002
139 1 12 16 0.019486650000000008
140 1 12 17 0.008855650000000005
141 1 12 18 0.034186500000000015
142 1 12 19 0.026746650000000004
143 1 12 20 0.011166150000000003
144 1 13 14 0.02133809000000001
145 1 13 15 0.02273064000000001
146 1 13 16 0.01867864000000001
147 1 13 17 0.013816640000000007
148 1 13 18 0.03520064000000001
149 1 13 19 0.015029490000000008
150 1 13 20 0.015564690000000004
151 1 14 15 0.0041047500000000025
152 1 14 16 -0.014691000000000006
153 1 14 17 0.011136500000000006
154 1 14 18 0.013310950000000005
155 1 14 19 -0.008454800000000005
156 1 14 20 0.009369500000000005
157 1 15 16 -0.014996500000000008
158 1 15 17 0.010145000000000005
159 1 15 18 0.0018204999999999994
160 1 15 19 -0.012631000000000009
161 1 15 20 -0.0013737500000000013
162 1 16 17 0.013051700000000008
163 1 16 18 0.022742050000000007
164 1 16 19 -0.0029125000000000023
165 1 16 20 0.016807000000000006
166 1 17 18 0.00775144
167 1 17 19 -0.024512500000000013
168 1 17 20 0.0025279999999999994
169 1 18 19 -0.007753500000000002
170 1 18 20 -0.011640905000000002
171 1 19 20 0.007964650000000005
172 2 3 4 0.008126935000000004
173 2 3 5 -0.0026375000000000005
174 2 3 6 -0.019395950000000006
175 2 3 7 -0.010678000000000003
176 2 3 8 -0.021297000000000007
177 2 3 9 -0.015931500000000008
178 2 3 10 -0.001828
179 2 3 11 0.0075455000000000045
180 2 3 12 -0.004937500000000001
181 2 3 13 -0.004778000000000002
182 2 3 14 0.004326000000000001
183 2 3 15 -0.003002500000000002
184 2 3 16 -0.0053025000000000025
185 2 3 17 -0.02294100000000001
186 2 3 18 -0.0052840000000000005
187 2 3 19 -0.013083000000000006
188 2 3 20 -0.017742500000000008
189 2 4 5 -0.009181500000000006
190 2 4 6 -0.01782695000000001
191 2 4 7 -0.014189650000000005
192 2 4 8 -8.364999999999973e-5
193 2 4 9 -0.015702350000000007
194 2 4 10 -0.018107500000000006
195 2 4 11 -0.021378000000000008
196 2 4 12 -0.010513000000000005
197 2 4 13 -0.02559400000000001
198 2 4 14 -0.008667500000000005
199 2 4 15 -0.01575200000000001
200 2 4 16 -0.012974500000000009
201 2 4 17 -0.012205500000000005
202 2 4 18 -0.010776500000000005
203 2 4 19 -0.015225500000000006
204 2 4 20 -0.02285200000000001
205 2 5 6 -0.012624450000000006
206 2 5 7 -0.0037433500000000025
207 2 5 8 -0.010587500000000005
208 2 5 9 -0.010106400000000005
209 2 5 10 -0.0045287500000000015
210 2 5 11 0.012251300000000005
211 2 5 12 -0.0036020000000000015
212 2 5 13 -0.002992650000000002
213 2 5 14 0.00921945
214 2 5 15 -0.006041250000000004
215 2 5 16 -0.0025945000000000018
216 2 5 17 0.0015611900000000005
217 2 5 18 -0.010974000000000005
218 2 5 19 -0.006135500000000002
219 2 5 20 -0.02176400000000001
220 2 6 7 0.008140800000000004
221 2 6 8 0.02153535000000001
222 2 6 9 0.004856950000000001
223 2 6 10 0.013671450000000005
224 2 6 11 0.013055950000000004
225 2 6 12 0.01698345000000001
226 2 6 13 0.016432780000000004
227 2 6 14 0.018991950000000007
228 2 6 15 0.016327850000000005
229 2 6 16 0.02545195000000001
230 2 6 17 0.015116450000000007
231 2 6 18 0.00040645000000000004
232 2 6 19 0.010233950000000006
233 2 6 20 0.007727450000000004
234 2 7 8 -0.008348
235 2 7 9 -0.012288500000000004
236 2 7 10 0.008700400000000004
237 2 7 11 0.018827150000000008
238 2 7 12 0.013573250000000005
239 2 7 13 -0.010118500000000002
240 2 7 14 -0.0047850000000000045
241 2 7 15 -0.015186000000000005
242 2 7 16 -0.014485000000000003
243 2 7 17 0.0026730000000000018
244 2 7 18 0.004521500000000002
245 2 7 19 -0.009187500000000001
246 2 7 20 -0.004884500000000001
247 2 8 9 -0.009163350000000004
248 2 8 10 0.002792250000000001
249 2 8 11 0.002702
250 2 8 12 0.0006859999999999993
251 2 8 13 -0.013581500000000007
252 2 8 14 0.005140499999999998
253 2 8 15 -0.003882800000000003
254 2 8 16 -0.008604500000000005
255 2 8 17 -0.017114000000000008
256 2 8 18 -0.004327500000000002
257 2 8 19 -0.017985000000000008
258 2 8 20 -0.0024488700000000014
259 2 9 10 0.008295200000000004
260 2 9 11 0.004743000000000002
261 2 9 12 0.02079850000000001
262 2 9 13 -0.009454000000000004
263 2 9 14 0.018830900000000005
264 2 9 15 -0.010411500000000004
265 2 9 16 0.0059295000000000025
266 2 9 17 -0.006787000000000003
267 2 9 18 -0.004344000000000001
268 2 9 19 -0.0059900000000000005
269 2 9 20 -0.003136
270 2 10 11 0.007315000000000002
271 2 10 12 0.014271500000000005
272 2 10 13 0.0033005
273 2 10 14 0.003452999999999998
274 2 10 15 -0.01813650000000001
275 2 10 16 -0.0028345000000000032
276 2 10 17 -0.009200500000000004
277 2 10 18 -0.008741500000000003
278 2 10 19 -0.006911000000000002
279 2 10 20 -0.007839600000000004
280 2 11 12 -0.006081300000000002
281 2 11 13 -0.022788000000000013
282 2 11 14 -0.0034571500000000043
283 2 11 15 -0.013176950000000007
284 2 11 16 -0.011409900000000006
285 2 11 17 -0.009324700000000003
286 2 11 18 -0.01983150000000001
287 2 11 19 -0.022662500000000006
288 2 11 20 -0.016332805000000006
289 2 12 13 -0.02069550000000001
290 2 12 14 0.012025000000000001
291 2 12 15 -0.02239000000000001
292 2 12 16 0.007070500000000002
293 2 12 17 -0.017922500000000004
294 2 12 18 0.0017523500000000004
295 2 12 19 0.005486000000000001
296 2 12 20 -0.01698100000000001
297 2 13 14 0.019449450000000007
298 2 13 15 0.006675000000000003
299 2 13 16 0.015683500000000006
300 2 13 17 -0.0035405000000000002
301 2 13 18 0.012187500000000006
302 2 13 19 0.0031898500000000023
303 2 13 20 -0.0031614500000000005
304 2 14 15 -0.010062250000000002
305 2 14 16 -0.015797500000000006
306 2 14 17 -0.004331999999999999
307 2 14 18 -0.00781355
308 2 14 19 -0.018405800000000003
309 2 14 20 -0.007468
310 2 15 16 -0.0019360000000000009
311 2 15 17 0.008843500000000006
312 2 15 18 -0.005137000000000001
313 2 15 19 -0.008415000000000002
314 2 15 20 -0.00404425
315 2 16 17 -0.0013102999999999993
316 2 16 18 0.002724050000000002
317 2 16 19 -0.011757000000000002
318 2 16 20 0.0010760000000000023
319 2 17 18 0.002095440000000001
320 2 17 19 -0.01899500000000001
321 2 17 20 0.0011590000000000007
322 2 18 19 0.003420000000000002
323 2 18 20 -0.007353905000000003
324 2 19 20 0.0010781500000000004
325 3 4 5 0.0015829350000000006
326 3 4 6 0.009695935000000004
327 3 4 7 0.004615285000000001
328 3 4 8 0.029340285000000015
329 3 4 9 0.008356085000000003
330 3 4 10 -0.008152565
331 3 4 11 -0.02079656500000001
332 3 4 12 0.0025514350000000003
333 3 4 13 -0.012689065000000005
334 3 4 14 -0.004866565000000002
335 3 4 15 -0.004622565000000001
336 3 4 16 0.0004549349999999981
337 3 4 17 0.018862435000000007
338 3 4 18 0.0026344349999999996
339 3 4 19 0.0059844350000000015
340 3 4 20 0.0030174349999999997
341 3 5 6 0.004134000000000001
342 3 5 7 0.004297150000000001
343 3 5 8 0.008072000000000003
344 3 5 9 0.0031876000000000014
345 3 5 10 -0.005338250000000002
346 3 5 11 0.0020683000000000003
347 3 5 12 -0.0013020000000000009
348 3 5 13 -0.0008521500000000005
349 3 5 14 0.0022559500000000005
350 3 5 15 -0.0056762500000000025
351 3 5 16 7.049999999999975e-5
352 3 5 17 0.021864690000000006
353 3 5 18 -0.008327500000000005
354 3 5 19 0.0043100000000000005
355 3 5 20 -0.0066590000000000035
356 3 6 7 -0.0005771500000000008
357 3 6 8 0.023436400000000007
358 3 6 9 0.0013925000000000025
359 3 6 10 -0.0038965000000000015
360 3 6 11 -0.013885500000000007
361 3 6 12 0.002525000000000002
362 3 6 13 0.001814830000000001
363 3 6 14 -0.004730000000000001
364 3 6 15 -6.559999999999955e-5
365 3 6 16 0.011358500000000004
366 3 6 17 0.018661500000000008
367 3 6 18 -0.013705500000000006
368 3 6 19 0.003921000000000002
369 3 6 20 0.006074000000000003
370 3 7 8 0.0022710000000000017
371 3 7 9 -0.0070350000000000005
372 3 7 10 -0.00014959999999999946
373 3 7 11 0.0006036500000000003
374 3 7 12 0.007832750000000005
375 3 7 13 -0.016018500000000005
376 3 7 14 -0.019789000000000008
377 3 7 15 -0.022861500000000007
378 3 7 16 -0.019860500000000007
379 3 7 17 0.014936000000000005
380 3 7 18 -0.0008725000000000014
381 3 7 19 -0.006782500000000003
382 3 7 20 0.002180000000000001
383 3 8 9 -0.014528850000000005
384 3 8 10 -0.016676750000000004
385 3 8 11 -0.02614050000000001
386 3 8 12 -0.015673500000000007
387 3 8 13 -0.03010050000000001
388 3 8 14 -0.020482500000000004
389 3 8 15 -0.022177300000000007
390 3 8 16 -0.02459900000000001
391 3 8 17 -0.015470000000000006
392 3 8 18 -0.020340500000000008
393 3 8 19 -0.02619900000000001
394 3 8 20 -0.006003370000000002
395 3 9 10 -0.005808300000000003
396 3 9 11 -0.018734000000000008
397 3 9 12 0.009804500000000002
398 3 9 13 -0.020607500000000008
399 3 9 14 -0.0014266000000000014
400 3 9 15 -0.02334050000000001
401 3 9 16 -0.004699500000000003
402 3 9 17 0.0002224999999999978
403 3 9 18 -0.014991500000000008
404 3 9 19 -0.008838500000000003
405 3 9 20 -0.0013250000000000017
406 3 10 11 -0.0020585000000000013
407 3 10 12 0.017381000000000008
408 3 10 13 0.006250500000000003
409 3 10 14 -0.0027010000000000016
410 3 10 15 -0.01696200000000001
411 3 10 16 0.0006399999999999992
412 3 10 17 0.011912500000000003
413 3 10 18 -0.005285500000000002
414 3 10 19 0.004344000000000001
415 3 10 20 0.008074900000000005
416 3 11 12 0.006401700000000003
417 3 11 13 -0.010464500000000003
418 3 11 14 -0.0002376500000000001
419 3 11 15 -0.0026289500000000006
420 3 11 16 0.0014381000000000003
421 3 11 17 0.02116180000000001
422 3 11 18 -0.007002000000000004
423 3 11 19 -0.0020340000000000007
424 3 11 20 0.008955195000000003
425 3 12 13 -0.02085500000000001
426 3 12 14 0.002761500000000001
427 3 12 15 -0.02432500000000001
428 3 12 16 0.007435500000000003
429 3 12 17 8.100000000000055e-5
430 3 12 18 0.00209885
431 3 12 19 0.013631500000000005
432 3 12 20 -0.004176000000000003
433 3 13 14 0.010345450000000004
434 3 13 15 0.004899500000000003
435 3 13 16 0.016208000000000007
436 3 13 17 0.014622500000000005
437 3 13 18 0.012693500000000003
438 3 13 19 0.011494850000000003
439 3 13 20 0.009803050000000004
440 3 14 15 -0.0027337500000000005
441 3 14 16 -0.0061690000000000035
442 3 14 17 0.02293500000000001
443 3 14 18 0.0017964499999999996
444 3 14 19 -0.0009968000000000008
445 3 14 20 0.014600500000000004
446 3 15 16 0.0003639999999999992
447 3 15 17 0.02878200000000001
448 3 15 18 -0.002855500000000002
449 3 15 19 0.0016654999999999997
450 3 15 20 0.010695750000000002
451 3 16 17 0.016328200000000008
452 3 16 18 0.0027055500000000006
453 3 16 19 -0.003976500000000001
454 3 16 20 0.013516000000000005
