i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.33967330500000004 2 93.0
2 0.054178250000000025 17 79.0
3 0.3133843550000001 3 76.0
4 0.06146314000000004 15 73.0
5 0.05558000000000006 16 61.0
6 0.19136601500000006 7 60.0
7 0.24572415000000006 5 58.0
8 0.15424518500000006 8 55.0
9 0.49637763300000015 1 51.0
10 0.14169876000000006 10 51.0
11 0.2840680670000001 4 49.0
12 0.04662500000000004 18 49.0
13 0.11969345000000005 12 49.0
14 0.0 20 47.0
15 0.10590470000000005 13 46.0
16 0.13404925000000006 11 43.0
17 0.06771880000000005 14 43.0
18 0.14936750000000004 9 29.0
19 0.24410679500000004 6 22.0
20 0.009912645000000081 19 20.0
