t i j k u[t]=u_ijk
1 1 2 3 -0.007204500000000003
2 1 2 4 0.0005808000000000015
3 1 2 5 0.022359000000000004
4 1 2 6 0.014808000000000003
5 1 2 7 -0.0006923999999999987
6 1 2 8 0.029879500000000007
7 1 2 9 -0.0037949999999999993
8 1 2 10 -0.0141335
9 1 2 11 -0.0343738
10 1 2 12 -0.0013547999999999993
11 1 2 13 0.010724000000000003
12 1 2 14 0.005884500000000003
13 1 2 15 -0.0016541500000000003
14 1 2 16 -0.02298275
15 1 2 17 -0.006986050000000001
16 1 2 18 -0.0021401999999999997
17 1 2 19 -0.009650345
18 1 2 20 -0.0019332499999999999
19 1 3 4 0.02116435000000001
20 1 3 5 0.020487000000000005
21 1 3 6 -0.002303
22 1 3 7 -0.0063369
23 1 3 8 0.03234650000000001
24 1 3 9 -0.0016584999999999992
25 1 3 10 0.019020950000000002
26 1 3 11 0.006642750000000001
27 1 3 12 0.004597499999999999
28 1 3 13 0.008364000000000002
29 1 3 14 0.035071000000000005
30 1 3 15 0.008482000000000002
31 1 3 16 -0.015276300000000001
32 1 3 17 0.021421900000000004
33 1 3 18 0.010846000000000001
34 1 3 19 -0.011509345
35 1 3 20 0.025674545000000007
36 1 4 5 0.00768425
37 1 4 6 -0.0020997500000000014
38 1 4 7 0.0025960999999999988
39 1 4 8 0.0033640000000000007
40 1 4 9 -0.022552500000000003
41 1 4 10 -0.004128890000000001
42 1 4 11 -0.004796800000000002
43 1 4 12 0.006851199999999999
44 1 4 13 -0.010599050000000002
45 1 4 14 0.030003500000000006
46 1 4 15 0.004563499999999999
47 1 4 16 -0.00010479999999999935
48 1 4 17 -0.003963400000000001
49 1 4 18 -0.010985200000000002
50 1 4 19 -0.00019384500000000087
51 1 4 20 0.011947000000000001
52 1 5 6 0.006610500000000001
53 1 5 7 0.0007585999999999984
54 1 5 8 0.018916000000000002
55 1 5 9 -0.025013000000000004
56 1 5 10 -0.0351665
57 1 5 11 -0.004396800000000001
58 1 5 12 0.0010411499999999996
59 1 5 13 -0.00021650000000000147
60 1 5 14 0.003611499999999999
61 1 5 15 0.004690999999999999
62 1 5 16 -0.011414800000000001
63 1 5 17 -0.009020050000000002
64 1 5 18 -0.008416700000000001
65 1 5 19 -0.007120845000000001
66 1 5 20 -0.01822
67 1 6 7 0.0032951000000000013
68 1 6 8 0.021994735000000005
69 1 6 9 -0.021478500000000005
70 1 6 10 0.0010818000000000002
71 1 6 11 0.0003411999999999999
72 1 6 12 -0.025075499999999997
