i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.3904907350000001 2 93.0
2 0.1060368 15 79.0
3 0.4275961500000001 1 76.0
4 0.24180725850000007 6 73.0
5 0.3054646000000001 3 61.0
6 0.26372723575000007 5 60.0
7 0.24046375000000006 7 58.0
8 0.0 20 55.0
9 0.17572705575000003 9 51.0
10 0.10345537 16 51.0
11 0.22718064300000004 8 49.0
12 0.14554255 11 49.0
13 0.28768885000000005 4 49.0
14 0.021805712000000033 19 47.0
15 0.05870592499999999 17 46.0
16 0.14138916 12 43.0
17 0.11259654500000002 14 43.0
18 0.12235165000000002 13 29.0
19 0.17357551000000002 10 22.0
20 0.02843949999999998 18 20.0
