i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.1653974 11 93.0
2 0.015261999999999998 18 79.0
3 0.5259854500000001 1 76.0
4 0.13653500000000002 12 73.0
5 0.0 20 61.0
6 0.105005 15 60.0
7 0.17839775000000002 10 58.0
8 0.09761910000000001 17 55.0
9 0.47309940000000006 2 51.0
10 0.21869110000000003 8 51.0
11 0.36762335 3 49.0
12 0.2786118 5 49.0
13 0.25305655000000005 6 49.0
14 0.011383749999999998 19 47.0
15 0.10740125000000002 14 46.0
16 0.30266315000000005 4 43.0
17 0.21899190000000004 7 43.0
18 0.20936000000000002 9 29.0
19 0.13201065000000003 13 22.0
20 0.09917040000000002 16 20.0
