l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.45255 -0.36377245 -0.08877754999999998 0.0
2 1 3 0.013681 -0.05433435000000003 0.06801534999999999 4.163336342344337e-17
3 2 3 0.32531 0.30943809999999994 0.015871899999999984 5.551115123125783e-17
4 1 4 -0.37435 -0.38549669999999997 0.011146699999999983 -5.551115123125783e-17
5 2 4 -0.07229 -0.02172424999999996 -0.05056574999999998 -5.551115123125783e-17
6 3 4 -0.21683 -0.33116234999999994 0.11433234999999997 0.0
7 1 5 -0.34314 -0.3509524075 0.007812407500000008 0.0
8 2 5 0.17415 0.012820042500000017 0.16132995749999998 0.0
9 3 5 -0.30542 -0.2966180574999999 -0.008801942500000017 -1.1102230246251565e-16
10 4 5 -0.049754 0.034544292499999976 -0.0842982925 2.0816681711721685e-17
11 1 6 -0.44547 -0.29246964999999997 -0.15300034999999995 -5.551115123125783e-17
12 2 6 0.20965 0.07130280000000003 0.13834719999999998 0.0
13 3 6 -0.19161 -0.23813529999999994 0.046525299999999985 -5.551115123125783e-17
14 4 6 0.13096 0.09302704999999999 0.037932949999999986 1.3877787807814457e-17
15 5 6 0.011214 0.05848275750000001 -0.04726875749999999 -2.0816681711721685e-17
16 1 7 -0.18686 -0.21208975999999996 0.025229759999999993 -2.7755575615628914e-17
17 2 7 0.31199 0.15168269 0.16030730999999998 0.0
18 3 7 -0.32519 -0.15775540999999993 -0.16743459 -5.551115123125783e-17
19 4 7 0.24903 0.17340693999999998 0.07562306000000002 0.0
20 5 7 0.35343 0.1388626475 0.21456735249999995 8.326672684688674e-17
21 6 7 0.18922 0.08037989 0.10884010999999998 2.7755575615628914e-17
22 1 8 -0.59335 -0.473871 -0.119479 -5.551115123125783e-17
23 2 8 -0.016109 -0.11009854999999999 0.09398954999999999 0.0
24 3 8 -0.42718 -0.41953664999999996 -0.007643350000000004 -5.551115123125783e-17
25 4 8 -0.25153 -0.08837430000000003 -0.16315569999999993 -1.3877787807814457e-17
26 5 8 -0.073739 -0.1229185925 0.049179592499999994 1.3877787807814457e-17
27 6 8 -0.3561 -0.18140135000000002 -0.17469864999999996 -5.551115123125783e-17
28 7 8 -0.23831 -0.26178124 0.02347124000000001 0.0
29 1 9 0.20236 -0.052286192499999995 0.2546461924999999 8.326672684688674e-17
30 2 9 0.50016 0.31148625750000003 0.1886737425 0.0
31 3 9 0.044919 0.0020481575000000363 0.042870842499999985 -2.0816681711721685e-17
32 4 9 -0.015273 0.3332105075 -0.34848350749999996 0.0
33 5 9 -0.00048085 0.298666215 -0.29914706499999993 -5.551115123125783e-17
34 6 9 0.10618 0.24018345749999997 -0.13400345749999995 -2.7755575615628914e-17
35 7 9 -0.10996 0.15980356749999997 -0.2697635674999999 -5.551115123125783e-17
36 8 9 0.41943 0.4215848075 -0.002154807499999977 0.0
37 1 10 -0.36608 -0.39580084499999996 0.029720844999999982 -5.551115123125783e-17
38 2 10 -0.19102 -0.03202839499999997 -0.15899160499999992 -9.71445146547012e-17
39 3 10 -0.34466 -0.3414664949999999 -0.003193505000000022 -5.551115123125783e-17
40 4 10 0.037985 -0.010304145000000015 0.048289144999999985 2.7755575615628914e-17
41 5 10 -0.088175 -0.04484843749999999 -0.04332656249999999 -2.0816681711721685e-17
42 6 10 0.11087 -0.103331195 0.21420119499999998 1.3877787807814457e-17
43 7 10 -0.027632 -0.183711085 0.15607908499999998 2.7755575615628914e-17
44 8 10 -0.028499 0.07807015500000002 -0.10656915499999996 -5.551115123125783e-17
45 9 10 -0.10833 -0.34351465249999996 0.23518465249999995 0.0
46 1 11 -0.10288 -0.24456614 0.14168613999999996 2.7755575615628914e-17
47 2 11 -0.12539 0.11920631000000002 -0.24459630999999993 -9.71445146547012e-17
48 3 11 -0.13591 -0.19023178999999996 0.05432178999999998 -2.7755575615628914e-17
49 4 11 0.20126 0.14093055999999998 0.06032943999999998 2.7755575615628914e-17
50 5 11 0.34386 0.1063862675 0.2374737324999999 9.71445146547012e-17
51 6 11 0.27849 0.047903509999999996 0.23058648999999992 9.71445146547012e-17
52 7 11 0.0060472 -0.03247638 0.03852357999999999 1.3877787807814457e-17
53 8 11 0.1345 0.22930486 -0.09480485999999996 -2.7755575615628914e-17
54 9 11 -0.4623 -0.1922799475 -0.27002005249999994 -5.551115123125783e-17
55 10 11 -0.22984 0.151234705 -0.38107470499999996 -2.7755575615628914e-17
56 1 12 -0.51751 -0.40021809999999997 -0.11729189999999995 -1.1102230246251565e-16
57 2 12 -0.048733 -0.036445649999999954 -0.012287349999999992 -5.551115123125783e-17
58 3 12 -0.43567 -0.34588374999999993 -0.08978624999999998 -1.1102230246251565e-16
59 4 12 0.14201 -0.014721399999999996 0.15673139999999997 2.7755575615628914e-17
60 5 12 0.019803 -0.04926569249999997 0.06906869250000001 -4.163336342344337e-17
61 6 12 -0.41005 -0.10774844999999998 -0.3023015499999999 -1.249000902703301e-16
62 7 12 0.11248 -0.18812833999999998 0.3006083399999999 5.551115123125783e-17
63 8 12 0.050491 0.07365290000000004 -0.02316189999999998 -5.551115123125783e-17
64 9 12 -0.2337 -0.34793190749999997 0.1142319075 0.0
65 10 12 -0.35432 -0.004417254999999981 -0.3499027449999999 -1.3877787807814457e-16
66 11 12 -0.088531 -0.15565195999999998 0.06712096 0.0
67 1 13 -0.19269 -0.288732 0.09604199999999997 0.0
68 2 13 0.14953 0.07504045000000004 0.07448954999999997 -1.3877787807814457e-17
69 3 13 -0.17597 -0.23439764999999993 0.05842765 -5.551115123125783e-17
70 4 13 -0.005403 0.09676469999999998 -0.10216770000000001 2.7755575615628914e-17
71 5 13 0.31551 0.06222040750000001 0.25328959249999994 6.245004513516506e-17
72 6 13 0.12973 0.0037376500000000056 0.12599234999999998 3.122502256758253e-17
73 7 13 -0.20672 -0.07664224 -0.13007775999999996 -2.7755575615628914e-17
74 8 13 0.11124 0.18513900000000003 -0.07389899999999998 -2.7755575615628914e-17
75 9 13 -0.42955 -0.23644580749999997 -0.1931041925 -2.7755575615628914e-17
76 10 13 0.21755 0.107068845 0.11048115499999994 5.551115123125783e-17
77 11 13 -0.016705 -0.044165859999999994 0.02746085999999999 6.938893903907228e-18
78 12 13 0.25823 0.11148609999999998 0.14674389999999995 8.326672684688674e-17
79 1 14 -0.82822 -0.5073118 -0.32090819999999987 -1.1102230246251565e-16
80 2 14 -0.31736 -0.14353934999999995 -0.17382065 -2.7755575615628914e-17
81 3 14 -0.39391 -0.4529774499999999 0.059067449999999994 -1.1102230246251565e-16
82 4 14 -0.07613 -0.1218151 0.04568509999999999 0.0
83 5 14 -0.41875 -0.15635939249999997 -0.2623906075 -5.551115123125783e-17
84 6 14 0.022954 -0.21484214999999998 0.23779614999999998 0.0
85 7 14 -0.072493 -0.29522203999999996 0.2227290399999999 5.551115123125783e-17
86 8 14 0.042161 -0.033440799999999965 0.0756018 -3.469446951953614e-17
87 9 14 -0.37697 -0.4550256075 0.07805560749999998 0.0
88 10 14 0.11433 -0.11151095499999998 0.22584095499999987 1.1102230246251565e-16
89 11 14 -0.2216 -0.26274566 0.04114566000000001 0.0
90 12 14 -0.11622 -0.1070937 -0.0091263 0.0
91 13 14 -0.42598 -0.2185798 -0.20740019999999998 -5.551115123125783e-17
92 1 15 -0.47291 -0.41903034999999994 -0.05387964999999999 -5.551115123125783e-17
93 2 15 -0.038468 -0.05525789999999996 0.016789899999999996 -4.163336342344337e-17
94 3 15 -0.44755 -0.3646959999999999 -0.08285399999999997 -1.1102230246251565e-16
95 4 15 -0.043276 -0.03353365 -0.009742350000000004 0.0
96 5 15 -0.029978 -0.06807794249999997 0.038099942499999984 -1.3877787807814457e-17
97 6 15 -0.25778 -0.12656069999999997 -0.1312193 -2.7755575615628914e-17
98 7 15 -0.27818 -0.20694058999999998 -0.07123940999999999 0.0
99 8 15 0.031566 0.05484065000000003 -0.023274649999999987 -4.85722573273506e-17
100 9 15 -0.683 -0.36674415749999995 -0.3162558424999999 -2.220446049250313e-16
101 10 15 0.21108 -0.023229504999999984 0.23430950499999995 2.7755575615628914e-17
102 11 15 -0.15209 -0.17446420999999998 0.02237421000000001 -2.7755575615628914e-17
103 12 15 -0.38948 -0.018812250000000003 -0.37066774999999996 -2.7755575615628914e-17
104 13 15 -0.094965 -0.13029834999999998 0.035333350000000034 -5.551115123125783e-17
105 14 15 0.15887 0.08828145 0.07058855000000001 0.0
106 1 16 -0.13419 -0.31906935 0.18487934999999997 0.0
107 2 16 -0.11477 0.04470310000000003 -0.15947309999999992 -1.0408340855860843e-16
108 3 16 -0.4871 -0.26473499999999994 -0.22236499999999995 -1.1102230246251565e-16
109 4 16 0.069111 0.06642735 0.0026836500000000114 0.0
110 5 16 0.10049 0.03188305750000001 0.06860694249999998 6.938893903907228e-18
111 6 16 0.079171 -0.02659969999999999 0.10577069999999997 2.7755575615628914e-17
112 7 16 0.042825 -0.10697958999999999 0.14980459000000002 -2.7755575615628914e-17
113 8 16 -0.069676 0.15480165 -0.22447764999999995 -5.551115123125783e-17
114 9 16 -0.49841 -0.2667831575 -0.23162684249999999 -5.551115123125783e-17
115 10 16 -0.037541 0.07673149500000001 -0.11427249499999995 -5.551115123125783e-17
116 11 16 -0.034563 -0.07450320999999999 0.03994020999999998 0.0
117 12 16 0.2921 0.08114874999999999 0.21095124999999998 5.551115123125783e-17
118 13 16 0.16024 -0.030337349999999996 0.19057734999999998 1.0408340855860843e-17
119 14 16 0.29353 0.18824244999999998 0.10528755000000001 2.7755575615628914e-17
