i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.49906699 1 93.0
2 0.15219589 14 79.0
3 0.45541479500000004 2 76.0
4 0.18731821 12 73.0
5 0.19715309000000003 11 61.0
6 0.29255565 8 60.0
7 0.31551958999999996 7 58.0
8 0.024949900000000053 19 55.0
9 0.38899939000000006 3 51.0
10 0.18151441000000001 13 51.0
11 0.332237855 5 49.0
12 0.12744269 15 49.0
13 0.333020125 4 49.0
14 0.0 20 47.0
15 0.10170598500000004 16 46.0
16 0.22661749 9 43.0
17 0.081995275 17 43.0
18 0.20063614 10 29.0
19 0.32450038 6 22.0
20 0.06968294500000002 18 20.0
