n1,n2,weight
1,2,-1.4384e-01
1,3,1.4864e+00
1,4,2.8589e+00
1,5,-9.7554e-01
1,6,1.6042e+00
1,7,2.1312e+00
1,8,7.0688e-01
1,9,-1.0220e+00
1,10,-1.7416e+00
1,11,9.4847e-01
1,12,-1.0220e+00
1,13,-2.9374e+00
1,14,2.0673e+00
1,15,-2.3024e+00
1,16,-1.9806e+00
1,17,-1.6678e+00
1,18,-8.4295e-01
1,19,-2.8446e-01
1,20,-1.7343e-01
2,1,-4.7226e-01
2,3,1.0229e+00
2,4,-8.2205e-02
2,5,-1.4549e+00
2,6,2.9907e-01
2,7,-1.0699e+00
2,8,-2.3355e+00
2,9,-1.7037e+00
2,10,1.2475e+00
2,11,1.1842e+00
2,12,-7.9245e-01
2,13,-3.8918e-01
2,14,-7.3729e-01
2,15,-2.1579e-01
2,16,1.2828e+00
2,17,-8.1959e-01
2,18,3.3040e-01
2,19,-3.8996e-01
2,20,-4.9245e-01
3,1,1.3753e+00
3,2,-7.0568e-01
3,4,1.1647e+00
3,5,1.1934e-02
3,6,4.9350e-01
3,7,2.0464e+00
3,8,6.2652e-01
3,9,4.8025e-01
3,10,-2.2529e-02
3,11,3.5872e-01
3,12,-6.5461e-01
3,13,-1.4746e+00
3,14,-9.9975e-01
3,15,-1.6847e-01
3,16,4.7608e-01
3,17,1.5337e+00
3,18,3.1286e-01
3,19,-2.1225e+00
3,20,-2.4116e+00
4,1,3.1115e-01
4,2,-3.3287e-01
4,3,-5.5599e-03
4,5,4.2510e-01
4,6,-6.3875e-01
4,7,1.5702e+00
4,8,-4.8216e-01
4,9,1.1589e+00
4,10,-1.3006e+00
4,11,-6.1451e-01
4,12,-4.7547e-01
4,13,-6.6363e-01
4,14,-4.2500e-02
4,15,-3.6168e-01
4,16,-1.4962e+00
4,17,1.3627e-01
4,18,4.0614e-01
4,19,-6.2109e-01
4,20,-5.5676e-01
5,1,4.0929e+00
5,2,9.9899e-01
5,3,1.7783e+00
5,4,2.8880e+00
5,6,2.1829e+00
5,7,3.2742e+00
5,8,2.4810e+00
5,9,5.0731e-01
5,10,1.9037e+00
5,11,1.9739e+00
5,12,3.4660e+00
5,13,6.2985e-01
5,14,1.9863e+00
5,15,3.8225e-01
5,16,-4.3745e-01
5,17,-1.8696e-01
5,18,1.4551e+00
5,19,1.8869e+00
5,20,1.4337e+00
6,1,2.3487e+00
6,2,-8.4903e-01
6,3,8.8943e-01
6,4,1.3090e+00
6,5,-8.6197e-01
6,7,-2.9020e-03
6,8,2.4259e-01
6,9,-2.3634e-01
6,10,7.8801e-01
6,11,2.9444e+00
6,12,2.1249e+00
6,13,-4.9675e-01
6,14,-9.4643e-01
6,15,-7.2940e-01
6,16,2.4278e+00
6,17,-3.9818e-02
6,18,8.9307e-01
6,19,-1.9194e+00
6,20,1.2815e+00
7,1,-7.4769e-01
7,2,-1.4612e+00
7,3,-8.4193e-01
7,4,-2.1609e+00
7,5,-2.0316e+00
7,6,-1.6165e+00
7,8,-2.0987e+00
7,9,-1.8005e+00
7,10,-2.6035e+00
7,11,-2.1772e+00
7,12,-1.9612e+00
7,13,-1.9545e+00
7,14,-2.3754e+00
7,15,-8.4863e-01
7,16,-2.8780e+00
7,17,-2.6578e+00
7,18,-2.4334e+00
7,19,-1.9753e+00
7,20,-2.2714e+00
8,1,-7.2669e-01
8,2,1.5560e+00
8,3,8.3388e-01
8,4,-3.3537e+00
8,5,5.1282e-02
8,6,-1.6093e+00
8,7,-1.6592e+00
8,9,-1.1667e+00
8,10,-1.0152e+00
8,11,-1.9667e+00
8,12,-2.6405e-02
8,13,-4.2099e-01
8,14,-1.6646e+00
8,15,1.1754e-01
8,16,-7.0465e-01
8,17,-1.2276e+00
8,18,1.7864e-01
8,19,6.8650e-01
8,20,-1.2772e+00
9,1,3.5719e-02
9,2,-1.2875e+00
9,3,-8.1752e-01
9,4,-2.5437e+00
9,5,5.4230e-02
9,6,-1.7146e+00
9,7,-8.4340e-01
9,8,-5.7254e-02
9,10,4.9548e-01
9,11,9.1697e-01
9,12,-6.4643e-01
9,13,-1.0632e+00
9,14,-4.2860e-01
9,15,-7.9494e-01
9,16,-1.6132e-01
9,17,-1.6918e+00
9,18,-8.2993e-01
9,19,-1.2940e+00
9,20,-1.7961e+00
10,1,-3.2323e+00
10,2,-5.2119e-01
10,3,-1.5478e+00
10,4,-2.1683e-01
10,5,-2.6010e-01
10,6,-2.2376e+00
10,7,1.7722e-01
10,8,-5.5101e-01
10,9,-1.7606e+00
10,11,1.3040e+00
10,12,-1.5874e+00
10,13,-2.9646e+00
10,14,2.4019e+00
10,15,-9.9296e-01
10,16,-6.8858e-01
10,17,-1.7612e+00
10,18,-7.6109e-02
10,19,-1.3790e+00
10,20,-1.8701e+00
11,1,-2.5804e+00
11,2,-1.7186e+00
11,3,-2.6697e+00
11,4,-1.8620e+00
11,5,-2.0833e+00
11,6,-1.5160e+00
11,7,-1.8113e+00
11,8,-1.6505e+00
11,9,-2.4280e+00
11,10,-2.6805e+00
11,12,-1.4464e-01
11,13,-8.0709e-01
11,14,-5.1603e-01
11,15,-1.8152e+00
11,16,-1.2335e+00
11,17,-2.8033e+00
11,18,-6.5400e-02
11,19,-1.3161e+00
11,20,-1.1434e+00
12,1,3.2197e-01
12,2,1.3165e+00
12,3,-7.1632e-01
12,4,3.7698e+00
12,5,2.2238e+00
12,6,8.8921e-01
12,7,6.2694e-01
12,8,-1.2859e+00
12,9,-2.4827e+00
12,10,2.3686e-02
12,11,-7.5319e-01
12,13,-2.4156e-01
12,14,1.2497e+00
12,15,-5.1836e-01
12,16,-3.3404e-01
12,17,4.2663e-01
12,18,1.1846e+00
12,19,-2.1349e-01
12,20,6.6529e-01
13,1,-1.0153e+00
13,2,-1.5649e-01
13,3,-4.1423e-01
13,4,-7.2676e-01
13,5,-2.5412e+00
13,6,-8.4559e-01
13,7,-3.2335e+00
13,8,-7.8504e-01
13,9,-2.4967e+00
13,10,1.7253e-01
13,11,-1.6629e+00
13,12,-2.1779e+00
