n1,n2,weight
1,2,1.4887e+00
1,3,-9.6147e-01
1,4,3.4660e+00
1,5,4.4122e+00
1,6,1.2515e+00
1,7,1.8552e+00
1,8,2.6631e+00
1,9,2.4861e+00
1,10,4.1433e+00
1,11,2.6987e+00
1,12,4.7114e+00
1,13,3.8356e+00
1,14,2.7885e+00
1,15,4.7649e+00
1,16,3.7651e+00
1,17,3.1668e+00
1,18,4.3087e+00
1,19,4.1210e+00
1,20,3.3917e+00
2,1,-2.3831e+00
2,3,-1.6607e+00
2,4,-2.3944e+00
2,5,-5.4522e-01
2,6,-8.2029e-01
2,7,1.6755e+00
2,8,8.0419e-01
2,9,5.1156e-01
2,10,4.9047e-01
2,11,1.9018e+00
2,12,1.3128e+00
2,13,3.1833e-01
2,14,-6.3154e-01
2,15,1.4287e+00
2,16,4.5235e+00
2,17,-1.3555e-01
2,18,1.2250e+00
2,19,3.0038e+00
2,20,2.5347e+00
3,1,-4.6490e-01
3,2,-2.8557e-01
3,4,-1.4666e-01
3,5,1.3517e+00
3,6,1.6914e+00
3,7,7.1540e-01
3,8,5.4005e-02
3,9,7.3345e-01
3,10,2.3947e+00
3,11,1.6838e+00
3,12,1.2723e+00
3,13,2.8332e+00
3,14,3.0933e-01
3,15,3.0159e+00
3,16,3.3822e+00
3,17,-3.0722e-01
3,18,1.7062e+00
3,19,3.9440e+00
3,20,3.0740e+00
4,1,-1.2905e+00
4,2,2.7367e+00
4,3,1.5692e-01
4,5,3.1694e+00
4,6,6.0497e-02
4,7,1.0593e+00
4,8,3.2322e+00
4,9,-5.4638e-01
4,10,4.4474e+00
4,11,3.7959e+00
4,12,2.5330e+00
4,13,1.6009e+00
4,14,7.6702e-01
4,15,2.7995e+00
4,16,5.5063e+00
4,17,-4.2147e-01
4,18,2.8653e+00
4,19,3.1482e+00
4,20,4.5036e+00
5,1,-2.1644e+00
5,2,4.3435e-01
5,3,-1.2504e+00
5,4,-1.0194e+00
5,6,-7.4630e-01
5,7,4.3488e-02
5,8,9.6890e-01
5,9,-4.3543e-01
5,10,2.3548e+00
5,11,3.1136e-01
5,12,7.8300e-01
5,13,3.1834e+00
5,14,-3.9397e-01
5,15,1.8927e+00
5,16,4.9391e+00
5,17,6.9794e-01
5,18,1.8065e+00
5,19,9.7824e-01
5,20,1.5567e+00
6,1,4.9139e-01
6,2,2.1363e+00
6,3,-2.2203e-01
6,4,1.0373e+00
6,5,2.6568e+00
6,7,1.8620e+00
6,8,1.5649e+00
6,9,9.9411e-01
6,10,3.1099e+00
6,11,5.0051e-01
6,12,4.2312e-01
6,13,6.1608e-01
6,14,1.5426e+00
6,15,1.5582e+00
6,16,2.1339e+00
6,17,1.4061e+00
6,18,2.6965e+00
6,19,2.3200e+00
6,20,1.3449e+00
7,1,-2.6479e+00
7,2,-1.4669e+00
7,3,-2.6560e+00
7,4,-1.3605e+00
7,5,1.1833e-01
7,6,-3.6130e-01
7,8,-1.5352e+00
7,9,-2.0345e+00
7,10,-2.3578e-01
7,11,-1.3252e+00
7,12,-7.9995e-01
7,13,3.4814e-01
7,14,-1.8574e+00
7,15,-1.1155e+00
7,16,-9.2855e-01
7,17,-5.8523e-01
7,18,-8.7981e-01
7,19,-1.3168e+00
7,20,1.4747e+00
8,1,-2.5348e+00
8,2,9.3032e-02
8,3,-1.2414e+00
8,4,-3.6186e+00
8,5,-7.1057e-01
8,6,-2.2413e+00
8,7,-6.1343e-01
8,9,-1.2370e+00
8,10,7.8921e-01
8,11,-2.3174e+00
8,12,-4.6350e-01
8,13,-1.3560e-01
8,14,-2.7301e+00
8,15,-1.7299e+00
8,16,-9.5141e-01
8,17,-1.0477e+00
8,18,-6.9715e-01
8,19,-9.1102e-01
8,20,-1.8337e+00
9,1,-2.2541e+00
9,2,-1.5327e+00
9,3,-2.3016e+00
9,4,-1.7665e+00
9,5,-1.8424e+00
9,6,-2.6541e+00
9,7,-3.3070e-01
9,8,-1.0625e+00
9,10,9.8355e-01
9,11,-1.4376e-01
9,12,-2.3100e+00
9,13,6.8577e-01
9,14,-2.1688e+00
9,15,-3.5407e-03
9,16,-6.0497e-01
9,17,-5.1214e-01
9,18,-8.7962e-01
9,19,1.6960e+00
9,20,4.3305e-01
10,1,-3.3833e+00
10,2,-1.6226e+00
10,3,-2.9318e+00
10,4,-2.7220e+00
10,5,-1.3425e+00
10,6,-2.6447e+00
10,7,-4.1073e-01
10,8,-2.1803e-01
10,9,-2.4416e+00
10,11,-6.1452e-01
10,12,-1.4640e+00
10,13,-3.2122e+00
10,14,-2.9276e-01
10,15,-8.2660e-01
10,16,1.2150e+00
10,17,-2.6488e+00
10,18,-2.0903e+00
10,19,-1.9704e+00
10,20,2.2105e+00
11,1,-2.8038e+00
11,2,-1.1792e+00
11,3,-2.8267e+00
11,4,-2.1815e+00
11,5,-6.6831e-01
11,6,-4.7161e-01
11,7,-1.8011e+00
11,8,-6.0284e-01
11,9,-1.2319e+00
11,10,-1.1722e+00
11,12,-2.0279e+00
11,13,-8.3163e-02
11,14,-1.4864e+00
11,15,-1.6334e+00
11,16,-1.9620e+00
11,17,-1.4742e+00
11,18,-4.1776e-01
11,19,3.9690e-01
11,20,5.5484e-01
12,1,-3.4367e+00
12,2,-5.5961e-01
12,3,-3.0185e+00
12,4,-8.6691e-01
12,5,-1.4884e+00
12,6,-2.2333e+00
12,7,1.4331e+00
12,8,-1.5140e+00
12,9,-2.2695e-01
12,10,-3.2050e-02
12,11,1.1360e+00
12,13,-8.9331e-01
12,14,-8.9983e-01
12,15,5.6754e-01
12,16,-3.5668e+00
12,17,4.0543e-01
12,18,-1.4666e+00
12,19,-1.5968e+00
12,20,2.0052e+00
13,1,-2.4730e+00
13,2,-1.6673e-01
13,3,-2.2914e+00
13,4,-1.7586e+00
13,5,-1.5194e+00
13,6,-2.0383e+00
13,7,-1.0246e+00
13,8,-1.7575e-01
13,9,-1.4448e+00
13,10,1.1468e+00
13,11,-2.0709e+00
13,12,-1.4906e-01
13,14,-1.2812e+00
13,15,1.1849e+00
13,16,-2.2752e+00
13,17,-1.8093e+00
13,18,-3.6022e-01
13,19,9.6068e-01
13,20,1.7773e+00
14,1,-1.9974e+00
14,2,7.7863e-01
14,3,-7.2216e-01
14,4,-1.8389e+00
14,5,-4.6864e-01
14,6,-3.7468e-01
14,7,-2.7801e+00
14,8,-1.3168e+00
14,9,-1.1717e+00
14,10,-1.9595e+00
14,11,-2.1545e+00
14,12,-1.1534e+00
14,13,-4.4147e-01
14,15,-1.3626e+00
14,16,-8.5844e-01
14,17,-2.0302e+00
14,18,-3.0583e-01
14,19,-5.1164e-01
14,20,2.2169e-02
15,1,-2.4762e+00
15,2,-7.0058e-01
15,3,-3.4492e+00
15,4,-1.6985e+00
15,5,-6.9915e-01
15,6,-1.8564e+00
15,7,-1.0906e+00
15,8,-2.2750e+00
15,9,-2.4458e-01
15,10,3.3976e-01
15,11,-1.0974e+00
15,12,-1.5054e+00
15,13,1.2231e-01
15,14,-9.9227e-01
15,16,-1.1596e+00
15,17,-9.7448e-01
15,18,-2.7857e-01
15,19,-2.1218e+00
15,20,-8.7135e-01
16,1,-3.9645e+00
16,2,-2.0834e+00
16,3,-2.5495e+00
16,4,-1.8936e+00
16,5,-1.8747e+00
16,6,-1.9069e+00
16,7,-1.1568e+00
16,8,-8.9412e-01
16,9,4.9947e-01
16,10,-1.4521e+00
16,11,-5.2534e-01
16,12,-5.1749e-01
16,13,-6.6297e-02
16,14,-1.7836e+00
16,15,-1.7733e-01
16,17,-2.6550e+00
16,18,-6.2137e-01
16,19,-1.9601e-01
16,20,-2.3999e+00
17,1,-2.7724e+00
17,2,-7.2558e-01
17,3,-1.3448e+00
17,4,1.5922e-01
17,5,1.0990e+00
17,6,-1.1718e+00
17,7,-4.7870e-01
17,8,1.8370e-01
17,9,-7.8133e-01
17,10,1.2407e+00
17,11,2.7809e+00
