n1,n2,fij
1,2,-3.8115e+00
1,3,-1.2483e-01
1,4,-3.3836e+00
1,5,-3.3344e+00
1,6,8.4763e-01
1,7,-5.6359e+00
1,8,-3.8274e+00
1,9,-5.9542e+00
1,10,-9.9209e+00
1,11,-6.0569e+00
1,12,-8.0432e+00
1,13,-7.2956e+00
1,14,-7.4939e+00
1,15,-6.9347e+00
1,16,-9.7689e+00
1,17,-6.1746e+00
1,18,-5.7608e+00
1,19,-7.4088e+00
1,20,-7.1876e+00
2,3,1.4257e+00
2,4,4.0593e+00
2,5,1.1800e+00
2,6,1.6443e+00
2,7,-4.7105e+00
2,8,-1.1799e+00
2,9,-1.8367e+00
2,10,-2.6807e+00
2,11,-3.8659e+00
2,12,6.0155e-01
2,13,-1.7084e+00
2,14,7.5371e-01
2,15,-3.4255e+00
2,16,-8.5537e+00
2,17,5.5197e-01
2,18,-3.7704e+00
2,19,-4.6925e+00
2,20,-4.2455e+00
3,4,-1.5295e+00
3,5,-2.1068e+00
3,6,-1.4662e+00
3,7,-3.5754e+00
3,8,-2.2050e+00
3,9,-3.8674e+00
3,10,-4.7591e+00
3,11,-6.7567e+00
3,12,-5.6212e+00
3,13,-4.3904e+00
3,14,-3.3643e+00
3,15,-5.3577e+00
3,16,-3.7997e+00
3,17,-3.0937e+00
3,18,-5.1922e+00
3,19,-7.1312e+00
3,20,-7.8868e+00
4,5,-1.7991e+00
4,6,4.1371e-01
4,7,-4.9768e+00
4,8,-6.6892e+00
4,9,-4.5040e+00
4,10,-5.6605e+00
4,11,-6.1253e+00
4,12,-1.5291e+00
4,13,-1.0312e+00
4,14,-2.0082e+00
4,15,-4.4362e+00
4,16,-7.3955e+00
4,17,-1.8053e+00
4,18,-6.0668e+00
4,19,-3.8870e+00
4,20,-5.1717e+00
5,6,8.9640e-01
5,7,-2.7979e+00
5,8,-3.9354e+00
5,9,-2.2299e+00
5,10,-3.6577e+00
5,11,-4.0882e+00
5,12,-3.9657e+00
5,13,-6.2433e+00
5,14,-1.1731e+00
5,15,-3.4676e+00
5,16,-8.9790e+00
5,17,-3.2176e+00
5,18,-2.3807e+00
5,19,-2.6386e+00
5,20,-2.6825e+00
6,7,-3.0440e+00
6,8,-1.6529e+00
6,9,-2.7235e+00
6,10,-6.6900e+00
6,11,-1.7159e+00
6,12,-2.7635e+00
6,13,-5.2094e+00
6,14,-9.2715e-01
6,15,-3.7156e+00
6,16,-3.2265e+00
6,17,-4.5183e+00
6,18,-7.2399e+00
6,19,-5.4288e+00
6,20,-5.1346e+00
7,8,2.4896e+00
7,9,2.0877e+00
7,10,1.1872e+00
7,11,8.6293e-01
7,12,3.0540e+00
7,13,-6.0550e-01
7,14,5.2735e-01
7,15,1.8805e+00
7,16,1.5610e+00
7,17,1.9602e+00
7,18,-1.8285e+00
7,19,2.6729e+00
7,20,-6.2994e-01
8,9,3.9955e-03
8,10,7.5067e-02
8,11,3.1530e+00
8,12,-8.8207e-01
8,13,1.0179e+00
8,14,1.9764e+00
8,15,-1.3769e+00
8,16,3.0620e-02
8,17,1.4017e+00
8,18,-1.7733e+00
8,19,6.1273e-01
8,20,-6.9272e-01
9,10,-3.8869e+00
9,11,-1.8608e+00
9,12,2.0954e+00
9,13,-1.4194e+00
9,14,-2.9695e-02
9,15,1.9645e+00
9,16,1.5935e+00
9,17,-3.7138e-02
9,18,-2.6011e+00
9,19,5.2515e-01
9,20,-1.5720e+00
10,11,-1.0986e+00
10,12,1.6005e+00
10,13,4.0814e+00
10,14,-3.5898e+00
10,15,-9.9240e-02
10,16,-2.1984e+00
10,17,4.5469e+00
10,18,2.4314e+00
10,19,2.0925e+00
10,20,-1.4641e+00
11,12,-2.9019e-02
11,13,-2.1519e+00
11,14,-1.6058e+00
11,15,9.0412e-01
11,16,2.7011e+00
11,17,2.6984e+00
11,18,-2.8108e+00
11,19,1.4001e+00
11,20,-9.3258e-01
12,13,-1.9071e+00
12,14,2.9895e-01
12,15,-2.0482e+00
12,16,2.8355e+00
12,17,-2.0599e+00
12,18,-6.1698e-01
12,19,2.5032e+00
12,20,-4.9578e+00
13,14,1.3232e+00
13,15,1.6660e-01
13,16,1.2934e+00
13,17,2.6509e+00
13,18,-2.0696e+00
13,19,-4.7949e-01
13,20,-1.9444e+00
14,15,5.8853e-01
14,16,-1.2807e+00
14,17,1.6750e+00
14,18,-9.3173e-01
14,19,4.3618e-01
14,20,-3.2454e+00
15,16,3.6200e-01
15,17,3.3459e+00
15,18,1.5196e+00
15,19,2.8718e+00
15,20,1.0272e+00
16,17,2.1651e+00
16,18,-1.6886e+00
16,19,-5.1925e+00
16,20,3.6932e-01
17,18,-5.1381e+00
17,19,-2.6045e+00
17,20,-2.7746e+00
18,19,2.7330e+00
18,20,-6.6839e-01
19,20,1.1862e-01
