n1,n2,fij
1,2,-1.9000e+01
1,3,-2.3000e+01
1,4,-2.5000e+01
1,5,-3.0000e+01
1,6,-3.7000e+01
1,7,-4.6000e+01
1,8,-5.1000e+01
1,9,-5.3000e+01
1,10,-5.6000e+01
1,11,-5.6000e+01
1,12,-5.6000e+01
1,13,-5.8000e+01
1,14,-5.9000e+01
1,15,-6.0000e+01
1,16,-6.3000e+01
1,17,-6.4000e+01
1,18,-6.7000e+01
1,19,-6.7000e+01
1,20,-6.9000e+01
2,3,-4.0000e+00
2,4,-6.0000e+00
2,5,-1.1000e+01
2,6,-1.8000e+01
2,7,-2.7000e+01
2,8,-3.2000e+01
2,9,-3.4000e+01
2,10,-3.7000e+01
2,11,-3.7000e+01
2,12,-3.7000e+01
2,13,-3.9000e+01
2,14,-4.0000e+01
2,15,-4.1000e+01
2,16,-4.4000e+01
2,17,-4.5000e+01
2,18,-4.8000e+01
2,19,-4.8000e+01
2,20,-5.0000e+01
3,4,-2.0000e+00
3,5,-7.0000e+00
3,6,-1.4000e+01
3,7,-2.3000e+01
3,8,-2.8000e+01
3,9,-3.0000e+01
3,10,-3.3000e+01
3,11,-3.3000e+01
3,12,-3.3000e+01
3,13,-3.5000e+01
3,14,-3.6000e+01
3,15,-3.7000e+01
3,16,-4.0000e+01
3,17,-4.1000e+01
3,18,-4.4000e+01
3,19,-4.4000e+01
3,20,-4.6000e+01
4,5,-5.0000e+00
4,6,-1.2000e+01
4,7,-2.1000e+01
4,8,-2.6000e+01
4,9,-2.8000e+01
4,10,-3.1000e+01
4,11,-3.1000e+01
4,12,-3.1000e+01
4,13,-3.3000e+01
4,14,-3.4000e+01
4,15,-3.5000e+01
4,16,-3.8000e+01
4,17,-3.9000e+01
4,18,-4.2000e+01
4,19,-4.2000e+01
4,20,-4.4000e+01
5,6,-7.0000e+00
5,7,-1.6000e+01
5,8,-2.1000e+01
5,9,-2.3000e+01
5,10,-2.6000e+01
5,11,-2.6000e+01
5,12,-2.6000e+01
5,13,-2.8000e+01
5,14,-2.9000e+01
5,15,-3.0000e+01
5,16,-3.3000e+01
5,17,-3.4000e+01
5,18,-3.7000e+01
5,19,-3.7000e+01
5,20,-3.9000e+01
6,7,-9.0000e+00
6,8,-1.4000e+01
6,9,-1.6000e+01
6,10,-1.9000e+01
6,11,-1.9000e+01
6,12,-1.9000e+01
6,13,-2.1000e+01
6,14,-2.2000e+01
6,15,-2.3000e+01
6,16,-2.6000e+01
6,17,-2.7000e+01
6,18,-3.0000e+01
6,19,-3.0000e+01
6,20,-3.2000e+01
7,8,-5.0000e+00
7,9,-7.0000e+00
7,10,-1.0000e+01
7,11,-1.0000e+01
7,12,-1.0000e+01
7,13,-1.2000e+01
7,14,-1.3000e+01
7,15,-1.4000e+01
7,16,-1.7000e+01
7,17,-1.8000e+01
7,18,-2.1000e+01
7,19,-2.1000e+01
7,20,-2.3000e+01
8,9,-2.0000e+00
8,10,-5.0000e+00
8,11,-5.0000e+00
8,12,-5.0000e+00
8,13,-7.0000e+00
8,14,-8.0000e+00
8,15,-9.0000e+00
8,16,-1.2000e+01
8,17,-1.3000e+01
8,18,-1.6000e+01
8,19,-1.6000e+01
8,20,-1.8000e+01
9,10,-3.0000e+00
9,11,-3.0000e+00
9,12,-3.0000e+00
9,13,-5.0000e+00
9,14,-6.0000e+00
9,15,-7.0000e+00
9,16,-1.0000e+01
9,17,-1.1000e+01
9,18,-1.4000e+01
9,19,-1.4000e+01
9,20,-1.6000e+01
10,11,0.0000e+00
10,12,0.0000e+00
10,13,-2.0000e+00
10,14,-3.0000e+00
10,15,-4.0000e+00
10,16,-7.0000e+00
10,17,-8.0000e+00
10,18,-1.1000e+01
10,19,-1.1000e+01
10,20,-1.3000e+01
11,12,0.0000e+00
11,13,-2.0000e+00
11,14,-3.0000e+00
11,15,-4.0000e+00
11,16,-7.0000e+00
11,17,-8.0000e+00
11,18,-1.1000e+01
11,19,-1.1000e+01
11,20,-1.3000e+01
12,13,-2.0000e+00
12,14,-3.0000e+00
12,15,-4.0000e+00
12,16,-7.0000e+00
12,17,-8.0000e+00
12,18,-1.1000e+01
12,19,-1.1000e+01
12,20,-1.3000e+01
13,14,-1.0000e+00
13,15,-2.0000e+00
13,16,-5.0000e+00
13,17,-6.0000e+00
13,18,-9.0000e+00
13,19,-9.0000e+00
13,20,-1.1000e+01
14,15,-1.0000e+00
14,16,-4.0000e+00
14,17,-5.0000e+00
14,18,-8.0000e+00
14,19,-8.0000e+00
14,20,-1.0000e+01
15,16,-3.0000e+00
15,17,-4.0000e+00
15,18,-7.0000e+00
15,19,-7.0000e+00
15,20,-9.0000e+00
16,17,-1.0000e+00
16,18,-4.0000e+00
16,19,-4.0000e+00
16,20,-6.0000e+00
17,18,-3.0000e+00
17,19,-3.0000e+00
17,20,-5.0000e+00
18,19,0.0000e+00
18,20,-2.0000e+00
19,20,-2.0000e+00
