n1,n2,weight
1,2,3.1653e+00
1,3,3.7546e-01
1,4,5.9864e-01
1,5,-6.8943e-01
1,6,2.4244e+00
1,7,-1.2846e+00
1,8,1.5836e+00
1,9,5.1239e+00
1,10,9.8672e-01
1,11,-1.2400e+00
1,12,2.8534e+00
1,13,2.8124e+00
1,14,1.2357e+00
1,15,9.1679e-01
1,16,-1.8486e+00
1,17,2.4982e+00
1,18,9.9321e-01
1,19,-2.5466e+00
1,20,-1.6943e+00
2,1,-9.1196e-01
2,3,-2.7665e+00
2,4,-6.5937e-01
2,5,3.5610e-01
2,6,-1.5998e+00
2,7,-1.8700e+00
2,8,-7.5668e-01
2,9,3.4405e+00
2,10,-1.1681e+00
2,11,1.1071e+00
2,12,-7.2746e-01
2,13,-3.9855e-01
2,14,2.1100e+00
2,15,3.1011e-01
2,16,5.5008e-01
2,17,-4.0320e-01
2,18,-1.0950e+00
2,19,-2.5345e+00
2,20,-1.3583e+00
3,1,-3.9422e-01
3,2,2.3868e+00
3,4,-2.6247e-01
3,5,-1.2321e-01
3,6,2.9680e-01
3,7,3.0768e-01
3,8,2.4315e-01
3,9,1.3333e+00
3,10,-9.8674e-01
3,11,3.5606e-01
3,12,2.2564e+00
3,13,8.7952e-01
3,14,-1.1624e+00
3,15,1.1665e+00
3,16,3.5253e-01
3,17,6.8705e-01
3,18,1.6853e+00
3,19,-9.9408e-01
3,20,4.1224e+00
4,1,3.0111e-01
4,2,1.3071e+00
4,3,7.3320e-01
4,5,3.1027e+00
4,6,3.8808e-01
4,7,2.6259e+00
4,8,-2.7620e+00
4,9,4.1617e-01
4,10,2.4207e+00
4,11,1.5037e+00
4,12,-1.1031e+00
4,13,-1.9713e-01
4,14,1.2569e-01
4,15,2.5594e+00
4,16,-1.0887e+00
4,17,2.0302e+00
4,18,2.0579e+00
4,19,4.1913e-01
4,20,3.0401e+00
5,1,-5.0396e-01
5,2,-9.4155e-01
5,3,-2.5510e-01
5,4,-2.1904e+00
5,6,-1.4389e+00
5,7,-3.8328e-01
5,8,-1.1423e+00
5,9,-2.7064e+00
5,10,-4.9825e-01
5,11,-1.7573e+00
5,12,-2.3816e+00
5,13,-2.7164e+00
5,14,-2.0491e-01
5,15,5.5612e-01
5,16,-1.4562e+00
5,17,-1.1773e+00
5,18,-1.8780e+00
5,19,-5.6350e-02
5,20,-6.3080e-01
6,1,7.7657e-01
6,2,3.1094e+00
6,3,8.1678e-02
6,4,1.9251e-01
6,5,3.0601e+00
6,7,-1.3740e-01
6,8,-4.7362e-01
6,9,1.5153e-02
6,10,1.2038e+00
6,11,-1.0846e+00
6,12,1.0642e+00
6,13,1.1772e+00
6,14,-1.3610e-01
6,15,-5.9462e-02
6,16,-1.2282e+00
6,17,-4.0979e-01
6,18,5.4313e-01
6,19,9.2992e-01
6,20,1.0755e+00
7,1,-1.6813e-01
7,2,3.2132e+00
7,3,1.3396e-01
7,4,1.8053e+00
7,5,-1.0620e-01
7,6,1.6798e+00
7,8,8.5210e-01
7,9,1.8188e+00
7,10,7.2910e-01
7,11,1.2435e-01
7,12,-2.6535e+00
7,13,7.8438e-01
7,14,6.4638e-01
7,15,1.0462e+00
7,16,1.2025e+00
7,17,-1.0203e+00
7,18,1.9538e-01
7,19,-1.0012e+00
7,20,2.0564e+00
8,1,3.9234e+00
8,2,4.1923e+00
8,3,1.5052e+00
8,4,1.0167e+00
8,5,3.3414e+00
8,6,2.2667e+00
8,7,3.3348e+00
8,9,4.1623e+00
8,10,2.7290e+00
8,11,6.2898e-01
8,12,2.6164e+00
8,13,4.9979e+00
8,14,-2.9578e-02
8,15,3.2374e+00
8,16,1.0641e+00
8,17,1.1138e+00
8,18,3.3110e+00
8,19,4.5354e-01
8,20,3.6606e+00
9,1,-1.2263e+00
9,2,1.0861e+00
9,3,-1.5633e+00
9,4,-2.5028e+00
9,5,-2.0853e+00
9,6,-1.6642e+00
9,7,1.0215e+00
9,8,-1.4282e+00
9,10,9.9280e-01
9,11,-1.5969e-01
9,12,-3.0189e-01
9,13,-1.5401e+00
9,14,-2.0978e+00
9,15,-1.1349e+00
9,16,-1.0293e-01
9,17,8.4207e-01
9,18,-2.9740e+00
9,19,-5.0372e-01
9,20,2.5886e-01
10,1,-1.6676e+00
10,2,8.2694e-01
10,3,-8.6860e-01
10,4,-1.7522e-01
10,5,1.3656e+00
10,6,-7.4537e-01
10,7,-1.8908e+00
10,8,-1.3758e+00
10,9,5.2140e-01
10,11,2.2588e+00
10,12,-2.6077e-01
10,13,-1.5839e-01
10,14,-9.4612e-01
10,15,2.4169e+00
10,16,-1.1770e+00
10,17,7.4551e-01
10,18,-2.1324e+00
10,19,4.2778e-01
10,20,-1.0221e+00
11,1,-8.7359e-01
11,2,1.0113e+00
11,3,7.2987e-01
11,4,-1.1477e+00
11,5,1.8316e+00
11,6,1.1197e+00
11,7,1.8661e-01
11,8,7.0969e-01
11,9,1.6684e+00
11,10,1.5250e+00
11,12,1.9006e+00
11,13,5.2736e-01
11,14,6.2693e-01
11,15,1.4900e+00
11,16,3.3606e-01
11,17,7.2068e-01
11,18,4.8778e-01
11,19,2.6321e+00
11,20,6.1452e-01
12,1,-7.2809e-01
12,2,3.7265e-01
12,3,-5.2451e-01
12,4,-2.8857e-01
12,5,-1.8940e+00
12,6,1.4624e-01
12,7,-3.7708e-01
12,8,-1.1963e+00
12,9,2.2509e+00
12,10,6.6726e-01
12,11,-1.3144e+00
12,13,-1.9341e-01
12,14,-1.2196e+00
12,15,-1.9403e-01
12,16,-1.5397e+00
12,17,1.2577e+00
12,18,-2.6187e+00
12,19,1.1187e+00
12,20,-1.1626e-01
13,1,-2.6784e-01
13,2,-4.5694e-01
13,3,-1.3051e+00
13,4,6.4218e-02
13,5,9.9232e-02
13,6,-1.3986e-01
13,7,9.5862e-02
13,8,-8.2436e-01
13,9,-1.3747e+00
13,10,3.7877e+00
13,11,-5.7168e-01
13,12,-6.8173e-01
13,14,1.5964e+00
13,15,-4.3633e-01
13,16,-1.6012e+00
13,17,-1.0429e+00
13,18,7.8982e-01
13,19,7.2458e-02
13,20,-3.8669e-01
14,1,-9.3799e-01
14,2,4.7061e-01
14,3,-1.5355e+00
14,4,-1.0782e+00
14,5,-3.9447e-01
14,6,1.3222e+00
14,7,1.0163e+00
14,8,-1.2957e+00
14,9,-1.1332e+00
14,10,5.3667e-01
14,11,1.4760e-01
14,12,-2.5916e+00
14,13,-2.0453e+00
14,15,-6.4797e-01
14,16,-6.1202e-02
14,17,-7.4028e-01
14,18,2.1842e+00
14,19,1.4713e+00
14,20,-5.4310e-02
15,1,1.0864e+00
15,2,3.4098e+00
15,3,2.3891e+00
15,4,-5.9017e-01
15,5,2.6875e+00
15,6,2.1912e+00
15,7,-7.4053e-01
15,8,1.8362e+00
15,9,1.5860e+00
15,10,2.5883e+00
15,11,1.8518e+00
15,12,1.3861e+00
15,13,2.2644e+00
15,14,5.3293e-01
15,16,-2.2757e-01
15,17,1.5660e+00
15,18,3.5605e-01
15,19,2.5806e+00
15,20,1.0380e+00
16,1,-1.2863e-01
16,2,-3.5356e-01
16,3,-6.7913e-01
16,4,-8.8015e-01
16,5,2.1737e+00
16,6,1.6071e-01
16,7,-1.0320e+00
16,8,4.4120e-01
16,9,5.9304e-01
16,10,1.0105e+00
16,11,-1.4049e+00
16,12,9.4921e-01
16,13,2.7696e+00
16,14,6.9739e-01
16,15,9.9272e-04
16,17,2.6551e+00
16,18,-2.1596e+00
16,19,3.1200e-01
16,20,-1.0972e+00
17,1,-1.6155e+00
17,2,-3.0744e-01
17,3,-2.0113e+00
17,4,-2.3981e+00
17,5,1.5904e-01
17,6,-1.2782e+00
17,7,-7.2764e-01
17,8,-1.9601e+00
17,9,1.1849e+00
17,10,1.5882e+00
17,11,-6.1304e-01
17,12,-1.7800e+00
17,13,-1.8030e+00
17,14,-2.0546e+00
17,15,-1.6021e+00
17,16,-2.0779e+00
17,18,1.7570e-01
17,19,-1.0400e+00
17,20,7.1071e-02
18,1,-2.2704e+00
18,2,-7.9844e-01
18,3,-5.1369e-01
18,4,-1.8502e+00
18,5,-1.0312e+00
18,6,-1.2309e+00
18,7,-2.0832e+00
18,8,-2.3265e+00
18,9,-9.4304e-01
18,10,-9.4805e-01
18,11,-2.5009e+00
18,12,7.3006e-02
18,13,-1.3896e+00
18,14,4.7240e-01
18,15,-1.5046e+00
18,16,-7.5491e-01
18,17,-2.2356e+00
18,19,-1.2438e+00
18,20,-1.9522e+00
19,1,7.1834e-01
19,2,8.2030e-01
19,3,2.4245e-01
19,4,-1.6612e-01
19,5,-7.2101e-01
19,6,2.2548e+00
19,7,-7.4050e-01
19,8,2.1985e-01
19,9,1.1000e-01
19,10,2.8119e+00
19,11,-7.6344e-01
19,12,1.8197e+00
19,13,-1.7280e+00
19,14,-5.4155e-01
19,15,-1.9916e+00
19,16,-1.5868e-01
19,17,-8.6780e-01
19,18,1.7435e+00
19,20,-4.9753e-01
20,1,5.3954e-01
20,2,6.4329e-01
20,3,2.4551e-01
20,4,-1.4975e+00
20,5,-8.8823e-01
20,6,3.1798e-01
20,7,-3.1502e+00
20,8,-9.6910e-01
20,9,8.9952e-01
20,10,1.0441e+00
20,11,-1.4987e+00
20,12,2.0761e-01
20,13,-2.2057e+00
20,14,3.1294e-01
20,15,-2.2456e+00
20,16,-3.9815e-02
20,17,-1.5526e+00
20,18,-2.3194e+00
20,19,-7.5209e-01
