n1,n2,fij
1,2,-4.1768e+00
1,3,-1.6776e+00
1,4,-1.3281e+00
1,5,-2.4164e+00
1,6,-1.1418e+00
1,7,-4.0974e+00
1,8,6.1581e-01
1,9,-1.9547e+00
1,10,-6.3195e-01
1,11,-1.7072e+00
1,12,-5.1078e+00
1,13,-4.5296e+00
1,14,-1.6158e+00
1,15,1.0149e-01
1,16,-6.2251e+00
1,17,-1.4888e+00
1,18,-6.1293e+00
1,19,-3.1141e+00
1,20,-5.2915e+00
2,3,5.1696e+00
2,4,-8.5862e-01
2,5,5.3759e-01
2,6,-2.7008e+00
2,7,-2.4168e+00
2,8,-7.0364e-01
2,9,-1.0261e+00
2,10,-6.0945e-01
2,11,7.4486e-01
2,12,1.9146e-01
2,13,-4.6386e+00
2,14,-5.7954e-02
2,15,1.6107e+00
2,16,-1.4557e+00
2,17,-1.7832e+00
2,18,-3.2423e+00
2,19,-2.8464e+00
2,20,-2.0974e+00
3,4,1.2975e+00
3,5,-2.3677e+00
3,6,-9.6633e-01
3,7,1.3113e+00
3,8,-2.8105e-01
3,9,1.6345e+00
3,10,-1.8062e+00
3,11,1.4975e+00
3,12,-6.2713e-01
3,13,-2.4680e+00
3,14,-1.7579e+00
3,15,-9.9348e-01
3,16,2.4690e-01
3,17,6.4631e-01
3,18,-4.7593e-01
3,19,6.9311e-01
3,20,-1.8406e-01
4,5,-1.1659e+00
4,6,-5.8469e-01
4,7,1.0473e+00
4,8,-3.3168e-01
4,9,-1.7886e+00
4,10,-7.6856e-01
4,11,-1.1421e+00
4,12,-1.5743e+00
4,13,-3.9739e+00
4,14,-1.6904e+00
4,15,1.0551e+00
4,16,-1.8946e+00
4,17,-2.7344e+00
4,18,-3.0426e+00
4,19,-3.1018e+00
4,20,-9.8045e-01
5,6,4.0724e+00
5,7,-6.8401e-01
5,8,1.1134e+00
5,9,-2.8209e+00
5,10,-1.1305e+00
5,11,1.3484e+00
5,12,-1.0011e-01
5,13,5.3831e-02
5,14,-2.9492e+00
5,15,5.7714e-01
5,16,1.5551e+00
5,17,-4.6114e-01
5,18,-9.4372e-02
5,19,-2.3864e+00
5,20,-3.7881e+00
6,7,2.5005e+00
6,8,-4.5851e-01
6,9,-1.0437e+00
6,10,4.2989e-01
6,11,5.6440e-01
6,12,-8.7402e-01
6,13,-1.1500e+00
6,14,-1.5734e+00
6,15,-2.6419e-01
6,16,-1.5477e+00
6,17,-2.4363e+00
6,18,1.2017e+00
6,19,3.6136e+00
6,20,-2.7343e+00
7,8,-4.3307e-02
7,9,-1.3042e+00
7,10,-2.6651e-01
7,11,-2.0972e+00
7,12,1.7462e+00
7,13,-3.3339e+00
7,14,-1.2228e+00
7,15,6.1076e-01
7,16,-1.4572e+00
7,17,-1.7365e+00
7,18,8.1689e-01
7,19,-4.6340e+00
7,20,-2.7384e+00
8,9,-2.4798e+00
8,10,-1.5555e+00
8,11,-2.4543e-01
8,12,-3.1940e+00
8,13,-3.4873e+00
8,14,-2.5648e+00
8,15,3.1462e+00
8,16,-5.5036e+00
8,17,2.9586e-01
8,18,-2.1535e+00
8,19,-1.2655e+00
8,20,-1.4264e-01
9,10,1.2707e+00
9,11,-3.4448e+00
9,12,1.8971e+00
9,13,-1.4433e+00
9,14,2.7220e+00
9,15,-9.1001e-01
9,16,2.3178e+00
9,17,3.2544e-01
9,18,3.4241e-01
9,19,1.2994e+00
9,20,-3.5023e-02
10,11,-2.7664e+00
10,12,-5.4606e+00
10,13,-1.5972e+00
10,14,-3.3662e+00
10,15,-1.9132e+00
10,16,-3.4139e+00
10,17,4.8496e-01
10,18,-3.9085e+00
10,19,-2.6024e+00
10,20,6.1144e-01
11,12,4.7142e-01
11,13,-6.1911e-01
11,14,-7.0422e-01
11,15,-1.6955e+00
11,16,-1.6652e+00
11,17,3.1095e+00
11,18,1.3602e+00
11,19,1.4233e+00
11,20,4.5163e+00
12,13,-1.4227e-01
12,14,-1.6378e-01
12,15,1.3115e+00
12,16,1.6294e-01
12,17,3.7169e-01
12,18,1.6924e+00
12,19,1.5224e+00
12,20,-1.0334e+00
13,14,-1.8436e+00
13,15,1.8440e+00
13,16,1.7998e+00
13,17,1.9830e+00
13,18,-8.6082e-02
13,19,-7.5106e-01
13,20,2.8416e+00
14,15,1.7686e+00
14,16,-1.9103e-01
14,17,-5.9130e-02
14,18,-2.2469e+00
14,19,-1.5842e+00
14,20,-4.1102e+00
15,16,-2.5139e+00
15,17,-5.9658e-01
15,18,1.8013e-01
15,19,-1.8138e+00
15,20,-4.2412e+00
16,17,1.6578e+00
16,18,5.5873e-01
16,19,4.7119e+00
16,20,1.9912e+00
17,18,-1.3864e+00
17,19,-1.1701e+00
17,20,9.3568e-01
18,19,-2.6326e+00
18,20,-4.3805e+00
19,20,1.2225e+00
