n1,n2,fij
1,2,-3.5453e+00
1,3,-3.3039e+00
1,4,-2.3522e+00
1,5,-4.0600e+00
1,6,-1.4423e+00
1,7,-2.2959e+00
1,8,-2.1402e+00
1,9,-4.4796e+00
1,10,-5.1190e+00
1,11,-2.7772e+00
1,12,-5.2504e+00
1,13,-5.7091e+00
1,14,-3.9771e+00
1,15,-3.7476e+00
1,16,-5.1219e+00
1,17,-5.1917e+00
1,18,-6.7455e+00
1,19,-5.8809e+00
1,20,-4.7689e+00
2,3,5.7789e+00
2,4,1.1894e-01
2,5,9.0693e-01
2,6,-8.8719e-01
2,7,-3.7359e-01
2,8,-3.3667e-01
2,9,-6.5294e-01
2,10,-2.4515e-01
2,11,2.1010e-01
2,12,1.9333e+00
2,13,-5.4575e+00
2,14,-3.1544e+00
2,15,3.3380e+00
2,16,-2.4899e-01
2,17,-1.2571e+00
2,18,-2.2180e+00
2,19,-3.3403e+00
2,20,-2.9179e+00
3,4,1.8180e+00
3,5,-1.7369e+00
3,6,-5.1980e-01
3,7,1.0581e+00
3,8,-5.4336e-01
3,9,-2.8119e+00
3,10,-3.6742e+00
3,11,-1.2113e+00
3,12,-2.1688e+00
3,13,-4.1570e+00
3,14,-3.1888e+00
3,15,-9.3150e-01
3,16,-2.6070e+00
3,17,-3.0743e+00
3,18,-2.3433e+00
3,19,-1.9876e+00
3,20,6.9568e-01
4,5,-2.3952e+00
4,6,-3.0950e+00
4,7,-2.2758e-01
4,8,1.3650e+00
4,9,-4.7441e+00
4,10,-3.0064e+00
4,11,-1.3781e+00
4,12,-1.7394e+00
4,13,-1.4556e+00
4,14,-1.2330e+00
4,15,1.1645e+00
4,16,-1.6035e+00
4,17,-4.1343e+00
4,18,-4.6275e+00
4,19,-3.3684e+00
4,20,-2.8627e+00
5,6,2.8212e+00
5,7,-1.4215e+00
5,8,1.0065e+00
5,9,-1.5341e+00
5,10,-1.8665e+00
5,11,3.6736e+00
5,12,6.7804e-01
5,13,-7.2408e-01
5,14,-3.8004e+00
5,15,1.0870e+00
5,16,1.8046e+00
5,17,-2.2466e-01
5,18,-1.5013e+00
5,19,-3.7323e+00
5,20,-4.2583e+00
6,7,2.9595e+00
6,8,2.5704e+00
6,9,-1.3272e+00
6,10,-5.4749e-01
6,11,1.3685e+00
6,12,-2.9630e-01
6,13,-2.1319e+00
6,14,-2.8703e+00
6,15,-1.7211e+00
6,16,-1.3869e+00
6,17,-6.2176e-01
6,18,-2.4313e+00
6,19,2.0338e+00
6,20,-1.2924e+00
7,8,1.5295e+00
7,9,1.1277e-01
7,10,6.6153e-02
7,11,-3.0559e+00
7,12,2.4320e+00
7,13,-2.4158e+00
7,14,-2.5222e+00
7,15,3.6752e-01
7,16,-3.4730e+00
7,17,-1.6195e+00
7,18,-4.2541e-01
7,19,-4.7165e+00
7,20,-5.1726e+00
8,9,-4.1107e+00
8,10,-3.4196e+00
8,11,4.3032e-01
8,12,-1.4827e+00
8,13,-5.5807e+00
8,14,-3.8846e+00
8,15,-1.9258e-01
8,16,-3.1278e+00
8,17,-2.4441e+00
8,18,-5.1275e+00
8,19,-3.4522e+00
8,20,1.1594e+00
9,10,1.8298e+00
9,11,8.7420e-01
9,12,1.3707e+00
9,13,-2.5425e+00
9,14,2.2754e+00
9,15,1.6658e+00
9,16,4.5988e+00
9,17,1.2684e+00
9,18,3.0281e+00
9,19,2.6610e+00
9,20,2.6098e-01
10,11,-1.8656e+00
10,12,-3.2297e+00
10,13,-6.2750e-01
10,14,-1.2184e+00
10,15,7.0930e-01
10,16,3.8631e-01
10,17,-7.2805e-01
10,18,-2.2554e+00
10,19,-1.3446e+00
10,20,1.9824e+00
11,12,9.2232e-01
11,13,-2.6467e+00
11,14,-1.1165e+00
11,15,-2.0784e-01
11,16,8.6158e-01
11,17,1.2973e+00
11,18,-2.7901e-01
11,19,-5.6280e-01
11,20,2.0635e+00
12,13,-1.5167e+00
12,14,-1.1629e+00
12,15,1.9431e-01
12,16,1.4853e+00
12,17,-2.0150e+00
12,18,2.8089e+00
12,19,1.0960e+00
12,20,4.2012e-01
13,14,-2.7997e+00
13,15,3.5041e+00
13,16,2.1407e+00
13,17,2.3611e+00
13,18,-1.0055e-01
13,19,-9.4685e-01
13,20,1.6504e+00
14,15,3.3231e+00
14,16,1.8359e+00
14,17,-1.7603e-01
14,18,-2.6582e+00
14,19,-2.2603e+00
14,20,-2.6533e+00
15,16,-1.6727e+00
15,17,-1.7769e+00
15,18,-3.4399e+00
15,19,-5.6147e+00
15,20,-2.8158e+00
16,17,-2.4301e+00
16,18,1.1196e+00
16,19,-8.4382e-02
16,20,9.9641e-01
17,18,-3.9307e+00
17,19,-1.5281e+00
17,20,9.0108e-01
18,19,-1.6518e+00
18,20,-3.3115e+00
19,20,1.1272e+00
