n1,n2,fij
1,2,1.8345e+00
1,3,6.9430e-01
1,4,-2.9490e+00
1,5,-4.2863e+00
1,6,-1.1446e+00
1,7,-2.5925e+00
1,8,-5.9001e+00
1,9,-2.5497e-01
1,10,-8.7077e-01
1,11,-1.4834e+00
1,12,-1.6558e+00
1,13,-1.3870e+00
1,14,-1.1134e+00
1,15,-4.0922e+00
1,16,-1.9641e+00
1,17,-3.3512e+00
1,18,-2.4466e+00
1,19,-1.4359e+00
1,20,-1.8049e+00
2,3,1.4687e-01
2,4,-2.6614e-03
2,5,5.7840e-01
2,6,-1.2828e+00
2,7,3.8829e-01
2,8,6.6884e-01
2,9,-1.0641e+00
2,10,-2.8868e+00
2,11,-9.1300e-01
2,12,2.3851e+00
2,13,-2.5737e+00
2,14,-4.7178e+00
2,15,-2.6811e+00
2,16,-4.3750e-01
2,17,8.1374e-01
2,18,-7.1257e-02
2,19,-2.2121e+00
2,20,-2.2411e+00
3,4,-3.0295e-01
3,5,-1.7255e+00
3,6,-1.7058e+00
3,7,-7.6829e-01
3,8,-3.5015e+00
3,9,-1.1619e+00
3,10,-1.8776e+00
3,11,-3.3431e+00
3,12,3.6357e-01
3,13,-1.5778e+00
3,14,-1.2424e+00
3,15,-9.6877e-01
3,16,-2.3364e+00
3,17,-2.9970e+00
3,18,-1.2422e+00
3,19,-8.6910e-01
3,20,6.4399e-02
4,5,8.5490e-01
4,6,-2.3855e+00
4,7,-7.0418e-01
4,8,-7.8763e-01
4,9,-2.5815e+00
4,10,3.2190e-01
4,11,-1.0501e+00
4,12,-6.4400e-01
4,13,-7.6279e-01
4,14,-2.3898e+00
4,15,2.5736e+00
4,16,-1.8230e+00
4,17,-7.2772e-01
4,18,-9.7418e-01
4,19,-2.4981e+00
4,20,9.6179e-02
5,6,-4.3254e+00
5,7,-2.8275e-01
5,8,-2.3751e+00
5,9,-2.0296e+00
5,10,-2.1441e+00
5,11,-3.9890e+00
5,12,-6.9113e-01
5,13,-1.8035e+00
5,14,-5.6365e-01
5,15,-1.9350e+00
5,16,-1.2280e+00
5,17,-1.7522e+00
5,18,6.1148e-01
5,19,-1.5097e+00
5,20,-1.4119e+00
6,7,8.5594e-01
6,8,-1.7097e+00
6,9,7.3564e-01
6,10,2.8278e+00
6,11,-2.8863e+00
6,12,-2.0791e+00
6,13,6.3866e-01
6,14,-3.4708e+00
6,15,-5.1186e+00
6,16,-1.0253e+00
6,17,-1.8237e-01
6,18,2.8866e-01
6,19,1.1116e-01
6,20,-8.9806e-01
7,8,-1.0495e+00
7,9,1.4920e+00
7,10,2.3453e+00
7,11,-8.7851e-01
7,12,5.9144e-01
7,13,-1.4497e+00
7,14,-1.1476e+00
7,15,9.8086e-01
7,16,-4.6727e-01
7,17,1.5035e-01
7,18,1.3450e+00
7,19,-2.5562e+00
7,20,2.0746e-01
8,9,5.6621e-01
8,10,-4.8335e-01
8,11,5.4146e-01
8,12,2.2417e+00
8,13,2.9624e+00
8,14,-2.7495e+00
8,15,-4.3608e+00
8,16,2.8593e+00
8,17,1.8927e+00
8,18,1.3191e-01
8,19,-3.0259e-01
8,20,3.3456e+00
9,10,1.7533e+00
9,11,1.2808e+00
9,12,-1.4812e+00
9,13,-2.2049e+00
9,14,4.0698e-01
9,15,3.7976e+00
9,16,4.4862e-01
9,17,-6.2019e-01
9,18,-6.9599e-01
9,19,4.9987e-01
9,20,-1.2271e+00
10,11,-9.5873e-01
10,12,1.6261e+00
10,13,-7.9163e-01
10,14,7.9829e-01
10,15,-1.1679e+00
10,16,1.7920e+00
10,17,-3.0878e+00
10,18,-2.2439e+00
10,19,-3.0522e+00
10,20,-8.8739e-01
11,12,1.7287e+00
11,13,-3.3660e+00
11,14,1.9844e-01
11,15,-1.7057e+00
11,16,1.3806e+00
11,17,-2.0365e+00
11,18,2.6671e+00
11,19,3.4880e-01
11,20,-2.2380e-01
12,13,-1.8959e+00
12,14,-1.5277e+00
12,15,3.9362e+00
12,16,-1.1032e+00
12,17,1.1867e+00
12,18,-2.1007e+00
12,19,-1.0529e+00
12,20,-9.1006e-01
13,14,-6.9949e-02
13,15,6.4487e-01
13,16,2.3360e+00
13,17,2.0011e-01
13,18,1.7513e-01
13,19,-5.9720e-01
13,20,-6.0096e-01
14,15,2.8545e+00
14,16,2.1591e+00
14,17,2.5719e+00
14,18,-8.4085e-01
14,19,7.6841e-01
14,20,-2.9597e+00
15,16,-5.8635e-01
15,17,-2.5766e+00
15,18,-2.1371e+00
15,19,1.6510e+00
15,20,8.2665e-01
16,17,-1.1012e+00
16,18,-2.1067e+00
16,19,-1.3349e+00
16,20,-1.9518e+00
17,18,1.4547e+00
17,19,-1.5717e-01
17,20,1.6358e+00
18,19,-3.5632e+00
18,20,7.5730e-01
19,20,-1.1117e+00
