n1,n2,weight
1,2,1.2875e-01
1,3,1.4802e+00
1,4,5.8812e-01
1,5,3.2652e+00
1,6,2.2709e+00
1,7,1.5043e+00
1,8,3.2384e+00
1,9,2.6021e+00
1,10,2.4889e+00
1,11,1.8714e+00
1,12,2.8489e+00
1,13,3.8878e+00
1,14,1.3740e+00
1,15,4.4451e+00
1,16,3.4267e+00
1,17,3.8374e+00
1,18,4.8672e+00
1,19,3.5326e+00
1,20,3.6232e+00
2,1,-7.8113e-01
2,3,-3.0152e+00
2,4,-1.2848e+00
2,5,2.0306e-01
2,6,5.3931e-01
2,7,-6.3598e-01
2,8,1.0002e+00
2,9,4.2721e-01
2,10,-9.5729e-02
2,11,1.6380e-01
2,12,-1.1482e+00
2,13,3.2319e+00
2,14,1.4825e+00
2,15,-8.5672e-01
2,16,-2.2876e-01
2,17,-7.9611e-01
2,18,5.7224e-01
2,19,2.2294e+00
2,20,2.2002e+00
3,1,-1.0508e+00
3,2,2.1596e+00
3,4,-1.6333e+00
3,5,1.6556e+00
3,6,8.4976e-01
3,7,-6.3161e-01
3,8,5.9515e-01
3,9,2.3450e+00
3,10,2.3916e+00
3,11,1.0436e+00
3,12,1.0526e+00
3,13,1.7972e+00
3,14,1.5158e+00
3,15,1.6305e+00
3,16,9.6801e-01
3,17,1.7175e+00
3,18,3.2238e-01
3,19,4.9274e-01
3,20,1.5616e+00
4,1,-1.2853e+00
4,2,5.0245e-01
4,3,7.9845e-01
4,5,6.1073e-01
4,6,1.7402e+00
4,7,-2.7428e-01
4,8,-2.4346e-01
4,9,2.7433e+00
4,10,2.8985e+00
4,11,-3.8092e-01
4,12,3.5803e-01
4,13,1.4747e-01
4,14,1.3378e+00
4,15,-1.5363e+00
4,16,3.0841e-02
4,17,1.3996e+00
4,18,2.7507e+00
4,19,2.4626e+00
4,20,1.3813e+00
5,1,-1.6709e+00
5,2,8.1565e-01
5,3,-8.6642e-01
5,4,-1.3596e+00
5,6,-9.8420e-01
5,7,-1.1502e-01
5,8,-1.2529e-01
5,9,-6.0999e-01
5,10,1.4653e+00
5,11,-9.9175e-01
5,12,-1.5978e+00
5,13,-5.8452e-01
5,14,2.1757e+00
5,15,9.1832e-03
5,16,-8.7868e-01
5,17,-2.8467e-01
5,18,-1.4629e+00
5,19,5.4036e-01
5,20,1.3331e+00
6,1,-2.6532e-01
6,2,-9.9531e-03
6,3,7.6228e-01
6,4,-1.9280e+00
6,5,1.2025e+00
6,7,-2.4853e+00
6,8,-8.7445e-01
6,9,-2.0013e-01
6,10,1.3727e-01
6,11,-6.7939e-01
6,12,6.9623e-01
6,13,1.6814e+00
6,14,1.9876e+00
6,15,2.3494e+00
6,16,-5.8547e-01
6,17,-5.8078e-01
6,18,1.4264e+00
6,19,-3.3373e-01
6,20,2.1828e+00
7,1,-1.3438e+00
7,2,-1.5974e-01
7,3,-6.2672e-01
7,4,-1.0574e-01
7,5,-1.3622e+00
7,6,5.5091e-01
7,8,3.0260e-01
7,9,8.8240e-01
7,10,1.8004e-01
7,11,1.4037e+00
7,12,-1.8470e+00
7,13,1.7712e+00
7,14,2.3693e+00
7,15,-6.6458e-01
7,16,2.1065e+00
7,17,-3.1295e-01
7,18,-5.7237e-01
7,19,2.9999e+00
7,20,3.1262e+00
8,1,-2.9905e-01
8,2,3.4976e-01
8,3,1.6002e+00
8,4,3.7175e-01
8,5,1.0804e+00
8,6,7.5933e-01
8,7,2.3057e+00
8,9,2.7477e+00
8,10,1.8867e+00
8,11,-1.0371e+00
8,12,2.6233e-01
8,13,3.1718e+00
8,14,3.1503e+00
8,15,8.7878e-01
8,16,1.3170e+00
8,17,5.5629e-01
8,18,3.1218e+00
8,19,2.4096e+00
8,20,1.1137e-01
9,1,-2.2804e+00
9,2,-8.5144e-01
9,3,2.8056e-01
9,4,-2.8492e+00
9,5,-1.7581e+00
9,6,-1.8023e+00
9,7,4.2963e-01
9,8,-1.3962e+00
9,10,-1.0064e+00
9,11,-3.3103e-01
9,12,-5.0646e-01
9,13,5.3090e-01
9,14,-1.6815e+00
9,15,-1.3483e+00
9,16,-2.3826e+00
9,17,2.9165e-01
9,18,-2.5741e+00
9,19,1.3309e-01
9,20,6.6095e-01
10,1,-2.5260e+00
10,2,-2.8040e-01
10,3,-1.8864e+00
10,4,-2.6196e-01
10,5,-1.2061e+00
10,6,2.7194e-01
10,7,-4.4896e-01
10,8,-1.0359e+00
10,9,1.0718e+00
10,11,8.3591e-01
10,12,2.1198e+00
10,13,1.1833e+00
10,14,9.8235e-01
10,15,6.5307e-02
10,16,-2.6377e-03
10,17,-2.2056e-01
10,18,-3.8364e-01
10,19,2.3570e-01
10,20,-7.9061e-01
11,1,-1.3782e+00
11,2,9.8545e-02
11,3,-1.2650e+00
11,4,-1.6822e+00
11,5,1.8227e+00
11,6,-2.5809e-01
11,7,-2.6100e+00
11,8,-1.9845e-01
11,9,6.0948e-01
11,10,-7.2780e-01
11,12,-7.9366e-01
11,13,1.4767e+00
11,14,2.3175e-01
11,15,1.1674e+00
11,16,-6.8038e-01
11,17,-7.2608e-01
11,18,-1.9537e+00
11,19,3.7356e-01
11,20,-1.2965e+00
12,1,-1.7680e+00
12,2,7.8013e-01
12,3,-5.1674e-01
12,4,-1.4523e+00
12,5,-8.0973e-01
12,6,-2.9711e-01
12,7,1.6496e+00
12,8,-6.7142e-01
12,9,6.0908e-01
12,10,-7.6085e-01
12,11,3.5128e-01
12,13,1.0534e+00
12,14,2.5210e-01
12,15,-5.2563e-01
12,16,-4.8231e-01
12,17,9.5440e-01
12,18,-2.1199e+00
12,19,-7.0643e-01
12,20,-3.8342e-01
13,1,-2.8005e+00
13,2,-2.8538e+00
13,3,-1.6080e+00
13,4,-1.4325e-01
13,5,-1.4716e+00
13,6,1.9942e-02
13,7,2.4205e-01
13,8,-1.2482e+00
13,9,-2.5021e+00
13,10,1.7242e-01
13,11,-2.7497e+00
13,12,-1.2689e+00
13,14,1.3826e+00
13,15,-1.3065e+00
13,16,-2.6449e+00
13,17,-2.1046e+00
13,18,-9.9845e-01
13,19,2.9215e-01
13,20,-1.5636e+00
14,1,-8.9383e-01
14,2,-1.4823e+00
14,3,-1.3266e+00
14,4,-7.9247e-01
14,5,-2.1609e+00
14,6,-3.1407e-01
14,7,-6.7364e-01
14,8,-2.6118e+00
14,9,2.6350e-02
14,10,2.8004e-01
14,11,-3.3823e-01
14,12,-1.0577e+00
14,13,-1.1898e+00
14,15,-1.7998e+00
14,16,-5.7453e-01
14,17,-1.0836e+00
14,18,3.5660e-01
14,19,3.3885e-01
14,20,1.1315e+00
15,1,-1.5550e+00
15,2,2.3851e-01
15,3,-5.8811e-02
15,4,1.6205e-01
15,5,1.3313e+00
15,6,-1.4183e+00
15,7,1.5347e-01
15,8,2.4789e-01
15,9,6.5151e-01
